symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,source_book,period,limit,trigger,shares
VTAK,2023-01-12,3.70107,-467.95311089999785,-0.9359482528025636,tag_bb,1,1,5.149051490514904,56716.0,1.991539548937776,68.58038632417049,2.0,0.2999999999999997,-3.6043360433604335,1.0,-0.4226993281350906,17.142857142857146,58.0920634920635,0.032788676976884,387079.3,17.792396949365504,-49.1013421245017,14.00959975127434,2.291347018556663,0.5029369501096498,-0.4285678271611134,0.290756472491918,1.247681234855052,3.0,12.0,3333.33375,-31.19687795960911,0.2545437158417414,Q3,2,-31.19687795960911,2023-01,research/orb_2023/book_1418_liveexit.csv,2023-24,3.7,3.69,0.066666675
NRGV,2023-01-18,4.33296,-314.66853000000657,-0.6293619142572415,tag_bb,1,1,7.881773399014786,407490.0,3.1631234076758186,78.35535492233787,3.0,0.9828124999999984,6.268472906403947,1.0,2.1076219889361623,14.044943820224706,16.292134831460675,0.0172413793103452,1267855.95,12.27385470434427,-3.5629453681710297,7.65770062509004,0.4299518411377885,0.2230408741197369,0.0075182317119087,0.311737939009983,1.2567416775010616,2.0,18.0,3333.33375,-20.977904622238185,0.3011293061775949,Q4,0,-20.977904622238185,2023-01,research/orb_2023/book_1418_liveexit.csv,2023-24,4.33,4.32,0.066666675
BBAI,2023-02-08,5.616799999999999,-1971.879426916077,-3.944142476906028,stop,0,1,6.433301797540206,925639.0,2.545486382678283,27.486396780080867,4.0,0.999705882352942,5.958372753074735,1.0,2.02706952861163,7.418699186991875,25.813008130081293,0.0472440944881886,17617940.25,21.59482076013775,-21.935007385524365,60.650629741047,0.7043826249779681,0.171713504223856,0.0314670926826895,-0.4961583853175659,1.4509195267203323,2.0,8.0,3333.33375,-131.45864489340033,0.3813182951259601,Q4,0,-131.45864489340033,2023-02,research/orb_2023/book_1418_liveexit.csv,2023-24,5.62,5.6,0.066666675
TCBP,2023-02-22,5.616799999999999,-470.5914194999912,-0.9412743911123598,tag_bb,0,1,6.526315789473683,31913.0,2.3275504327904883,74.29653952656665,5.0,1.0,5.26315789473683,1.0,3.446960028267653,5.976095617529896,67.33067729083666,0.2248520710059171,1089585.25,17.263669098161074,-31.531531531531527,13.458708782114398,1.320993469762921,0.1652023729068029,0.025055693224199,0.1077451201483391,1.1186466775617203,2.0,22.0,3333.33375,-31.372765221594577,0.385032151155369,Q4,0,-31.372765221594577,2023-02,research/orb_2023/book_1418_liveexit.csv,2023-24,5.62,5.6,0.066666675
GNS,2023-02-27,4.894639999999999,-1526.0188499999854,-3.0521141493551847,stop,0,1,2.674897119341561,122165.0,1.256360277678519,61.83944447892375,2.0,0.6923076923076917,-0.4115226337448655,1.0,0.6709887913073237,9.213483146067418,16.62921348314607,0.3378378378378377,15249329.5,16.737200799352543,-39.17396745932415,11.75757141274537,0.1485179397559742,0.1925673985895017,-0.1429750412644478,0.8804682375498283,1.1423519997094391,0.0,27.0,3333.33375,-101.73460271682278,0.4315125904848237,Q5,1,-101.73460271682278,2023-02,research/orb_2023/book_1418_liveexit.csv,2023-24,4.89,4.88,0.06666667500000001
AIXI,2023-03-10,6.4192,-588.4589500000052,-1.176937936191436,tag_bb,0,1,4.45000000000001,51086.0,1.5717580664995037,134.79274045102937,3.0,0.6488764044943809,-1.5625000000000084,1.0,-0.0066252800402416,10.15490533562824,41.82444061962134,0.0987654320987651,0.0,0.0,0.0,0.0,0.0,0.3299317118084768,-0.2634338474129848,-0.1455715599141876,1.7825061595985652,4.0,10.0,3333.33375,-39.2306015704916,0.4084325719084746,Q4,0,-39.2306015704916,2023-03,research/orb_2023/book_1418_liveexit.csv,2023-24,6.42,6.4,0.06666667500000001
UVIX,2023-03-13,28.95661,-851.7665188599992,-1.704245110183822,tag_b1,0,1,3.3214285714285703,352808.0,1.7983604470439858,35.50953516530944,4.0,0.9784946236559144,3.035714285714291,1.0,1.6715636662830575,21.159671138035485,33.96754651665946,0.4840825997783411,3694338.4,9.578634589408566,3.093163082338299,9.23424170119561,2.9715767239947484,0.379770042691388,-0.0261910374269984,-1.0624238812158333,1.956435841056024,0.0,13.0,3333.33375,-56.78444168872094,0.3680958075507518,Q4,0,-56.78444168872094,2023-03,research/orb_2023/book_1418_liveexit.csv,2023-24,28.96,28.87,0.066666675
UVIX,2023-03-17,22.69789,-1975.6053587657157,-3.95273222060981,stop,0,1,4.053627760252365,185419.0,1.529449131954969,44.09493376427026,4.0,0.9887715397443048,1.9373591707976563,1.0,2.5883750578580766,6.631427198462291,31.619413743392595,0.0288753799392093,4323420.9,12.864077486296804,-24.90693739424704,10.675007232141796,1.1211210085976129,0.2034484512486677,-0.0635776410152077,-0.7295953144328561,1.8961879962616928,4.0,17.0,3333.33375,-131.70704038109233,0.6180464441166176,Q5,1,-131.70704038109233,2023-03,research/orb_2023/book_1418_liveexit.csv,2023-24,22.7,22.63,0.06666667499999998
PACWP,2023-03-20,12.60771,1276.9571548500005,2.554447159714176,lock,1,1,5.518945634266886,97945.0,2.3215826354468203,82.14401560854311,1.0,0.4776119402985079,0.6589785831960466,0.0,0.7107385768074781,21.521521521521525,25.97897897897898,0.0346780718992023,800896.2,12.195292536802826,-53.61986628462273,18.69114875848254,1.7748292475354486,0.3684937816674338,-0.028148830544029,0.2076976332726486,1.8516080278521525,0.0,20.0,3333.33375,85.13048763130963,0.2878580959075384,Q3,2,85.13048763130963,2023-03,research/orb_2023/book_1418_liveexit.csv,2023-24,12.61,12.57,0.06666667499999998
BFRG,2023-04-12,4.814399999999999,215.5926000000104,0.4312063808574485,tag_bb,1,1,5.726872246696031,101719.0,2.78432761598828,38.75775941696136,4.0,0.7657692307692299,4.385462555066071,1.0,0.8781585420103953,5.336426914153143,18.32946635730859,0.2405063291139234,2749701.55,20.8783253023758,-52.21052631578947,14.99241617940998,0.3904401915909747,0.1553888362832899,-0.0290868477917784,0.5247486088060083,0.7963099603342503,2.0,12.0,3333.33375,14.372841796605693,0.2706221537908862,Q3,2,14.372841796605693,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,4.81,4.8,0.066666675
BFRG,2023-04-14,6.7201,-719.6712000000065,-1.43941310397168,tag_bb,1,1,7.087827426810477,294683.0,3.5311617094586905,43.28644177078856,4.0,0.8478260869565211,2.15716486902927,1.0,2.3255173693710285,15.892857142857151,36.42857142857143,0.2843137254901961,3499201.0,22.605345679995644,-31.684210526315788,17.45251711702032,1.9866260897844965,0.1162734363645216,0.0847827140157993,-0.1596246402399267,1.0416968552715018,4.0,14.0,3333.33375,-47.97808599726043,0.1387623641562096,Q2,3,-47.97808599726043,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,6.72,6.7,0.066666675
BFRG,2023-04-17,7.3714482,-1775.9677517999996,-3.55242135459895,stop,0,1,3.2409470752089184,156437.0,1.46867253827353,53.7395596805555,3.0,0.9488611946712516,2.1935933147632403,1.0,1.789878237266344,5.27859237536656,28.88563049853373,0.2944162436548223,4139542.6,23.621055776350904,-24.421052631578952,17.722511575614817,3.1043934660800447,0.0909377500788127,0.0460751267065978,-0.021820297725834,1.2643355162964,0.0,17.0,3333.33375,-118.39786491973122,0.5130880476645994,Q5,1,-118.39786491973122,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,7.37,7.3494,0.066666675
OCEA,2023-04-17,7.2216,8.099910000006947,0.0162013958125762,tag_bb,0,1,5.070422535211272,90344.0,2.289439538326,132.21375214725748,1.0,0.6016666666666677,-0.6112676056337918,1.0,0.457195881538773,7.575757575757576,14.242424242424237,0.3936170212765951,1263166.75,11.600932464929144,-10.1095144647718,13.030584506699116,1.1442566866171866,0.0909377500788127,0.0460751267065978,-0.021820297725834,1.2643355162964,0.0,17.0,3333.33375,0.539994067499713,0.1664346743558712,Q2,3,0.539994067499713,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,7.22,7.2,0.06666667499999998
CLSK,2023-04-18,4.83446,-302.7103400000036,-0.6054450755617039,tag_bb,1,1,3.952991452991464,915493.0,1.536922875008483,30.912906779230543,3.0,0.7843243243243234,2.1388888888888955,0.0,1.10702395289355,6.605922551252849,19.134396355353072,0.7619047619047616,7086280.3,10.225309802654545,1.960784313725487,8.030233802157895,1.7155097576368803,0.1467828095673549,-0.0914384715337589,0.3961926849301798,1.1094599939685932,1.0,18.0,3333.33375,-20.18069185591974,0.1183736991530882,Q2,3,-20.18069185591974,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,4.83,4.82,0.066666675
RLAY,2023-04-19,12.52747,-1769.0316614146363,-3.5382662232905413,stop,0,1,5.641864268192964,406392.0,2.131452591754836,46.953492843547714,2.0,0.2536231884057957,-2.085036794766973,1.0,-1.7864865215098824,5.249569707401044,61.53098106712566,0.1076798276898977,2085987.95,9.5370057678076,-36.40145605824232,9.626759756424004,6.695022854758101,0.1407015671243472,0.0654990053854693,-0.4804326307911331,0.8745979684373606,2.0,19.0,3333.33375,-117.9354588362396,0.1373301249971591,Q2,3,-117.9354588362396,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,12.53,12.49,0.066666675
PTPI,2023-04-25,4.4132,4024.004777200003,8.04846947613975,scale_lock,1,1,5.517241379310351,80042.0,3.467267515727842,87.20843284189635,3.0,0.874166666666664,0.4551724137931044,0.0,1.2386579958905792,13.281249999999996,51.302083333333336,0.0355329949238577,7075356.55,27.78344205854225,-54.40251572327044,80.90308997683798,0.1180963805986569,0.1120339024330791,0.0779366277795489,-0.4968131255604322,0.6800979198734236,1.0,25.0,3333.33375,268.26701868004,0.3601773309160251,Q4,0,268.26701868004,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,4.41,4.4,0.066666675
PTPI,2023-04-26,4.774279999999999,-2840.922699999988,-5.6822704156438,stop,0,1,5.549450549450539,70699.0,2.556449625275996,35.92058914190864,3.0,0.4851485148514846,1.75824175824176,0.0,-0.4439499569473577,6.308411214953261,54.4392523364486,0.1115879828326183,7940779.55,29.98850812364054,-52.30607966457023,80.82161479790925,2.1799170838334128,0.1426042486231274,0.0172108575924452,0.1576044129235725,0.8244291252079058,2.0,26.0,3333.33375,-189.39487034102163,0.2363640056196997,Q3,2,-189.39487034102163,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,4.77,4.76,0.06666667499999998
JYD,2023-04-28,4.0921397,-1783.7033763999966,-3.567566376094143,stop,0,1,3.245000000000009,27193.0,1.9996837027628604,101.51092812733282,2.0,0.3844375963020024,0.0,1.0,-0.2424022864347462,7.238605898123325,13.136729222520112,0.4693877551020405,1863176.8,35.267977524456455,-60.0,10.40000276962607,0.4949428309755682,0.1822644535711682,0.1263700211426721,-0.2230789748066283,1.2375184183360624,4.0,28.0,3333.33375,-118.91357329086124,0.1669935877530616,Q2,3,-118.91357329086124,2023-04,research/orb_2023/book_1418_liveexit.csv,2023-24,4.09,4.0799,0.066666675
CHGG,2023-05-03,9.68898,-379.801800000003,-0.7596774892713224,tag_bb,1,1,3.7422037422037366,1504603.0,2.10754532358859,56.34906219852355,3.0,0.8888888888888862,0.0,1.0,1.7153648401174666,5.947136563876643,12.444933920704834,0.3185840707964599,5552852.1,3.4576714595924374,-48.74800213106021,11.231921233228702,9.072124755492768,0.1118241929210512,0.0170167250097221,0.1265699542401028,1.1183055808392663,2.0,3.0,3333.33375,-25.3201231650152,0.3210659576478303,Q4,0,-25.3201231650152,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,9.69,9.66,0.066666675
MINM,2023-05-05,3.2096,1117.1825011999997,2.234403040877367,lock,1,1,4.687500000000011,18010.0,2.3433005083871428,90.50836953045145,2.0,0.6660000000000006,-1.5656250000000012,1.0,-0.2920790868583339,12.280701754385968,57.894736842105246,0.1393939393939394,2381530.65,36.67102260862946,-77.14285714285715,602.1757522131857,0.6514407026422272,0.2335477244381504,0.1247218214276957,0.9330338409893194,1.3567254381296732,4.0,5.0,3333.33375,74.47884272318748,0.3738524217539299,Q4,0,74.47884272318748,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,3.21,3.2,0.066666675
PACWP,2023-05-05,8.204539999999998,3145.627708240007,6.291448342485148,scale_lock,1,1,4.374999999999996,44764.0,1.9020680989465943,64.70112995616626,3.0,0.971428571428572,2.124999999999999,1.0,1.7131108387788443,28.2051282051282,48.879807692307686,0.5704730992426479,682107.05,10.30019127557011,-51.865222623345375,11.8023733860696,3.99854245752188,0.2335477244381504,0.1247218214276957,0.9330338409893194,1.3567254381296732,4.0,5.0,3333.33375,209.70854009623136,0.3365803952511056,Q4,0,209.70854009623136,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,8.2,8.18,0.066666675
BFRG,2023-05-05,5.616799999999999,-2238.3407006999887,-4.47711686369461,stop,0,1,4.131531531531521,24076.0,1.1516066456066436,76.77737464417797,2.0,0.3894461404273874,-1.6216216216216193,0.0,-1.3709205621114835,5.31309297912714,13.472485768500947,0.1971830985915488,3127754.75,22.04312750486157,-36.93181818181819,16.41548397768519,0.3202383434954419,0.2335477244381504,0.1247218214276957,0.9330338409893194,1.3567254381296732,4.0,5.0,3333.33375,-149.2227320328384,0.3270963770746622,Q4,0,-149.2227320328384,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,5.62,5.6,0.066666675
EYPT,2023-05-19,6.6091682,-1445.1953263704988,-2.8904856090665065,stop,0,1,2.940993788819876,48199.0,1.0895508002332992,108.66743036722193,2.0,0.4640971488912324,0.7437888198757668,0.0,0.4814646180368198,5.057096247960857,15.823817292006522,0.3505154639175257,2022619.75,14.937845555556152,-38.13640730067242,9.295980064424352,0.5746482995629801,0.1262584192112623,0.0190399124163991,0.2242205949001736,1.0258211320713368,4.0,19.0,3333.33375,-96.34636713466097,0.3359771873252404,Q4,0,-96.34636713466097,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,6.61,6.5894,0.066666675
ORMP,2023-05-22,5.075179999999999,-1114.3861564514211,-2.2289685432691058,stop,0,1,6.526315789473676,172574.0,1.4331468881931173,52.3204467804689,5.0,0.9677419354838716,6.315789473684206,1.0,2.6683509300002983,6.502242152466368,20.852017937219724,0.3763440860215051,1858948.05,9.895915832275245,-5.753968253968254,7.174164200032325,1.608756091919836,0.2508121536403619,0.2269252818650842,0.0047776025990114,1.0849411256220116,0.0,22.0,3333.33375,-74.29241971664604,0.3544290838680662,Q4,0,-74.29241971664604,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,5.08,5.06,0.066666675
ARVL,2023-05-25,3.9717797,-1480.9663679993153,-2.9621245120202144,stop,0,1,2.796437659033081,49576.0,1.935279165118584,49.526521082879526,4.0,0.6369426751592335,-0.2544529262086573,1.0,0.2936118223828587,7.671232876712336,23.835616438356155,0.2413793103448276,850395.75,14.715250744632977,-10.681818181818183,11.73652420596671,3.007684363427263,0.3857931666385413,-0.3327466062257361,0.8878834318519142,0.8862679986312091,3.0,25.0,3333.33375,-98.73110354134072,0.3702954830734655,Q4,0,-98.73110354134072,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,3.97,3.9599,0.06666667499999998
GSIT,2023-05-25,5.817399999999999,1151.9621044000069,2.3041668099150963,lock,1,1,4.827586206896556,343640.0,2.748971005384856,28.77126962129969,2.0,0.6782142857142873,-1.5534482758620625,1.0,0.5203067543379611,12.403100775193792,16.96317829457365,0.1827944704672685,12686142.2,17.305292235891322,-20.54794520547945,47.88787675256393,0.1921456469248784,0.3857931666385413,-0.3327466062257361,0.8878834318519142,0.8862679986312091,3.0,25.0,3333.33375,76.79748322635132,0.2536253882270212,Q3,2,76.79748322635132,2023-05,research/orb_2023/book_1418_liveexit.csv,2023-24,5.82,5.8,0.066666675
