day,symbol,entry_m,signal_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,net_R,cost_R,date,pnl_R
2025-01-02,ASPI,656,655,747,4.9818,stop,TRAIN,H1,2024-12-30,5.12,4.9818,0.13820000000000032,5.12,-1.1257623733719244,0.12576237337192445,2025-01-02,-1.1257623733719244
2025-01-02,BFLY,696,695,749,3.95,stop,TRAIN,H1,2024-12-30,4.0872,3.95,0.1372,4.0872,-1.1010862973760933,0.10108629737609331,2025-01-02,-1.1010862973760933
2025-01-02,CONL,734,733,747,38.18,stop,TRAIN,H1,2024-12-30,38.91,38.18,0.7299999999999969,38.91,-1.1810246575342473,0.18102465753424732,2025-01-02,-1.1810246575342473
2025-01-02,GRRR,709,708,955,24.38,eod,TRAIN,H1,2024-12-30,22.7,22.1,0.5999999999999979,22.7,2.670806666666676,0.12919333333333377,2025-01-02,2.670806666666676
2025-01-02,LTBR,675,674,769,5.0201,stop,TRAIN,H1,2024-12-30,5.14,5.0201,0.11989999999999945,5.14,-1.1455547956630532,0.1455547956630532,2025-01-02,-1.1455547956630532
2025-01-02,RGTI,652,651,955,19.7724,eod,TRAIN,H1,2024-12-30,16.84,16.22,0.620000000000001,16.84,4.636383096774188,0.09329432258064502,2025-01-02,4.636383096774188
2025-01-02,RGTIW,700,699,749,7.0,stop,TRAIN,H1,2024-12-30,7.1286,7.0,0.1285999999999996,7.1286,-1.188269984447901,0.18826998444790105,2025-01-02,-1.188269984447901
2025-01-02,SEDG,637,636,691,14.87,stop,TRAIN,H1,2024-12-30,15.155,14.87,0.28500000000000014,15.155,-1.1805964912280702,0.1805964912280701,2025-01-02,-1.1805964912280702
2025-01-02,SERV,637,636,758,14.5,stop,TRAIN,H1,2024-12-30,14.88,14.5,0.3800000000000008,14.88,-1.1329368421052628,0.1329368421052629,2025-01-02,-1.1329368421052628
2025-01-02,TSLQ,758,757,955,30.1401,eod,TRAIN,H1,2024-12-30,30.41,29.385,1.0249999999999986,30.41,-0.3641366048780491,0.10081953170731722,2025-01-02,-0.3641366048780491
