day,symbol,entry_m,signal_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,net_R,cost_R,date,pnl_R
2026-01-02,AAOI,680,679,955,39.41,eod,VAL,,2025-12-29,38.65,38.02,0.6299999999999955,38.65,0.9975206349206389,0.20882857142857295,2026-01-02,0.9975206349206389
2026-01-02,AMPX,601,600,955,8.79,eod,VAL,,2025-12-29,8.475,8.2948,0.18019999999999925,8.475,1.5878024417314134,0.16025527192008945,2026-01-02,1.5878024417314134
2026-01-02,APLD,633,632,955,27.8,eod,VAL,,2025-12-29,26.305,25.7,0.6050000000000004,26.305,2.3227504132231407,0.14832396694214867,2026-01-02,2.3227504132231407
2026-01-02,ASTX,718,717,955,52.97,eod,VAL,,2025-12-29,44.73,43.75,0.9799999999999969,44.73,8.251295918367374,0.15686734693877602,2026-01-02,8.251295918367374
2026-01-02,BITU,643,642,955,23.16,eod,VAL,,2025-12-29,23.17,22.68,0.490000000000002,23.17,-0.1811755102040841,0.16076734693877487,2026-01-02,-0.1811755102040841
2026-01-02,BKKT,670,669,955,11.11,eod,VAL,,2025-12-29,10.9895,10.812,0.1775000000000002,10.9895,0.46823436619718156,0.21063887323943636,2026-01-02,0.46823436619718156
2026-01-02,BMNG,633,632,955,4.0802,eod,VAL,,2025-12-29,3.6,3.43,0.16999999999999993,3.6,2.7521409411764686,0.07256494117647062,2026-01-02,2.7521409411764686
2026-01-02,BMNR,633,632,955,31.07,eod,VAL,,2025-12-29,28.9718,28.26,0.7118000000000002,28.9718,2.808761225063217,0.13897690362461362,2026-01-02,2.808761225063217
2026-01-02,BMNU,722,721,955,6.085,eod,VAL,,2025-12-29,5.9144,5.75,0.16439999999999966,5.9144,0.9151880778588847,0.12252481751824844,2026-01-02,0.9151880778588847
2026-01-02,BULG,636,634,955,3.58,eod,VAL,,2025-12-29,3.41,3.3125,0.09750000000000014,3.41,1.624328205128202,0.11926153846153831,2026-01-02,1.624328205128202
2026-01-02,CONL,676,675,955,15.96,eod,VAL,,2025-12-29,15.61,15.23,0.379999999999999,15.61,0.7812000000000059,0.13985263157894773,2026-01-02,0.7812000000000059
2026-01-02,CRCA,634,633,955,4.445,eod,VAL,,2025-12-29,4.29,4.14,0.15000000000000036,4.29,0.9358866666666661,0.09744666666666645,2026-01-02,0.9358866666666661
2026-01-02,CRWU,716,715,790,6.205,stop,VAL,,2025-12-29,6.335,6.205,0.1299999999999999,6.335,-1.1654846153846155,0.1654846153846155,2026-01-02,-1.1654846153846155
2026-01-02,CWVX,716,715,791,26.84,stop,VAL,,2025-12-29,27.5,26.92,0.5799999999999983,27.5,-1.2989103448275903,0.16097931034482807,2026-01-02,-1.2989103448275903
2026-01-02,DFLI,601,600,955,3.9,eod,VAL,,2025-12-29,3.28,3.14,0.13999999999999968,3.28,4.348028571428582,0.08054285714285733,2026-01-02,4.348028571428582
2026-01-02,ENVX,688,687,955,7.92,eod,VAL,,2025-12-29,7.8,7.655,0.14499999999999957,7.8,0.6445241379310371,0.18306206896551777,2026-01-02,0.6445241379310371
2026-01-02,FLY,739,738,795,22.68,stop,VAL,,2025-12-29,23.26,22.68,0.5800000000000018,23.26,-1.1361517241379306,0.1361517241379306,2026-01-02,-1.1361517241379306
2026-01-02,GRRR,626,625,955,12.59,eod,VAL,,2025-12-29,11.69,11.52,0.16999999999999993,11.69,5.059258823529416,0.23485882352941187,2026-01-02,5.059258823529416
2026-01-02,HIMZ,689,688,955,6.18,eod,VAL,,2025-12-29,6.0,5.845,0.15500000000000025,6.0,1.029445161290319,0.1318451612903224,2026-01-02,1.029445161290319
2026-01-02,HUT,634,633,955,51.32,eod,VAL,,2025-12-29,50.0487,48.91,1.1387,50.0487,0.9667868270835194,0.1496617546324756,2026-01-02,0.9667868270835194
2026-01-02,IRE,633,632,955,7.38,eod,VAL,,2025-12-29,6.6886,6.36,0.3285999999999998,6.6886,2.034450639074864,0.06962726719415709,2026-01-02,2.034450639074864
2026-01-02,IREN,633,632,955,42.44,eod,VAL,,2025-12-29,40.2,39.15,1.0500000000000043,40.2,2.0027352380952252,0.13059809523809474,2026-01-02,2.0027352380952252
2026-01-02,IREX,633,632,955,12.6,eod,VAL,,2025-12-29,11.415,10.855,0.5599999999999987,11.415,2.0463428571428626,0.06972857142857158,2026-01-02,2.0463428571428626
2026-01-02,LAES,627,626,955,4.235,eod,VAL,,2025-12-29,3.9614,3.9,0.0613999999999999,3.9614,4.235773941368093,0.220252117263844,2026-01-02,4.235773941368093
2026-01-02,LUNR,641,640,955,17.87,eod,VAL,,2025-12-29,17.31,16.63,0.6799999999999997,17.31,0.7368147058823566,0.08671470588235297,2026-01-02,0.7368147058823566
