day,symbol,entry_m,exit_m,why,split,half,wk,net_R,date,pnl_R
2025-01-02,ASPI,656,717,nobreak,TRAIN,H1,2024-12-30,-0.5600289435600602,2025-01-02,-0.5600289435600602
2025-01-02,BFLY,696,749,stop,TRAIN,H1,2024-12-30,-1.1010862973760933,2025-01-02,-1.1010862973760933
2025-01-02,CONL,734,747,stop,TRAIN,H1,2024-12-30,-1.1810246575342473,2025-01-02,-1.1810246575342473
2025-01-02,GRRR,709,738,target,TRAIN,H1,2024-12-30,1.8709666666666662,2025-01-02,1.8709666666666662
2025-01-02,LTBR,675,769,stop,TRAIN,H1,2024-12-30,-1.1455547956630532,2025-01-02,-1.1455547956630532
2025-01-02,RGTI,652,738,target,TRAIN,H1,2024-12-30,1.907251612903226,2025-01-02,1.907251612903226
2025-01-02,RGTIW,700,738,target,TRAIN,H1,2024-12-30,1.811130015552099,2025-01-02,1.811130015552099
2025-01-02,SEDG,637,691,stop,TRAIN,H1,2024-12-30,-1.1805964912280702,2025-01-02,-1.1805964912280702
2025-01-02,SERV,637,758,stop,TRAIN,H1,2024-12-30,-1.1329368421052628,2025-01-02,-1.1329368421052628
2025-01-02,TSLQ,758,819,nobreak,TRAIN,H1,2024-12-30,-0.08136390243902492,2025-01-02,-0.08136390243902492
2025-01-02,U,610,624,stop,TRAIN,H1,2024-12-30,-1.1190022714981072,2025-01-02,-1.1190022714981072
2025-01-02,UEC,627,949,target,TRAIN,H1,2024-12-30,1.7907833333333336,2025-01-02,1.7907833333333336
2025-01-02,VSAT,638,670,stop,TRAIN,H1,2024-12-30,-1.1793311475409838,2025-01-02,-1.1793311475409838
2025-01-02,VUZI,613,646,stop,TRAIN,H1,2024-12-30,-1.0865684210526314,2025-01-02,-1.0865684210526314
2025-01-03,ATOM,631,641,target,TRAIN,H1,2024-12-30,1.8833936758893284,2025-01-03,1.8833936758893284
2025-01-03,LFCR,801,955,eod,TRAIN,H1,2024-12-30,0.2612823529411783,2025-01-03,0.2612823529411783
2025-01-03,LTBR,785,794,stop,TRAIN,H1,2024-12-30,-1.167049114703618,2025-01-03,-1.167049114703618
2025-01-03,RCAT,616,618,stop,TRAIN,H1,2024-12-30,-1.165348093841642,2025-01-03,-1.165348093841642
2025-01-03,RIVN,629,663,target,TRAIN,H1,2024-12-30,1.8583402018056292,2025-01-03,1.8583402018056292
2025-01-03,RZLV,719,724,stop,TRAIN,H1,2024-12-30,-1.1342445471349352,2025-01-03,-1.1342445471349352
2025-01-03,SIDU,670,730,target,TRAIN,H1,2024-12-30,1.8363999999999996,2025-01-03,1.8363999999999996
2025-01-03,UAVS,708,749,stop,TRAIN,H1,2024-12-30,-1.1342888888888891,2025-01-03,-1.1342888888888891
2025-01-06,ALLT,621,657,stop,TRAIN,H1,2025-01-06,-1.19156,2025-01-06,-1.19156
2025-01-06,AMDL,601,641,stop,TRAIN,H1,2025-01-06,-1.166581535038932,2025-01-06,-1.166581535038932
2025-01-06,AMPX,674,903,stop,TRAIN,H1,2025-01-06,-1.074411111111111,2025-01-06,-1.074411111111111
2025-01-06,ASPN,653,714,nobreak,TRAIN,H1,2025-01-06,-0.5870468085106391,2025-01-06,-0.5870468085106391
2025-01-06,CIFR,638,955,eod,TRAIN,H1,2025-01-06,0.6701333333333434,2025-01-06,0.6701333333333434
2025-01-06,CMPS,606,745,target,TRAIN,H1,2025-01-06,1.8873999999999997,2025-01-06,1.8873999999999997
2025-01-06,CONL,694,706,stop,TRAIN,H1,2025-01-06,-1.1236681818181817,2025-01-06,-1.1236681818181817
2025-01-06,CRNT,797,857,stop,TRAIN,H1,2025-01-06,-1.1804857142857135,2025-01-06,-1.1804857142857135
2025-01-06,GCT,625,665,target,TRAIN,H1,2025-01-06,1.8255365853658536,2025-01-06,1.8255365853658536
2025-01-06,GDS,613,674,nobreak,TRAIN,H1,2025-01-06,-0.9250820143884884,2025-01-06,-0.9250820143884884
2025-01-06,GXAI,650,654,target,TRAIN,H1,2025-01-06,1.8854478813559319,2025-01-06,1.8854478813559319
2025-01-06,IREN,691,704,stop,TRAIN,H1,2025-01-06,-1.1842550250113697,2025-01-06,-1.1842550250113697
2025-01-06,MOB,608,617,target,TRAIN,H1,2025-01-06,1.8808615384615384,2025-01-06,1.8808615384615384
2025-01-06,MP,624,656,target,TRAIN,H1,2025-01-06,1.7747850616872272,2025-01-06,1.7747850616872272
2025-01-06,MSTU,618,802,target,TRAIN,H1,2025-01-06,1.8840000000000001,2025-01-06,1.8840000000000001
2025-01-06,NNE,620,650,target,TRAIN,H1,2025-01-06,1.882142474996988,2025-01-06,1.882142474996988
2025-01-06,NNOX,609,639,stop,TRAIN,H1,2025-01-06,-1.0993189189189192,2025-01-06,-1.0993189189189192
2025-01-06,PBYI,630,669,target,TRAIN,H1,2025-01-06,1.8850200000000001,2025-01-06,1.8850200000000001
2025-01-06,PPTA,646,679,stop,TRAIN,H1,2025-01-06,-1.113409118852459,2025-01-06,-1.113409118852459
2025-01-06,QS,616,638,stop,TRAIN,H1,2025-01-06,-1.1268022099447514,2025-01-06,-1.1268022099447514
2025-01-06,SKYT,622,650,stop,TRAIN,H1,2025-01-06,-1.0959796610169492,2025-01-06,-1.0959796610169492
