symbol,day,sized_pnl,exit_reason,prev_vol,pm_volume,pm_dollar_vol,pm_range_pct,pm_n_bars
LAES,2025-01-02,943.327980000001,eod,0.0,12037603.0,86136080.84455705,17.467248908296934,330.0
KULR,2025-01-02,299.71591842003744,target,0.0,2246180.0,8427942.567386001,7.349081364829403,305.0
CRNC,2025-01-03,20575.357980891316,eod,0.0,9786467.0,101689788.84050305,30.20446096654275,93.0
ONDS,2025-01-03,-2662.977750000002,stop,0.0,9882844.0,31459714.348751016,23.114197530864192,323.0
DFNS,2025-01-06,887.9736634999994,eod,0.0,28031.0,690085.86165,6.5306122448979655,62.0
AMPG,2025-01-06,537.7981452500012,lock,0.0,2781473.0,12357600.307373995,23.07692307692308,292.0
LAES,2025-01-06,318.46646024999893,stop,0.0,17370788.0,148226251.39019004,21.714922048997785,330.0
PDYN,2025-01-06,80.46997387500096,target,0.0,955469.0,10419790.016556006,7.055998973672874,296.0
AUR,2025-01-07,309.1640200000024,target,8933722.2,17335630.0,160279568.80014712,43.77067254685777,330.0
SMST,2025-01-07,-273.9065174999996,stop,24148895.2,1649469.0,7541810.159117,5.376344086021505,279.0
SANA,2025-01-08,1088.1647775000013,tag_bb,6107611.5,30932146.0,180748178.19576803,56.27062706270626,330.0
KITT,2025-01-10,-152.2704717749989,tag_bb,26258144.285714287,793593.0,2593988.870838001,20.766109708954982,235.0
AMPX,2025-01-10,2864.863606529224,eod,6399507.428571428,109841.0,349613.81119800004,7.086956521739135,68.0
MYSE,2025-01-10,-1831.8989722879064,stop,24078170.666666668,3374086.0,13140952.609242998,37.499999999999986,184.0
GRRR,2025-01-13,-381.2686474999989,stop,5877391.875,1342060.0,17162551.499867003,33.43239227340267,197.0
SBIT,2025-01-13,6.096329987499534,stop,5678199.125,1286579.0,15439818.804329999,7.920792079207914,268.0
BTCZ,2025-01-13,-135.18471374999936,stop,786529.5,106686.0,645456.2286340002,4.075409836065569,51.0
ETHT,2025-01-14,-92.58308141249915,stop,1012445.2222222222,233564.0,4572942.525194,5.612244897959172,89.0
WKEY,2025-01-15,199.02430999999973,tag_bb,1987119.8,166903.0,1308978.8875010004,13.41614906832298,95.0
MSTU,2025-01-17,223.4542050000016,eod,52183548.16666666,6324795.0,77645491.77160701,6.096582704957483,330.0
