day,symbol,trig_min,R_pct,final_r,pnl,reason,vol_trig,pre_vol,bar_date,open,entry,era3,min_dollar,pos0,pos,part,slip_extra,pnl_real,pnl_hard,anchor,uc,v20,dayrel
2025-01-03,ABSI,596,9.36282062902202,0.8328967598656108,1949.5657412788355,eod,23139,11233.8,2025-01-03,2.72,3.000976,25H1,69439.583664,25000.0,10415.9375496,0.15,0.0012,799.7630753404792,787.2639502809592,ABSI,1.0,,
2025-01-03,ACHR,577,10.58383962572951,0.6994351485785524,1850.6773602884225,eod,753878,532687.1428571428,2025-01-03,9.65,10.646845,25H1,8026422.214910001,25000.0,25000.0,0.0031147127986314,2.491770238905163e-05,1850.0544177286963,1849.4314751689697,ACHR,1.0,,
2025-01-03,AMPX,595,11.820778035692616,-0.0772869637542725,-228.3980108979692,eod,136666,49892.92,2025-01-03,2.95,3.254735,25H1,444811.61351,25000.0,25000.0,0.0562035685235946,0.0004496285481887,-239.6387246026879,-250.87943830740684,AMPX,1.0,,
2025-01-03,ARQQ,579,11.012882099621883,-1.0080802751809574,-2775.467304380567,stop,13624,13839.666666666666,2025-01-03,39.0,43.0287,25H1,586223.0088,25000.0,25000.0,0.0426458866757466,0.0003411670934059,-2783.9964817157165,-2792.525659050866,ARQQ,1.0,,
2025-01-03,ATOM,599,11.838894092134376,0.7402671052258475,2190.9859646649256,eod,8094,10142.206896551725,2025-01-03,13.5,14.89455,25H1,120556.4877,25000.0,18083.473155,0.15,0.0012,1563.1252672139983,1541.4250994279985,ATOM,1.0,,
2025-01-03,BFLY,596,10.26468311032528,-1.00874214195657,-2588.6046068037376,stop,60598,63945.36,2025-01-03,4.02,4.435266,25H1,268768.24906799995,25000.0,25000.0,0.0930169396373708,0.0007441355170989,-2607.207994731212,-2625.811382658686,BFLY,1.0,,
2025-01-03,FFAI,586,13.46935950019901,-0.6304418365102562,-1891.3255095307688,eod,390668,360671.5625,2025-01-03,3.08,3.398164,25H1,1327553.933552,22272.77399460364,22272.77399460364,0.0167773025499692,0.0001342184203997,-1894.314926074245,-1897.3043426177212,FFAI,1.0,,
2025-01-03,GETY,624,7.554332308239594,-1.0122374372637706,-1911.694493982838,stop,16143,8715.846153846154,2025-01-03,2.13,2.350029,25H1,37936.518147,25000.0,5690.477722049999,0.15,0.0012,-441.9667704414594,-448.7953437079194,GETY,1.0,,
2025-01-03,INLF,581,10.81467476082259,0.4902533049110028,1325.482510757721,lock,33685,2348.4,2025-01-03,4.37,4.821421,25H1,162409.566385,25000.0,24361.43495775,0.15,0.0012,1262.3925169890754,1233.1587950397752,INLF,1.0,,
2025-01-03,INTZ,589,12.624827084532802,-0.7231639773585047,-2169.4919320755143,eod,140734,55975.31578947369,2025-01-03,3.89,4.291837,25H1,604007.388358,23762.70169811216,23762.70169811216,0.0393417401113441,0.0003147339208907,-2176.970860351918,-2184.4497886283225,INTZ,1.0,,
2025-01-03,IONQ,595,9.573115708769077,-0.0444243810176551,-106.3199349431142,eod,231075,237786.04,2025-01-03,43.1,47.55223,25H1,10988131.54725,25000.0,25000.0,0.0022751820810023,1.820145664801893e-05,-106.77497135931466,-107.23000777551512,IONQ,1.0,,
2025-01-03,JOBY,600,10.522711407078427,0.6954018916066043,1829.3783543281827,eod,265314,131173.66666666666,2025-01-03,8.205,9.0525765,25H1,2401775.281521,25000.0,25000.0,0.0104089671470712,8.327173717657035e-05,1827.2965608987683,1825.2147674693545,JOBY,1.0,,
2025-01-03,KULR,578,12.286600608730994,-0.0464745496513814,-139.42364895414448,eod,621155,476078.875,2025-01-03,3.1,3.42023,25H1,2124492.96565,24416.843157318606,24416.843157318606,0.0114930214183355,9.194417134668418e-05,-141.66863536514578,-143.9136217761474,KULR,1.0,,
