symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,vol_open5,n_prior,rvol_open5,ratr,ratr_tier,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_rvol_key,_sized_pnl,month,_anchor
CYD,2025-02-21,23.0,0.0,0.0,no_fill,0,0,4.444444444444445,249949.0,1.8171288886436272,161.9142435893605,3.0,0.4200000000000017,-0.3555555555555479,0.0,-0.3599820412542559,18.54583772391992,29.08324552160168,0.2318840579710147,131074.6,6.732199786247728,-3.100775193798445,7.229567276409632,11.711849587944574,0.12558795089893,-0.0877624268646371,-0.0360431206789258,0.6238237461169069,4.0,21.0,249949.0,13.0,9.220776235623296,0.7565058848263868,wide,3333.3333333333335,0.0,0.1547491636986009,Q2,3,-9.220776235623296,0.0,2025-02,CYD
HMR,2025-03-27,3.4459067999999995,1222.6196480388032,2.445402562831944,lock,1,1,5.149560117302059,47035.0,1.8659276268440617,49.94324124519087,1.0,0.5546697038724389,-1.5425219941348969,1.0,-0.4635742719602191,7.911392405063291,13.924050632911388,0.2272727272727275,8798889.55,22.90620603222046,-28.95833333333333,24.27739003573155,0.0841376625758417,0.2803244005641805,-0.1622002820874599,-0.24798184983909,0.9807998975028132,3.0,27.0,47035.0,14.0,0.3689604570360455,0.2072838978216278,narrow,3333.3333333333335,81.50797653592022,0.21998140843971167,Q3,2,-0.3689604570360455,81.50797653592022,2025-03,HMR
TSLG,2025-04-14,4.46,0.0,0.0,no_fill,0,0,2.293577981651368,131919.0,1.0171370367217925,68.77696775785232,2.0,0.5,1.146788990825684,0.0,-0.1897434044091731,5.060240963855421,12.771084337349391,0.6509433962264157,2087958.0,16.032006477500545,-26.9277825263546,14.858537030510824,1.0313109746460418,0.0,0.0,1.8934711765366707,5.933838140197816,0.0,14.0,148883.0,14.0,2.536747855274704,0.1091894385319878,narrow,3333.3333333333335,0.0,0.16059628106443988,Q2,3,-2.536747855274704,0.0,2025-04,TSLA
SMCZ,2025-05-07,17.91,0.0,0.0,no_fill,0,0,2.3661971830986013,31189.0,0.7006151786774687,81.56481284402479,1.0,0.5238095238095274,-0.2253521126760515,0.0,-0.3329641148520201,11.84625078764966,11.405166981726532,0.2872928176795577,385972.1,14.291440867222748,-21.28603104212861,12.549455907838864,1.8881546101389195,0.2196018923502823,0.0178523609747429,0.2415891195418795,1.0267214158535585,2.0,7.0,31189.0,14.0,2.413702370883844,0.1654922879682442,narrow,3333.3333333333335,0.0,0.37643113459750516,Q4,0,-2.413702370883844,0.0,2025-05,SMCI
OMER,2025-05-13,4.232659999999999,2072.1496300000063,4.144615915287328,eod,1,1,5.213270142180089,209452.0,2.3135398961453912,118.04281113156622,3.0,0.3409090909090921,-3.436018957345962,1.0,0.1463279405487474,11.198945981554672,55.59947299077734,0.0023696682464454,833396.3,8.471887087675546,-44.98044328552803,9.019965204699012,8.908669260950642,0.1285435162650396,0.0034278271003979,0.0720424020995144,1.1284371830928306,1.0,13.0,209452.0,14.0,9.00998915357978,0.3905407975654594,normal,3333.3333333333335,138.14330866666708,0.18020888345744143,Q2,3,-9.00998915357978,138.14330866666708,2025-05,OMER
CONI,2025-05-19,5.6,0.0,0.0,no_fill,0,0,3.214285714285709,185010.0,1.2564762946462826,61.20348441537297,3.0,0.4444444444444455,-1.7857142857142794,0.0,0.1306528738898637,5.26315789473683,20.11278195488722,0.1308411214953276,1654345.45,9.060932816438918,-61.24567474048443,12.3601816613589,6.8130045027778205,0.2482570991327873,0.1887434109845287,-1.0265903736115822,0.819816810036342,0.0,19.0,258523.0,14.0,3.925729080458897,0.1415910627046975,narrow,3333.3333333333335,0.0,0.34471480796805454,Q4,0,-3.925729080458897,0.0,2025-05,COIN
EDBL,2025-05-28,3.5204297,4924.447529903989,9.84945793674834,scale_eod,1,1,4.139999999999994,31462.0,1.9465788551144905,88.97937635757057,2.0,0.8329882677708762,-0.408571428571428,1.0,0.8185779981326194,5.421686746987957,25.602409638554207,0.1411764705882349,10413362.3,14.203168174041492,-44.35612082670906,21.20352218081344,0.0926152353308594,0.1250063390638505,0.0743614449684679,0.0693563393385719,1.381843170072817,2.0,28.0,31462.0,14.0,0.0830231910703154,0.2075283381109283,narrow,3333.3333333333335,328.2965019935993,0.4320453471346174,Q5,1,-0.0830231910703154,328.2965019935993,2025-05,EDBL
LTBR,2025-06-03,16.4434,0.0,0.0,no_fill,0,0,6.63529411764706,495409.0,2.754774008687872,40.85417365564225,3.0,0.8721487444891683,3.720190779014304,0.0,2.226875504137586,10.661505981703016,18.015482054890924,0.2031250000000005,2519704.05,10.672173151635022,-11.15819209039548,10.815933783832422,0.9304620516842048,0.1941621366107222,0.0269946314616593,-0.0624251320207191,1.284018278628749,1.0,3.0,495409.0,14.0,3.1666974095611007,0.6460989750382843,wide,3333.3333333333335,0.0,0.21239450679273222,Q3,2,-3.1666974095611007,0.0,2025-06,LTBR
TSLR,2025-06-06,17.5108,0.0,0.0,no_fill,0,0,4.091068301225925,637649.0,2.121259566539279,36.94390613925796,2.0,0.4138127853881311,-0.1751313485113694,1.0,-0.0816257934173388,9.73734785393978,42.79308135810379,0.2260479041916167,4287774.1,9.656464719397938,-36.15355944837868,9.259567179803968,2.848608792146956,0.1866365990144492,0.0684874300509426,0.9459573391788236,0.876904076273353,4.0,6.0,637649.0,14.0,3.9099541032661183,0.2973992153445226,narrow,3333.3333333333335,0.0,0.13198584045169978,Q2,3,-3.9099541032661183,0.0,2025-06,TSLA
ALAR,2025-06-10,12.36699,-894.4663126146453,-1.788941907333271,stop,0,1,4.09356725146199,115112.0,1.4813447025501116,46.4920003680348,3.0,0.836734693877551,2.339181286549702,1.0,2.2245726588022383,5.648720211827013,18.270079435127982,0.8454106280193235,206121.55,8.571894115367998,2.7467811158798305,9.983070976130646,7.534297117404755,0.1266202392456084,0.0258238645829816,0.0900480256136735,0.8211298870771674,1.0,10.0,115112.0,14.0,7.126322725001437,0.6035201596680775,wide,3333.3333333333335,-59.63108750764302,0.10891303139011929,Q2,3,-7.126322725001437,-59.63108750764302,2025-06,ALAR
ARAI,2025-06-12,9.07715,-639.5889599999927,-1.279256154189351,tag_bb,1,1,4.501657458563545,41364.0,1.3718193676597867,103.09979492828325,0.0,0.1408934707903763,-3.867403314917142,0.0,-2.0132137633686287,6.470588235294127,18.11764705882354,0.2142857142857142,2609381.210526316,35.626081857052625,-77.375,19.265378915603875,0.8942989972436094,0.1716609446351742,-0.0449985000499953,-0.2244911533856629,0.7164449607976284,3.0,12.0,41364.0,14.0,1.2925990326087198,0.1942391652306585,narrow,3333.3333333333335,-42.63926399999951,0.1209965404207712,Q2,3,-1.2925990326087198,-42.63926399999951,2025-06,ARAI
UMAC,2025-06-13,9.11727,-495.238104,-0.990493864939834,tag_bb,0,1,6.704545454545452,468270.0,2.341643126094407,42.1195912342598,4.0,0.966101694915255,3.068181818181813,1.0,3.2740396756739973,6.796116504854374,11.650485436893192,0.1041666666666664,4022651.7,11.331646666960712,-12.870424459648108,9.207104307575092,1.5103537301029566,0.3692564745196385,0.2172096908938938,-0.8695652173913043,0.7965701787192377,4.0,13.0,468270.0,14.0,1.915554408859532,0.5848903216719937,normal,3333.3333333333335,-33.015873600000006,0.3433380769196397,Q4,0,-1.915554408859532,-33.015873600000006,2025-06,UMAC
SBET,2025-06-16,10.95276,793.6811256000003,1.587382906226377,lock,1,1,3.40073529411764,1574131.0,2.174779232653495,27.929142356207016,3.0,0.8108108108108096,-0.2757352941176574,1.0,0.8231083456266282,18.132464712269268,28.013029315960907,0.062015503875969,9191941.8,34.52681328899192,-91.2342893973574,106.9324343354306,4.560091535827609,0.22151898734176,0.1882078614257154,0.5695142378559426,0.9101468021546336,0.0,16.0,1574131.0,14.0,3.3260693933960166,0.0150524460455803,narrow,3333.3333333333335,52.912075040000026,0.3875178029192193,Q4,0,-3.3260693933960166,52.912075040000026,2025-06,SBET
XTIA,2025-06-17,3.39014,-632.5505688000032,-1.2651571911484547,tag_bb,1,1,6.441717791411042,577171.0,3.0130278326131403,54.24927164952873,3.0,0.7380952380952394,1.9938650306748589,1.0,1.5218561637004655,17.68953068592057,40.7942238267148,0.2212389380530973,5787361.3,20.96589264099533,-56.12382234185733,20.43673751800552,1.2638258820993258,0.154943187497909,0.0349871713704846,-0.4098360655737562,0.8231625986803217,1.0,17.0,577171.0,14.0,2.8648129488904,0.2543681611295286,narrow,3333.3333333333335,-42.17003792000022,0.13988395120489808,Q2,3,-2.8648129488904,-42.17003792000022,2025-06,XTIA
SBET,2025-06-20,11.02,0.0,0.0,no_fill,0,0,2.917046490428444,665030.0,1.871266570277626,45.56538517124948,2.0,0.1609375000000022,-1.9917958067456751,0.0,-1.1480307134540104,9.700000000000006,27.00000000000001,0.1777777777777778,13245281.65,36.80441808141797,-91.16177892362232,107.17994650525875,1.4052958247210998,0.1621043484073711,-0.0116982519469317,0.1573379753615326,0.7773428115393068,4.0,20.0,665030.0,14.0,1.1271442467692914,0.0190121813410375,narrow,3333.3333333333335,0.0,0.12442569893876931,Q2,3,-1.1271442467692914,0.0,2025-06,SBET
LIMN,2025-06-30,11.3339,3254.4484170999976,6.509699753587002,scale_lock,1,1,4.545454545454546,40927.0,2.584431766947348,129.35364216121363,2.0,0.1999999999999993,-0.909090909090906,0.0,-1.4285190590114731,16.033755274261598,90.18987341772151,0.056140350877193,689756.4,36.76711476987765,-67.32026143790848,47.15945614865781,0.9920473372918324,0.1669528314111741,-0.1133860308410077,0.4016847994015428,0.6845970298556153,0.0,30.0,40927.0,14.0,4.749643555820816,0.0748529839134218,narrow,3333.3333333333335,216.96322780666654,0.10741866787268244,Q2,3,-4.749643555820816,216.96322780666654,2025-06,LIMN
SY,2025-07-03,3.5806097,1414.0566443492005,2.828133999078426,lock,1,1,5.963068181818187,222174.0,2.2195736806159667,85.34933644247666,2.0,0.9290138161029068,0.9943181818181858,1.0,2.0744679774347268,5.705705705705704,22.072072072072068,0.6326530612244897,1996005.8,14.816939064566933,-2.222222222222224,12.238876753366858,1.9127063658833048,0.1686882480520633,0.1429994377058336,0.3223466838584897,0.6125981299498948,3.0,3.0,222174.0,14.0,1.33203888151826,0.5349016430321962,normal,3333.3333333333335,94.27044295661338,0.11863870776709722,Q2,3,-1.33203888151826,94.27044295661338,2025-07,SY
ALTS,2025-08-12,7.2,0.0,0.0,no_fill,0,0,2.5352112676056424,681333.0,1.190022603432923,51.49946070921233,1.0,0.161111111111115,-0.7183098591549193,0.0,-0.4061620481271589,7.575757575757576,56.66515151515152,0.1550576218615469,3143501.05,11.312469374216464,-27.25409836065574,9.180850887699492,18.43802851600765,0.234223224916965,0.1723381588017833,0.3726883884765387,0.844076861170053,1.0,12.0,681333.0,14.0,6.11798201420161,0.2093807297134351,narrow,3333.3333333333335,0.0,0.17699757371261357,Q2,3,-6.11798201420161,0.0,2025-08,ALTS
NCNA,2025-08-21,3.37008,2368.706766719999,4.737555008202675,scale_lock,1,1,3.267267267267268,35499.0,0.800599842688564,50.59674915749724,2.0,0.0808823529411757,-2.1021021021021107,0.0,-1.769094508372741,7.073954983922837,13.4823151125402,0.1430956355831147,129275877.8,16.211881398273174,-41.578947368421055,3078.472860456794,0.0043774910650809,0.1980260262777379,-0.0601621927453282,-0.286784410211412,0.737875434498428,3.0,21.0,35499.0,14.0,0.0139421009475257,0.1667740052218545,narrow,3333.3333333333335,157.91378444799994,0.20352725326735363,Q3,2,-0.0139421009475257,157.91378444799994,2025-08,NCNA
CRWU,2025-09-09,14.575896899999998,-172.9985669999977,-0.3460294782957702,tag_bb,0,1,5.591390261115025,27505.0,1.9305420916448883,45.30114180228587,4.0,0.962514199166982,2.347212420606912,1.0,2.7361881067848404,14.18211120064464,14.82675261885576,0.6358695652173914,381181.55,16.16770224350225,-60.59510567296997,13.684158385819778,1.5651387114617694,0.0955374753451683,0.0331299309664568,0.0215773006796828,0.8810368794476895,1.0,9.0,27505.0,14.0,1.3896577732707318,0.4362256975981203,normal,3333.3333333333335,-11.533237799999847,0.21446404504833444,Q3,2,-1.3896577732707318,-11.533237799999847,2025-09,CRWV
OPAD,2025-09-09,4.59,0.0,0.0,no_fill,0,0,5.234460196292262,457446.0,2.161548415377014,21.09912537983879,3.0,0.7500000000000019,-1.199563794983636,1.0,1.8654920129604835,7.882352941176469,39.05882352941177,0.1144578313253014,22086673.55,24.1820673171515,-27.79527559055117,36.408451601301394,0.6468921165360367,0.0955374753451683,0.0331299309664568,0.0215773006796828,0.8810368794476895,1.0,9.0,729815.0,14.0,0.996730538951363,0.1954553478106764,narrow,3333.3333333333335,0.0,0.3108545941600586,Q4,0,-0.996730538951363,0.0,2025-09,OPAD
ZONE,2025-09-12,4.55362,-418.7772000000031,-0.8375753795881142,tag_bb,0,1,2.941176470588233,167219.0,1.3376272767976043,44.69587959705439,4.0,1.0,2.714932126696835,1.0,1.466264435494346,11.055276381909549,12.814070351758788,0.7647058823529418,2077944.65,17.652942726842703,-43.47826086956522,15.880493352925008,1.6924445027926995,0.0517039492693063,0.0106449307319053,-0.0045618356826745,0.6271730946410605,4.0,12.0,167219.0,14.0,1.794235156973906,0.1110101998043872,narrow,3333.3333333333335,-27.91848000000021,0.2994333124835822,Q4,0,-1.794235156973906,-27.91848000000021,2025-09,ZONE
IMRX,2025-09-23,9.65,0.0,0.0,no_fill,0,0,2.6595744680851063,37819.0,1.1707026638155575,121.96791448916392,2.0,0.6400000000000006,1.7021276595744694,0.0,0.1547536301413636,7.6746849942726225,15.807560137457052,0.0217391304347834,993074.4,11.52911489301673,-6.746031746031743,7.86483232756604,1.4278678415232533,0.0854944428612044,0.0502467339622808,-0.0179953212164843,0.6984047345561558,1.0,23.0,37819.0,14.0,0.7269529447947102,0.2928708850787832,narrow,3333.3333333333335,0.0,0.49940604476297973,Q5,1,-0.7269529447947102,0.0,2025-09,IMRX
DBGI,2025-09-24,5.16545,14757.969920349997,29.51807072070725,scale_eod,1,1,8.74791666666667,131868.0,4.399500338799411,41.12075171548359,4.0,0.8571088354370077,6.041666666666668,1.0,2.611805558215303,9.71428571428571,120.1142857142857,0.0247383444338724,364848.4,20.81760134184792,-59.32203389830509,11.479852837817235,13.663850519832346,0.1203912716328168,-0.0564334085778781,0.196016344747509,0.7352644870480297,2.0,24.0,131868.0,14.0,6.449101357134124,0.2589160974321504,narrow,3333.3333333333335,983.8646613566665,0.11594976196539421,Q2,3,-6.449101357134124,983.8646613566665,2025-09,DBGI
ORBS,2025-10-10,11.01,0.0,0.0,no_fill,0,0,3.725579282144481,635283.0,1.831183342466759,37.41279380582881,2.0,0.7317073170731722,-0.954111767378468,0.0,0.4775470093150384,30.390995260663523,33.649289099526065,0.1584507042253518,4939723.65,18.1563261723854,-42.949714878175214,12.58394563554918,2.2314908243905505,0.1353884607373416,0.0520724848989827,0.1445258954645729,0.6874094913850299,4.0,10.0,635283.0,14.0,4.169064881408019,0.2297045404115316,narrow,3333.3333333333335,0.0,0.3579038708149985,Q4,0,-4.169064881408019,0.0,2025-10,ORBS
INV,2025-10-13,4.095,0.0,0.0,no_fill,0,0,3.086419753086409,48827.0,1.0132370699416182,73.61879964861107,0.0,0.2799999999999986,-1.1111111111111094,0.0,-0.7225872735249645,17.05202312138728,39.30635838150288,0.0073529411764704,183144.35,12.089855269909483,-41.04803493449782,8.33099454812246,4.193446317071753,0.1725573299023668,0.0090819647317125,1.168417506355088,1.4999423864715038,0.0,13.0,48827.0,11.0,6.467541694262147,0.1950438355845837,narrow,3333.3333333333335,0.0,0.3492519911163344,Q4,0,-6.467541694262147,0.0,2025-10,INV
LABX,2025-10-15,19.08,0.0,0.0,no_fill,0,0,4.769392033542959,85708.0,1.814448365364944,65.39436946380451,2.0,0.1538461538461511,-4.035639412997901,1.0,-0.7581264292823442,11.644236395552946,38.970157987126974,0.051051051051051,572878.45,15.148967559351576,-62.38911886457718,12.637060889154217,4.557975605470934,0.1402177499175108,-0.0404906871419716,0.6931126647841432,1.9843699107227115,2.0,15.0,85708.0,14.0,1.8950387405912323,0.1796971679571168,narrow,3333.3333333333335,0.0,0.1450283861732927,Q2,3,-1.8950387405912323,0.0,2025-10,ALAB
KOD,2025-10-24,19.77916,-1111.2839104825068,-2.2233710217507565,stop,0,1,5.90386624869383,90377.0,2.382141081513812,94.90826585641908,2.0,0.7964601769911499,1.8286311389759555,1.0,1.88357079871263,11.864406779661024,15.721800116890716,0.3197026022304829,986371.0,11.083460248125988,-0.5714285714285685,9.760928853408684,0.8672142631930582,0.1744375129349944,0.0533217041657971,0.6996546385613978,0.827319133385449,4.0,24.0,90377.0,14.0,2.839613897360973,0.6923332472228728,wide,3333.3333333333335,-74.08559403216712,0.20016638993293429,Q3,2,-2.839613897360973,-74.08559403216712,2025-10,KOD
VIVO,2025-11-03,3.37,0.0,0.0,no_fill,0,0,3.9039039039039007,87569.0,1.3744447752466928,79.00336103340531,1.0,0.1538461538461507,-2.1021021021021107,0.0,-1.3917652935516631,12.881355932203387,62.81016949152543,0.1079389065788764,553090.35,10.787339755313331,-40.9752379601893,8.691270659664049,3.927703674453912,0.1779307528512548,-0.1400110842108221,0.5292789490660665,0.9161990937076744,0.0,3.0,87569.0,14.0,5.660647252478333,0.2669893578731472,narrow,3333.3333333333335,0.0,0.17667286548803052,Q2,3,-5.660647252478333,0.0,2025-11,VIVO
CRWG,2025-11-12,5.466349999999999,-473.4884199999948,-0.947067055713583,tag_bb,0,1,3.8602941176470575,517218.0,1.879456345528716,31.64037397954187,2.0,0.7619047619047628,-0.7352941176470594,0.0,1.1154780334101329,7.722772277227734,27.52475247524752,0.0359712230215826,4153025.9,13.435430521456803,-65.6782334384858,10.562922679773711,3.6090244464885233,0.1365342211708443,-0.0846950248974061,0.2620790629575349,1.0765456215938356,2.0,12.0,1165339.0,14.0,6.591169432657723,0.1470870971522807,narrow,3333.3333333333335,-31.565894666666317,0.44380160771605937,Q5,1,-6.591169432657723,-31.565894666666317,2025-11,CRWV
ENGN,2025-11-13,9.27775,-480.6866747500016,-0.961415752741778,tag_b1,0,1,1.7297297297297312,186848.0,0.8969026115468648,118.3647509754132,1.0,0.2812499999999993,-1.2432432432432454,1.0,-0.2805049641451096,6.566820276497699,13.594470046082968,0.050847457627119,2901904.7,12.025888733963892,-16.965888689407542,11.580961119984073,0.7569421559570857,0.1366622092254432,-0.0661268754316682,-0.4214346337323298,0.781802620775999,3.0,13.0,186848.0,14.0,1.7133922963003718,0.1482452134664894,narrow,3333.3333333333335,-32.04577831666677,0.3665168939771738,Q4,0,-1.7133922963003718,-32.04577831666677,2025-11,ENGN
DGNX,2025-11-17,12.035999999999998,4865.184354000009,9.730846687189294,scale_eod,1,1,3.092783505154634,101030.0,1.738583657332477,86.84434261826735,2.0,0.5555555555555545,1.718213058419238,0.0,-0.1900858572490493,10.541310541310551,26.59069325735993,0.0642857142857141,871494.85,15.132239891582364,-52.48979591836734,11.564023779551077,1.7651934489343224,0.3314917127071863,0.215021651485731,-0.3318798089086519,1.3236019825297742,0.0,17.0,101030.0,14.0,1.5480203481245405,0.1282302347404555,narrow,3333.3333333333335,324.34562360000064,0.39079688918241645,Q4,0,-1.5480203481245405,324.34562360000064,2025-11,DGNX
BMNG,2025-11-20,4.79,0.0,0.0,no_fill,0,0,3.1645569620253235,42711.0,1.0641725471038912,104.6567205728864,2.0,0.0,-2.109704641350222,0.0,-1.548330905301906,7.239819004524893,27.375565610859727,0.0826446280991732,413710.27777777775,15.426051708688432,-72.68011527377521,12.575033144632918,3.1604653551834785,0.0,0.0,1.5513936887855926,1.477851981162809,3.0,20.0,153351.0,14.0,12.736340661817923,0.101612429235884,narrow,3333.3333333333335,0.0,0.1890119309274099,Q2,3,-12.736340661817923,0.0,2025-11,BMNR
BMNG,2025-11-24,3.93176,-2867.0765200000005,-5.734581968380573,stop,0,1,5.660377358490566,52867.0,1.5322574423704634,13.569027748518488,3.0,0.7928571428571435,4.487870619946095,0.0,0.7724373207286201,6.627579467724318,18.210036213140192,0.7013888888888888,523365.55,16.660045214573465,-78.61671469740634,12.375854439189444,2.618909479234925,0.0,0.0,0.555361667905874,2.334445398042689,0.0,24.0,52867.0,14.0,2.17074093518027,0.162021983974152,narrow,3333.3333333333335,-191.1384346666667,0.14380808899763833,Q2,3,-2.17074093518027,-191.1384346666667,2025-11,BMNR
