symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,vol_open5,n_prior,rvol_open5,ratr,ratr_tier,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
GDS,2025-01-14,23.5,0.0,0.0,no_fill,0,0,2.354452054794524,157532.0,0.7684617387884938,70.00636839734847,1.0,0.090909090909092,-1.5410958904109566,0.0,-1.0720142710010336,6.715395157606208,21.37962539972592,0.0662393162393166,1788590.3333333333,7.495082104747214,-19.917723688721296,8.14866312791569,2.174714873221388,0.2156352683461101,-0.0616100766703199,0.5108446997712426,1.0963599200950664,1.0,14.0,186382.0,14.0,2.577202552561896,,unknown,3333.3333333333335,0.0,0.26110959337352135,Q3,2,0.0,2025-01,GDS
NTRB,2025-01-23,8.49541,-918.38276702858,-1.836931304248849,stop,1,1,6.500000000000005,123163.0,2.366486125007297,55.66966199688503,5.0,1.0,5.875000000000008,1.0,3.891165454198969,8.99182561307902,26.839237057220704,0.5736040609137056,319032.93333333335,9.903021011227516,-2.200488997555009,13.364142806332044,13.617625473984504,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,123163.0,10.0,3.4018417447410285,0.93182697422506,wide,3333.3333333333335,-61.22551780190534,0.15506691641180417,Q2,3,-61.22551780190534,2025-01,NTRB
KC,2025-02-04,16.31,0.0,0.0,no_fill,0,0,2.4927176944530447,617314.0,1.6877490839404583,67.72234056441734,3.0,0.7120835405270998,0.3669042454291727,0.0,0.5780827230472392,6.571994715984155,11.690885072655217,0.322033898305085,2715816.5,6.615333101022936,-1.2545899632802833,7.334032500121578,4.16844437022899,0.1505352960856477,0.0301104048176754,0.0100373053181088,1.364199540683512,1.0,4.0,617314.0,14.0,3.3687103170504207,0.3689517614190833,normal,3333.3333333333335,0.0,0.30774370874139445,Q4,0,0.0,2025-02,KC
CRML,2025-02-07,6.46,0.0,0.0,no_fill,0,0,7.528641571194762,31158.0,2.8319958432308923,67.30950382261493,4.0,0.9565217391304356,5.400981996726678,1.0,3.5037982855855034,6.260869565217398,62.782608695652165,0.0969529085872575,166106.45,15.184568887903987,-38.22042467138524,10.3465071623442,5.697202005099741,0.1499448005404738,0.0502562243569779,0.094009763821074,0.8076316014152966,4.0,7.0,31158.0,14.0,4.468698458228756,0.4481030940636977,normal,3333.3333333333335,0.0,0.31023978713218014,Q4,0,0.0,2025-02,CRML
BKSY,2025-02-19,21.01285,-1049.842512782147,-2.100123104943616,stop,0,1,4.197169350902877,304616.0,2.0755089421233186,72.64108826185517,3.0,0.988372093023258,2.1961932650073344,1.0,2.1511668272739866,8.700265251989373,17.931034482758616,0.5118343195266275,2098334.6,10.66184776103057,-0.0487804878048856,8.75515310675867,1.961672366266085,0.0735477314450614,0.012686860739577,-0.2305843104547855,0.6429700152781618,2.0,19.0,304616.0,14.0,2.9916059290228896,0.522521698608544,normal,3333.3333333333335,-69.98950085214314,0.273383789739213,Q3,2,-69.98950085214314,2025-02,BKSY
CYD,2025-02-21,23.0,0.0,0.0,no_fill,0,0,4.444444444444445,249949.0,1.8171288886436272,161.9142435893605,3.0,0.4200000000000017,-0.3555555555555479,0.0,-0.3599820412542559,18.54583772391992,29.08324552160168,0.2318840579710147,131074.6,6.732199786247728,-3.100775193798445,7.229567276409632,11.711849587944574,0.12558795089893,-0.0877624268646371,-0.0360431206789258,0.6238237461169069,4.0,21.0,249949.0,13.0,9.220776235623296,0.7565058848263868,wide,3333.3333333333335,0.0,0.1547491636986009,Q2,3,0.0,2025-02,CYD
TSLG,2025-04-14,4.46,0.0,0.0,no_fill,0,0,2.293577981651368,131919.0,1.0171370367217925,68.77696775785232,2.0,0.5,1.146788990825684,0.0,-0.1897434044091731,5.060240963855421,12.771084337349391,0.6509433962264157,2087958.0,16.032006477500545,-26.9277825263546,14.858537030510824,1.0313109746460418,0.0,0.0,1.8934711765366707,5.933838140197816,0.0,14.0,148883.0,14.0,2.536747855274704,0.1091894385319878,narrow,3333.3333333333335,0.0,0.16059628106443988,Q2,3,0.0,2025-04,TSLA
SMCZ,2025-05-07,17.91,0.0,0.0,no_fill,0,0,2.3661971830986013,31189.0,0.7006151786774687,81.56481284402479,1.0,0.5238095238095274,-0.2253521126760515,0.0,-0.3329641148520201,11.84625078764966,11.405166981726532,0.2872928176795577,385972.1,14.291440867222748,-21.28603104212861,12.549455907838864,1.8881546101389195,0.2196018923502823,0.0178523609747429,0.2415891195418795,1.0267214158535585,2.0,7.0,31189.0,14.0,2.413702370883844,0.1654922879682442,narrow,3333.3333333333335,0.0,0.37643113459750516,Q4,0,0.0,2025-05,SMCI
CONI,2025-05-19,5.6,0.0,0.0,no_fill,0,0,3.214285714285709,185010.0,1.2564762946462826,61.20348441537297,3.0,0.4444444444444455,-1.7857142857142794,0.0,0.1306528738898637,5.26315789473683,20.11278195488722,0.1308411214953276,1654345.45,9.060932816438918,-61.24567474048443,12.3601816613589,6.8130045027778205,0.2482570991327873,0.1887434109845287,-1.0265903736115822,0.819816810036342,0.0,19.0,258523.0,14.0,3.925729080458897,0.1415910627046975,narrow,3333.3333333333335,0.0,0.34471480796805454,Q4,0,0.0,2025-05,COIN
LTBR,2025-06-03,16.4434,0.0,0.0,no_fill,0,0,6.63529411764706,495409.0,2.754774008687872,40.85417365564225,3.0,0.8721487444891683,3.720190779014304,0.0,2.226875504137586,10.661505981703016,18.015482054890924,0.2031250000000005,2519704.05,10.672173151635022,-11.15819209039548,10.815933783832422,0.9304620516842048,0.1941621366107222,0.0269946314616593,-0.0624251320207191,1.284018278628749,1.0,3.0,495409.0,14.0,3.1666974095611007,0.6460989750382843,wide,3333.3333333333335,0.0,0.21239450679273222,Q3,2,0.0,2025-06,LTBR
