T,max,picks,fills,fills_mo,total,mdd,red,worst,e25H1,e25H2,e2026,first_fills,first_mean,rec_fills,rec_mean,rec_vetoed,released,verdict
,0,114,67,3.19,6531,-551,6,-185,2442,1446,2643,67,97.5,0,,0,0,
15.0,1,58,56,2.67,5527,-683,8,-185,2129,1461,1937,55,101.3,1,-45.0,28,59,REJECT
15.0,3,60,56,2.67,5527,-683,8,-185,2129,1461,1937,55,101.3,1,-45.0,32,59,REJECT
30.0,1,66,62,2.95,6401,-683,7,-185,2649,1653,2100,61,105.7,1,-45.0,22,53,REJECT
30.0,3,68,62,2.95,6401,-683,7,-185,2649,1653,2100,61,105.7,1,-45.0,25,53,REJECT
45.0,1,68,64,3.05,6760,-571,6,-185,2484,1653,2623,63,107.6,1,-20.0,22,51,REJECT
45.0,3,70,64,3.05,6760,-571,6,-185,2484,1653,2623,63,107.6,1,-20.0,25,51,REJECT
