day,symbol,entry_m,ctrl,dist
2025-01-10,KITT,0,MBOT,0.9195068262807161
2025-01-10,KITT,0,VRME,0.9823661440315482
2025-01-10,KITT,0,QSI,1.0595658381367838
2025-01-10,KITT,0,OPTT,1.310202125801999
2025-01-10,KITT,0,QUBT,1.3721130179036432
2025-01-10,KITT,0,INTZ,1.5589050863203213
2025-01-10,KITT,0,QBTS,1.7320799343398803
2025-01-10,KITT,0,CDE,1.8928104712548188
2025-01-10,KITT,0,ORIS,2.1490388561737155
2025-01-10,KITT,0,MLGO,2.2142601428343385
2025-01-10,KITT,0,CMPX,2.339869788752664
2025-01-10,KITT,0,PDYN,2.610106938470729
2025-01-10,KITT,0,IONQ,2.6205099724756766
2025-01-10,KITT,0,TGB,2.7437957513663123
2025-01-10,KITT,0,RVPH,2.7634643381499755
2025-01-10,KITT,0,UROY,3.0203117233545638
2025-01-10,KITT,0,SFHG,3.3341140320572915
2025-01-10,KITT,0,HCWC,3.426570667927164
2025-01-10,KITT,0,ICG,3.634262724710882
2025-01-10,KITT,0,HCTI,3.6494535499457506
2025-01-10,KITT,0,TMC,3.7906213718413073
2025-01-10,KITT,0,UMAC,4.022156763805067
2025-01-10,KITT,0,GOVX,4.0577112206891295
2025-01-10,KITT,0,CCO,4.199555336319317
2025-01-10,KITT,0,DRCT,4.333332527646003
2025-01-10,AMPX,0,MLGO,0.37746317986288824
2025-01-10,AMPX,0,NGD,0.419624251764088
2025-01-10,AMPX,0,INDI,0.43661407474893466
2025-01-10,AMPX,0,CMPX,0.5030728257812133
2025-01-10,AMPX,0,EXK,0.5725141049802973
2025-01-10,AMPX,0,KOS,0.6904665854905936
2025-01-10,AMPX,0,RZLV,0.8237891355380618
2025-01-10,AMPX,0,TGB,0.9069987883948618
2025-01-10,AMPX,0,RVPH,0.9266673751785252
2025-01-10,AMPX,0,ORIS,0.9400310473517048
2025-01-10,AMPX,0,PDYN,1.1398192865249108
2025-01-10,AMPX,0,UROY,1.1835147603831135
2025-01-10,AMPX,0,BARK,1.2338894611155415
2025-01-10,AMPX,0,MSAI,1.4019011068373568
2025-01-10,AMPX,0,SFHG,1.4973170690858408
2025-01-10,AMPX,0,CDE,1.5258763393887755
2025-01-10,AMPX,0,REI,1.5815643521377831
2025-01-10,AMPX,0,HL,1.5865014896705492
2025-01-10,AMPX,0,HCWC,1.589773704955714
2025-01-10,AMPX,0,SXTP,1.5957149133045059
2025-01-10,AMPX,0,IMRX,1.602042571084148
2025-01-10,AMPX,0,ICG,1.7235077552572569
2025-01-10,AMPX,0,HCTI,1.8126565869743003
2025-01-10,AMPX,0,MBOT,1.882538514000299
2025-01-10,AMPX,0,WIMI,1.8987667359507494
2025-01-13,GRRR,0,RUM,0.07443522918208245
2025-01-13,GRRR,0,NFE,0.25373934546904353
2025-01-13,GRRR,0,FLG,0.35554265822170583
2025-01-13,GRRR,0,SEDG,0.37322248355236187
2025-01-13,GRRR,0,STNE,0.3744400614543073
2025-01-13,GRRR,0,PENN,0.5111594177925878
2025-01-13,GRRR,0,REAL,0.5187391499757235
2025-01-13,GRRR,0,VIR,0.5212116216234861
2025-01-13,GRRR,0,NVAX,0.5399924587672906
2025-01-13,GRRR,0,TDOC,0.5451341555312696
2025-01-13,GRRR,0,NEOG,0.5812812595583132
2025-01-13,GRRR,0,NTLA,0.5873443107152032
2025-01-13,GRRR,0,NN,0.6108822740581261
2025-01-13,GRRR,0,M,0.6246322264745148
2025-01-13,GRRR,0,PDYN,0.6292464331268701
2025-01-13,GRRR,0,NNOX,0.6586450811610591
2025-01-13,GRRR,0,SPCB,0.6689231346337992
2025-01-13,GRRR,0,VSAT,0.6714733687562977
2025-01-13,GRRR,0,VFC,0.6931366545722581
2025-01-13,GRRR,0,AVXL,0.7139631363493342
2025-01-13,GRRR,0,RUN,0.7159702780986952
2025-01-13,GRRR,0,ZIM,0.7212466993751474
2025-01-13,GRRR,0,ASTS,0.7338073646059025
2025-01-13,GRRR,0,UUUU,0.7642899424744585
2025-01-13,GRRR,0,PAGS,0.7718865015904204
2025-01-14,SERV,0,UNG,0.1883087828843859
2025-01-14,SERV,0,MVST,2.234339385637716
2025-01-14,SERV,0,SILO,2.5263861119853597
2025-01-14,SERV,0,RR,2.8039891377964663
2025-01-14,SERV,0,TMDX,2.805508527501287
2025-01-14,SERV,0,ASC,3.2401156530820745
2025-01-14,SERV,0,ORIS,3.49054913957647
2025-01-14,SERV,0,QSI,3.5081055916381043
2025-01-14,SERV,0,OLMA,3.58710690534079
2025-01-14,SERV,0,ORKT,3.630150576905844
2025-01-14,SERV,0,DXYZ,3.855310151623322
2025-01-14,SERV,0,RGTIW,4.1736766922993205
2025-01-14,SERV,0,NINE,4.295256293263566
2025-01-14,SERV,0,CVRX,4.4635045908964575
2025-01-14,SERV,0,GXAI,4.536621678074274
2025-01-14,SERV,0,KOPN,4.552331957690459
2025-01-14,SERV,0,LNZA,4.594994757657632
2025-01-14,SERV,0,ATRA,4.604849394279986
2025-01-14,SERV,0,LFWD,4.722228241017013
2025-01-14,SERV,0,SATL,4.890848040832659
2025-01-14,SERV,0,INGN,4.896328203616913
2025-01-14,SERV,0,MOB,4.899182447603964
2025-01-14,SERV,0,VSME,5.023487902421547
2025-01-14,SERV,0,VCEL,5.0822936232459615
2025-01-14,SERV,0,ZSPC,5.286726659810782
2025-01-14,ARBE,0,RR,0.38060972378802926
2025-01-14,ARBE,0,QSI,0.879913387048083
2025-01-14,ARBE,0,SILO,1.0763963453162546
2025-01-14,ARBE,0,UNG,2.8165009874744076
2025-01-14,ARBE,0,RGTIW,3.474557900211548
2025-01-14,ARBE,0,NINE,3.5961375011757926
2025-01-14,ARBE,0,GXAI,3.8375028859865004
2025-01-14,ARBE,0,LNZA,3.8958759655698594
2025-01-14,ARBE,0,OLMA,3.9825787203477807
2025-01-14,ARBE,0,SATL,4.1917292487448865
2025-01-14,ARBE,0,VSME,4.324369110333773
2025-01-14,ARBE,0,MOB,4.371108002392516
2025-01-14,ARBE,0,ANGI,4.6852532574960755
2025-01-14,ARBE,0,NXL,4.7547188467868295
2025-01-14,ARBE,0,NVNI,5.014952149988109
2025-01-14,ARBE,0,ICCM,5.166147835796817
2025-01-14,ARBE,0,LBGJ,5.191966965550245
2025-01-14,ARBE,0,FRSX,5.300214022795805
2025-01-14,ARBE,0,ALUR,5.386655079985676
2025-01-14,ARBE,0,ASC,5.468168931837376
2025-01-14,ARBE,0,SLNH,5.474097366955347
2025-01-14,ARBE,0,IBIO,5.663874062965089
2025-01-14,ARBE,0,GPUS,5.933915709506195
2025-01-14,ARBE,0,HOUR,5.948748164115609
2025-01-14,ARBE,0,DUOT,5.987853386311391
2025-01-15,BFLY,0,AMPX,0.037339064907613295
2025-01-15,BFLY,0,EVGO,0.10812990852315929
2025-01-15,BFLY,0,BLND,0.2642841465708943
2025-01-15,BFLY,0,CLOV,0.2867031513142142
2025-01-15,BFLY,0,INDI,0.29000923284701363
2025-01-15,BFLY,0,WOOF,0.36346685567952486
2025-01-15,BFLY,0,AGL,0.3913898440603887
2025-01-15,BFLY,0,EXK,0.45307799544982585
2025-01-15,BFLY,0,IBRX,0.4610036340566446
2025-01-15,BFLY,0,ARDX,0.5195308240325449
2025-01-15,BFLY,0,ESPR,0.5361047784391236
2025-01-15,BFLY,0,ABCL,0.5501688539672227
2025-01-15,BFLY,0,SIDU,0.5896207492505378
2025-01-15,BFLY,0,AMPG,0.59907396194182
2025-01-15,BFLY,0,CGC,0.6054388804750763
2025-01-15,BFLY,0,BYND,0.6173610651762065
2025-01-15,BFLY,0,HUMA,0.6379834772478516
2025-01-15,BFLY,0,NGD,0.6677693842235517
2025-01-15,BFLY,0,LESL,0.716225590261691
2025-01-15,BFLY,0,NUVB,0.7305657933580764
2025-01-15,BFLY,0,HPP,0.7324557252265518
2025-01-15,BFLY,0,ARRY,0.7438966098870623
2025-01-15,BFLY,0,CMPX,0.7720324886779143
2025-01-15,BFLY,0,RLAY,0.7905726223870342
2025-01-15,BFLY,0,EOSE,0.8037644648687474
2025-01-15,ATOM,0,SPRY,0.21316676355095865
2025-01-15,ATOM,0,ANGO,0.26864246164448513
2025-01-15,ATOM,0,STOK,0.27139689705097503
2025-01-15,ATOM,0,KURA,0.3035354754061992
2025-01-15,ATOM,0,RCKT,0.3217404477508179
2025-01-15,ATOM,0,PCT,0.3425238403795725
2025-01-15,ATOM,0,TSSI,0.3629735954833837
2025-01-15,ATOM,0,ALLT,0.3733221853405184
2025-01-15,ATOM,0,RGNX,0.3978610302258987
2025-01-15,ATOM,0,CRMD,0.4203467800251999
2025-01-15,ATOM,0,CSIQ,0.4421860410780454
2025-01-15,ATOM,0,EOLS,0.4450683705027516
2025-01-15,ATOM,0,QURE,0.44731009947098865
2025-01-15,ATOM,0,BKSY,0.46264881264102664
2025-01-15,ATOM,0,RDW,0.4805436241167369
2025-01-15,ATOM,0,EVH,0.48189960661126685
2025-01-15,ATOM,0,QTRX,0.48391736820157893
2025-01-15,ATOM,0,FIP,0.5294200037674233
2025-01-15,ATOM,0,KODK,0.5384648845052262
2025-01-15,ATOM,0,ADPT,0.546970953352202
2025-01-15,ATOM,0,GENI,0.5497812056695177
2025-01-15,ATOM,0,GRPN,0.5560969326061578
2025-01-15,ATOM,0,ATEC,0.5622527772169903
2025-01-15,ATOM,0,GOGO,0.5728027094030606
2025-01-15,ATOM,0,AHCO,0.5890248480699234
2025-01-16,ARQQ,0,BTSG,0.26714204130696917
2025-01-16,ARQQ,0,STFS,0.3790407579745554
2025-01-16,ARQQ,0,CWH,0.3841544383443112
2025-01-16,ARQQ,0,OS,0.5013554416051154
2025-01-16,ARQQ,0,LPG,0.5257644481054755
2025-01-16,ARQQ,0,CPRX,0.5521357045498174
2025-01-16,ARQQ,0,FROG,0.5860198619125794
2025-01-16,ARQQ,0,INGM,0.9319246931073
2025-01-16,ARQQ,0,ZYME,0.9404820566121601
2025-01-16,ARQQ,0,PUMP,0.9647910477208175
2025-01-16,ARQQ,0,SGML,1.0523706329340734
2025-01-16,ARQQ,0,GPRE,1.0986029144402494
2025-01-16,ARQQ,0,AIP,1.277997569193063
2025-01-16,ARQQ,0,AOSL,1.331474362668589
2025-01-16,ARQQ,0,ORLA,1.782611508154634
2025-01-16,ARQQ,0,ANVS,1.7905274091124042
2025-01-16,ARQQ,0,DJTWW,1.7925034208487456
2025-01-16,ARQQ,0,SPIR,1.8650713893459945
2025-01-16,ARQQ,0,SLQT,2.0131640701477322
2025-01-16,ARQQ,0,AEVA,2.0283930988168977
2025-01-16,ARQQ,0,HNST,2.1115980637112477
2025-01-16,ARQQ,0,CRDF,2.112302212536697
