day,symbol,entry_m,ctrl
2025-02-24,RPID,631,SAVA
2025-02-24,RPID,631,SINT
2025-02-24,RPID,631,CSAI
2025-02-24,RPID,631,HIBS
2025-02-24,RPID,631,GHRS
2025-02-24,RPID,631,JAKK
2025-02-24,RPID,631,RVLV
2025-02-24,RPID,631,TSLA
2025-02-24,RPID,631,RBBN
2025-02-24,RPID,631,KODK
2025-02-24,RPID,631,EPWK
2025-02-24,RPID,631,XNCR
2025-02-24,RPID,631,FIP
2025-02-24,RPID,631,IDAI
2025-02-24,RPID,631,MVST
2025-02-24,RPID,631,CTXR
2025-02-24,RPID,631,ALLO
2025-02-24,RPID,631,LGCY
2025-02-24,RPID,631,CYN
2025-02-24,RPID,631,VG
2025-02-24,RPID,631,TMCI
2025-02-24,RPID,631,SQNS
2025-02-24,RPID,631,TVGN
2025-02-24,RPID,631,AUR
2025-02-24,RPID,631,CMPOW
2025-02-27,MSW,587,VNET
2025-02-27,MSW,587,FBGL
2025-02-27,MSW,587,SRTY
2025-02-27,MSW,587,AIXI
2025-02-27,MSW,587,BYON
2025-02-27,MSW,587,USNA
2025-02-27,MSW,587,ASNS
2025-02-27,MSW,587,COGT
2025-02-27,MSW,587,WETH
2025-02-27,MSW,587,DFH
2025-02-27,MSW,587,AMCX
2025-02-27,MSW,587,BMA
2025-02-27,MSW,587,YANG
2025-02-27,MSW,587,MVIS
2025-02-27,MSW,587,ECX
2025-02-27,MSW,587,UAL
2025-02-27,MSW,587,APA
2025-02-27,MSW,587,ASTS
2025-02-27,MSW,587,GRAL
2025-02-27,MSW,587,AVGX
2025-02-27,MSW,587,HSAI
2025-02-27,MSW,587,CRVS
2025-02-27,MSW,587,HWH
2025-02-27,MSW,587,JDST
2025-02-27,MSW,587,HYLN
2025-02-27,PMA,587,OSRH
2025-02-27,PMA,587,FTAI
2025-02-27,PMA,587,CRPT
2025-02-27,PMA,587,IBRX
2025-02-27,PMA,587,DSP
2025-02-27,PMA,587,VNET
2025-02-27,PMA,587,DDS
2025-02-27,PMA,587,SOPA
2025-02-27,PMA,587,VINC
2025-02-27,PMA,587,DH
2025-02-27,PMA,587,LAES
2025-02-27,PMA,587,NAMS
2025-02-27,PMA,587,VATE
2025-02-27,PMA,587,KW
2025-02-27,PMA,587,CATX
2025-02-27,PMA,587,AUPH
2025-02-27,PMA,587,NEO
2025-02-27,PMA,587,DUOT
2025-02-27,PMA,587,BLFS
2025-02-27,PMA,587,AVL
2025-02-27,PMA,587,IKT
2025-02-27,PMA,587,QUBT
2025-02-27,PMA,587,AVBP
2025-02-27,PMA,587,FCUV
2025-02-27,PMA,587,BROS
2025-02-28,PCLA,610,CNTA
2025-02-28,PCLA,610,IHRT
2025-02-28,PCLA,610,MIST
2025-02-28,PCLA,610,INZY
2025-02-28,PCLA,610,SMCY
2025-02-28,PCLA,610,STVN
2025-02-28,PCLA,610,TSLS
2025-02-28,PCLA,610,ACIC
2025-02-28,PCLA,610,BERZ
2025-02-28,PCLA,610,HLNE
2025-02-28,PCLA,610,VIXY
2025-02-28,PCLA,610,COYA
2025-02-28,PCLA,610,NLSP
2025-02-28,PCLA,610,CSIQ
2025-02-28,PCLA,610,RDUS
2025-02-28,PCLA,610,BLUE
2025-02-28,PCLA,610,GO
2025-02-28,PCLA,610,AZUL
2025-02-28,PCLA,610,AMZZ
2025-02-28,PCLA,610,EOSE
2025-02-28,PCLA,610,IRBT
2025-02-28,PCLA,610,RAPP
2025-02-28,PCLA,610,SOFI
2025-02-28,PCLA,610,COIN
2025-02-28,PCLA,610,GROV
2025-03-04,MAXN,604,KYMR
2025-03-04,MAXN,604,HSHP
2025-03-04,MAXN,604,HPP
2025-03-04,MAXN,604,FLG
2025-03-04,MAXN,604,GEO
2025-03-04,MAXN,604,PLG
2025-03-04,MAXN,604,FLGT
2025-03-04,MAXN,604,DKNG
2025-03-04,MAXN,604,LFVN
