cell,split,n,per_wk,gross,net,total,green,worst,clust_t,null_p95_green,mde
"S-base   arm-b clock, borrowable, ex-201",TRAIN,21857,412.39622641509436,0.12585902177064653,0.012459021770646577,27231.683884102204,54.71698113207547,-15127.45823974974,0.334463843725994,66.0377358490566,0.020120144374710755
"S-base   arm-b clock, borrowable, ex-201",VAL,9582,435.54545454545456,0.09406903507010257,-0.019330964929897394,-18522.930595827682,45.45454545454545,-13967.310268961757,-0.5091928346636151,45.45454545454545,0.0290791786810677
S-nm2    range-so-far <= 2 %,TRAIN,4598,86.75471698113208,0.20039835262052666,0.08699835262052669,40001.842534918185,54.71698113207547,-4724.484961254194,1.301807684775847,86.79245283018868,0.04040513329639807
S-nm2    range-so-far <= 2 %,VAL,2017,91.68181818181819,0.11280395726282141,-0.0005960427371785798,-120.22182008891639,50.0,-4800.316150987282,-0.010408216501940792,59.09090909090909,0.05759459118392651
S-nm3    range-so-far <= 3 %,TRAIN,9329,176.0188679245283,0.18693504127477334,0.07353504127477338,68600.8400052361,62.264150943396224,-9395.849753684124,1.3955671574084536,88.67924528301887,0.029575192604954274
S-nm3    range-so-far <= 3 %,VAL,4150,188.63636363636363,0.12844426816402654,0.015044268164026564,6243.371288071016,54.54545454545454,-7415.496309449873,0.29279342079022097,68.18181818181817,0.0414824074821743
S-nm4    range-so-far <= 4 %,TRAIN,13484,254.41509433962264,0.16518242619232987,0.05178242619232989,69823.42347773763,62.264150943396224,-11895.975543608867,1.113276850572349,84.90566037735849,0.025132600688421693
S-nm4    range-so-far <= 4 %,VAL,5956,270.72727272727275,0.12267247288904427,0.009272472889044276,5522.684852714776,45.45454545454545,-10277.738068207198,0.19784635198160397,68.18181818181817,0.03557275821938068
S-c1000  entry 10:00,TRAIN,21994,414.9811320754717,0.10041172114150239,-0.012988278858497576,-28566.42052137958,52.83018867924528,-20461.84877938688,-0.33768065771936245,47.16981132075472,0.020661729984896814
S-c1000  entry 10:00,VAL,9658,439.0,0.06066901446935454,-0.05273098553064544,-50927.58582549737,40.909090909090914,-17541.20178071021,-1.2662566790945324,22.727272727272727,0.029592960076487106
S-c1100  entry 11:00,TRAIN,22004,415.1698113207547,0.06120229267820445,-0.05219770732179553,-114855.83519087889,37.735849056603776,-21225.91652483367,-1.363468602182871,18.867924528301888,0.018476431142561037
S-c1100  entry 11:00,VAL,9708,441.27272727272725,0.047245468289959035,-0.06615453171004096,-64222.81938410775,36.36363636363637,-19047.60347936637,-1.7716672947111127,13.636363636363635,0.025766939448850668
S-c1200  entry 12:00,TRAIN,21918,413.54716981132077,0.011245314010064508,-0.10215468598993548,-223902.64075274058,18.867924528301888,-18831.2220466201,-2.8953580740058373,3.7735849056603774,0.016595653380671378
S-c1200  entry 12:00,VAL,9684,440.1818181818182,-0.020786597801707593,-0.13418659780170758,-129946.30131117364,13.636363636363635,-16944.40283579833,-4.2763614819401745,0.0,0.0225873339492615
S-wrap   wrappers only,TRAIN,2677,50.509433962264154,0.318930613441141,0.20553061344114099,55020.545218193445,45.28301886792453,-2444.143253621939,1.6099104643687518,94.33962264150944,0.06398290686220282
S-wrap   wrappers only,VAL,1037,47.13636363636363,0.08813899296250306,-0.0252610070374969,-2619.5664297884286,50.0,-2615.5774718543253,-0.3668417428185308,54.54545454545454,0.0851877657873253
S-stock  commons only,TRAIN,19180,361.8867924528302,0.09891154257868025,-0.014488457421319724,-27788.861334091227,49.056603773584904,-19083.207020542075,-0.4527274447456382,47.16981132075472,0.02106100077910044
S-stock  commons only,VAL,8545,388.40909090909093,0.094788690267947,-0.01861130973205295,-15903.364166039257,45.45454545454545,-13344.407845093392,-0.4840983551776859,45.45454545454545,0.030927553720314634
S-nb     DIAGNOSTIC: no borrow screen,TRAIN,33117,624.8490566037735,0.15360615448628392,0.04020615448628393,133150.7218122265,58.490566037735846,-17516.66394407866,1.3191205128589374,88.67924528301887,0.017062866751694716
S-nb     DIAGNOSTIC: no borrow screen,VAL,14433,656.0454545454545,0.1353465561713094,0.021946556171309417,31675.464522050883,50.0,-14399.613864154484,0.7122324496353595,81.81818181818183,0.02458641599274455
