book,arm,split,n,n_pair,sig,ctrl,band_mu,p5,p95,pctile,paired,clust_t,mde,cover
orb,b,TRAIN,4255,189,0.21611602565560242,0.10939766714085623,0.09384983423949905,-0.027309654692564838,0.23364261472352288,92.5,0.15270107102827368,0.9300290900986884,0.3459063199628466,0.9
orb,a2,TRAIN,2040,204,0.21611602565560242,0.018354334711685235,0.014757876044561533,-0.0898252845174555,0.1098395291924694,100.0,0.1977616909439172,1.6394055732605777,0.28490010836780993,0.9714285714285714
orb,u,TRAIN,3595,189,0.21611602565560242,0.06960886044661521,0.07331422091815694,-0.0649253267109036,0.20874984997835122,95.5,0.18656344546261208,1.057210215922889,0.3657207496674059,0.9
orb,b,VAL,3105,133,0.4695062418246859,0.06619073398444743,0.06069305225041781,-0.08592898606267571,0.2215041628747478,100.0,0.43593554009458557,1.7220556968731093,0.6665584902524776,0.95
orb,a2,VAL,1352,136,0.4695062418246859,0.14706253060383295,0.14260962334782745,0.016702737817135722,0.288963370157526,100.0,0.32389159212735913,1.4534314238846329,0.5939445836866567,0.9714285714285714
orb,u,VAL,2702,133,0.4695062418246859,0.023673294395919402,0.021760925451134998,-0.1185289387457599,0.1679485821601987,100.0,0.4789178790463341,1.8942598125987093,0.6667249955530032,0.95
bf,b,TRAIN,628,32,0.6913851546546534,0.14669185358331968,0.11588623238745148,-0.16949621804407478,0.4269793937700998,100.0,0.5074027770838834,1.3447898983182252,0.981713536516476,0.9117647058823529
bf,a2,TRAIN,330,33,0.6913851546546534,0.04530639360501473,0.05127816791434659,-0.23131235572990796,0.3314104133630792,100.0,0.6460787610496388,1.570021250679662,1.0676420642342606,0.9411764705882353
bf,u,TRAIN,667,32,0.6913851546546534,0.052725492333472485,0.08636115027206845,-0.22082016085999687,0.4099133508372506,99.5,0.563154887974329,1.5460517160136855,0.9573468420734889,0.9117647058823529
bf,b,VAL,274,14,0.8163085151692205,0.13386500317721467,0.10175003099793123,-0.273945176379412,0.48333536752053863,99.5,0.3486763046955485,0.5772566585847028,1.5868240818509405,0.9333333333333333
bf,a2,VAL,150,15,0.8163085151692205,0.1942614938093775,0.21860827674851627,-0.29636667557665575,0.719330268059657,97.5,0.6220470213598431,1.0981342600715565,1.4686852528760874,1.0
bf,u,VAL,303,14,0.8163085151692205,0.01009032202350385,-0.0025495536464348774,-0.44260295698962376,0.4420725284326758,99.5,0.4814921045215047,0.875483835063526,1.5105937587259675,0.9333333333333333
