,book_net,bench_gross,excess,exec_net,exec_dollar
2017-01-31,0.00011370752133399442,0.0064304083046478056,-0.006316700783313811,0.008803241860065869,156.6070146575922
2017-02-28,0.018133962412581583,0.021821362510237474,-0.0036874000976558907,-0.0021824969416049944,-1584.254723821603
2017-03-31,0.0037079958310060057,-0.0004381072892524207,0.004146103120258426,-0.01698247144889098,-1091.9280345361449
2017-04-30,0.006964685812704374,0.011452976813994153,-0.004488291001289779,-0.002793583398618016,-940.2729740324032
2017-05-31,-0.0098646152626225,-0.013567716787318607,0.0037031015246961063,0.023562167227356046,2450.572344968527
2017-06-30,0.021819151378581703,0.02304613456065363,-0.001226983182071928,0.006175343023903324,-1113.4722414255202
2017-07-31,0.01418983813299901,0.01697666019135302,-0.0027868220583540104,0.021789443442136625,317.64369455171783
2017-08-31,-0.010367469237642646,-0.014503730936702541,0.0041362616990598955,0.0018192417245901371,1077.3161956453168
2017-09-30,0.04555882379800047,0.05186363421238105,-0.006304810414380579,0.01588131335387799,-2374.833176661202
2017-10-31,0.002726481198760178,0.013148564662128548,-0.01042208346336837,0.005265590143352261,-520.2763182392349
2017-11-30,0.03866636612164909,0.03424233500033713,0.004424031121311955,0.030865925809255623,-222.84300661137956
2017-12-31,0.0006167434922150772,0.008012390775683276,-0.0073956472834681986,-0.0013395415358850027,-617.2275325635064
2018-01-31,0.018046293561546634,0.026286175758510888,-0.008239882196964254,0.05408306018445219,1834.5943721121262
2018-02-28,-0.042262343000045055,-0.04503524485009014,0.002772901850045084,0.006086665200233599,3374.0460633213665
2018-03-31,0.007966074754098829,0.0021935148880858346,0.005772559866012994,-0.008452012056878178,-702.6047783676248
2018-04-30,0.007993992588742893,0.009538325593212882,-0.0015443330044699888,-0.024569980214280362,-2251.148183294554
2018-05-31,0.031743861787586924,0.02447433609978167,0.007269525687805256,0.023797359902886894,-44.68042899505509
2018-06-30,0.006946196505881241,0.0055213769041360106,0.0014248196017452308,0.013523456380120091,528.1372454149493
2018-07-31,0.027891817395348406,0.02547919954846889,0.0024126178468795167,0.03523250470880268,643.7181405820303
2018-08-31,0.015428846542377972,0.013211636364776957,0.0022172101776010145,-0.0037195555234987854,-1117.458664626199
2018-09-30,-0.011476297950762437,-0.01009185481015129,-0.0013844431406111468,0.011665336605879428,1435.9746334580275
2018-10-31,-0.06987759850304953,-0.07300145527902613,0.0031238567759765967,0.009120230979166699,5420.031293040726
2018-11-30,0.017118687755503847,0.020549619672016295,-0.0034309319165124474,-0.007142767324143651,-1827.6975417465565
2018-12-31,-0.0988461243188401,-0.09623737140406796,-0.002608752914772139,0.012921210643443315,7204.466415135745
2019-01-31,0.10099942368254888,0.10256491226833697,-0.0015654885857880885,0.05814955402362565,-2931.413644150947
2019-02-28,0.04058422617531243,0.040501991856113584,8.223431919884838e-05,0.0010493875042194567,-2603.8718872250124
2019-03-31,-0.008901458140766927,-0.00677661363712756,-0.002124844503639367,0.0017354172331109918,561.7940374357444
2019-04-30,0.040919425720088665,0.03758904140200414,0.0033303843180845227,0.007128891807008486,-2010.3698732697133
2019-05-31,-0.06886608079306544,-0.06725938483483884,-0.0016066959582266005,-0.08615826338997368,-1247.3259846388992
2019-06-30,0.06684893581153184,0.07257336634330325,-0.005724430531771407,0.000724481564821966,-4742.026395379765
2019-07-31,0.015917072810085475,0.008679950667089154,0.007237122142996322,0.009590512970727882,60.097112040156105
2019-08-31,-0.03308431954707758,-0.04406058449768324,0.010976264950605663,-0.008733986528419835,2331.555465971385
2019-09-30,0.038256839383669305,0.040300410532683184,-0.0020435711490138786,0.023186596265601045,-1129.511741627421
2019-10-31,0.009479685692916018,0.012391614152446273,-0.0029119284595302553,-0.008619043448203412,-1386.7034016428793
2019-11-30,0.024146358744779217,0.02523449804234912,-0.0010881392975699011,0.029553020512921524,285.0224830577788
2019-12-31,0.030362009239251586,0.030644048126069245,-0.0002820388868176593,-0.008932523706631668,-2612.0537409582603
2020-01-31,-0.025560707423269435,-0.033220756108171656,0.007660048684902221,-0.030098563581123172,206.06470678519995
2020-02-29,-0.09609068071785898,-0.09573374324843664,-0.00035693746942233595,0.005283847525288321,6667.160991065847
2020-03-31,-0.22222810267845217,-0.21162893080335077,-0.010599171875101399,-0.10836658052739756,6815.315118212911
2020-04-30,0.14866718090068476,0.14349812506679016,0.005169055833894598,-0.04354265944063951,-12344.691777490358
2020-05-31,0.04679117715421688,0.050675317591472036,-0.003884140437255157,0.06812829026465872,1151.8961964303212
2020-06-30,0.02575128372858737,0.026544740712737713,-0.0007934569841503425,0.00934824697277703,-1134.9685868374052
