gate,n_kept,n_rej,kept25,rej25,nk25,nr25,sep25,kept26,rej26,nk26,nr26,sep26,sep_pool,se_pool,t_pool,risk$_kept,risk$_rej
L1 live universe (name rule),630,256,0.046622281581884514,-0.29482406867168254,386,77,0.34144635025356707,-0.10156285440826328,-0.04379998850730699,244,179,-0.057762865900956285,0.10853326831764676,0.101786997437615,1.0662783169742927,1680.000000000004,3520.4400000000023
L2 ADV20 >= 200K  [NEVER MEASURED BEFORE],371,259,0.03328142126734039,0.06430293983007551,220,166,-0.03102151856273512,-0.10818592936544638,-0.09080925958531008,151,93,-0.0173766697801363,-0.0329032157337808,0.11482335520843795,-0.2865550799665438,2800.979999999999,430.92000000000144
L3 entry price <= $20,335,36,0.06660247899831181,-0.21534493257144646,194,26,0.2819474115697583,-0.10018533681851191,-0.22099428427722242,141,10,0.12080894745871051,0.21331643106628825,0.2385308449732588,0.8942928579748364,2599.9999999999977,4979.319999999998
L4 pole gain >= 5%,206,129,0.28737177384846724,-0.29933018780811016,121,73,0.5867019616565774,0.0064188097664950716,-0.26199520217075467,85,56,0.26841401193724973,0.45456733211374023,0.14591666494130667,3.1152530267641794,2879.9999999999905,2267.5799999999995
L5 conviction >= 1.8,91,115,0.33419867616178783,0.2456665639756661,57,64,0.08853211218612173,0.2053995517581306,-0.1262350182279286,34,51,0.3316345699860592,0.20533962929922095,0.21420784511989657,0.9585999484952948,3240.0000000000027,2520.0000000000023
L6 pole_bars <= 3,91,0,0.33419867616178783,,57,0,,0.2053995517581306,,34,0,,,,,3240.0000000000027,
L7 VWAP gate,78,13,0.39387845141688566,-0.17307941350654457,51,6,0.5669578649234303,0.37315038614956225,-0.44163938089453464,27,7,0.8147897670440969,0.7043919786167362,0.3855686542478647,1.8268911926743774,3171.5000000000055,3693.299999999997
L8a two-tier: MACD surgical-drop leg,72,6,0.4179220344635674,0.17267748738741373,46,5,0.24524454707615367,0.36206926224519215,0.6612596076631856,26,1,-0.29919034541799344,0.14364513706244503,0.7047159365678052,0.2038340976962198,3599.999999999999,2415.600000000013
L8b two-tier: composite leg,68,10,0.5969074720653971,-0.8823039640880426,44,7,1.4792114361534396,0.47654640284678007,-0.4540177474281803,24,3,0.9305641502749604,1.3082451937842046,0.30024398952625503,4.357273548917469,3320.000000000001,2599.9999999999977
L8 two-tier filter (both legs),62,16,0.6512959316394974,-0.4427283593066025,39,12,1.0940242909460998,0.4685153939417189,-0.1751984086553388,23,4,0.6437138025970577,0.9593361199437855,0.3668137412893432,2.6153221975047547,3602.5199999999986,2507.8000000000056
"L9 MACD zone mult >= 1.5 (SIZING, within book)",50,12,0.5989837908539617,0.9390127059599447,33,6,-0.340028915105983,0.4872238387888726,0.4155081335414506,17,6,0.07171570524742199,-0.1162750125988663,0.45387561687504935,-0.2561825493059621,3825.179999999995,2515.9000000000024
WHOLE P1 STACK picked vs rejected (post-universe),62,568,0.6512959316394974,-0.02133815747358208,39,347,0.6726340891130794,0.4685153939417189,-0.16089226487002614,23,221,0.6294076588117451,0.6591267468556482,0.21068391087352872,3.1285101179430588,3602.5199999999986,1567.6349999999998
