id,block,split,n,tr_per_mo,wk_total,wk_green_pct,wk_flat_pct,wk_red_pct,red_wk_streak,worst_wk,pnl_ex5tr,pnl_ex5pct,pnl_ex1pct,mo_green_pct,worst_mo,mdd,pnl,top1_share,top5_share,top10_share,wr,medR,p25R,p75R,iqrR,streak_tr,streak_wk,Rpick,totR,ex1,ex5,mdd_R,worst_mo_R,red_mo,months_traded,t,mde80,wk_green,n_weeks,full_market,desc,wk_traded_pct,sd,k_conv,k_vol,k_price,k_pole,k_macd,k_conc,k_mtd
P1,baseline,TRAIN,34,2.8333333333333335,53,30.18867924528302,56.60377358490566,13.20754716981132,2,-12856.66,32417.879999999997,75849.56,92411.28,81.81818181818183,-12856.66,-14236.989999999998,112280.51999999999,17.69607052051416,71.12777888809208,104.9433775333424,64.70588235294117,1.1874224637681137,-1.0334477019692718,2.2468215619778746,3.2802692639471465,4,10,0.9117859946035667,31.000723816521266,0.7754059702768376,0.691014625212186,-4.678356819649325,-3.6242215403021825,2,11,3.1539674410956113,0.8094569245150914,69.56521739130434,23,False,shipped P1 (baseline = BT_STATUS run A),43.39622641509434,1.6856801384989009,1.8,200000,20.0,5.0,True,3,5
P1,baseline,VAL,15,3.0,22,40.909090909090914,45.45454545454545,13.636363636363635,2,-11670.75,-12301.86,16384.42,16384.42,80.0,-4756.9299999999985,-15153.47,26780.960000000003,38.820639738082576,145.93509717351435,173.38000579516194,66.66666666666666,0.7771341463414627,-1.063619378794776,1.543031425988224,2.6066508047830004,4,4,0.5553248433185978,8.329872649778967,0.38302622130968433,0.38302622130968433,-4.317527207049126,-1.9989928300280952,1,5,1.501255163294814,1.0357396925646565,75.0,12,False,shipped P1 (baseline = BT_STATUS run A),54.54545454545454,1.4326437786817516,1.8,200000,20.0,5.0,True,3,5
CONV_1.5,ladder_conviction,TRAIN,47,3.9166666666666665,53,33.9622641509434,47.16981132075472,18.867924528301888,3,-12856.66,65510.229999999996,114062.08,131263.93,81.81818181818183,-1870.8099999999995,-17116.44,151133.17000000004,13.14684261568787,56.653969476058755,88.46046834060316,63.829787234042556,1.0691999999999977,-1.04793717830379,1.7597862448847372,2.807723423188527,4,5,0.8783394470002076,41.28195400900976,0.7433895077189537,0.639635345726361,-4.678356819649325,-1.1465055267886672,2,11,3.2873427908386335,0.7481271677704097,64.28571428571429,28,False,conviction >= 1.5,52.83018867924528,1.8317505212179332,1.5,200000,20.0,5.0,True,3,5
CONV_1.5,ladder_conviction,VAL,18,3.6,22,36.36363636363637,40.909090909090914,22.727272727272727,2,-11334.55,-23874.58,4811.700000000001,4811.700000000001,60.0,-4420.729999999999,-14817.27,15208.240000000005,68.36123049083916,256.98450313777266,305.5397600248285,61.111111111111114,0.45878789334196435,-1.0746551398337134,0.9526116647920331,2.0272668046257465,3,5,0.3749366406472248,6.748859531650047,0.22243258707098007,0.22243258707098007,-3.7326688116695452,-1.4141344346485138,2,5,1.1328769489314305,0.9266872230055163,61.53846153846154,13,False,conviction >= 1.5,59.09090909090909,1.4041431844845664,1.5,200000,20.0,5.0,True,3,5
CONV_1.2,ladder_conviction,TRAIN,55,4.583333333333333,53,35.84905660377358,41.509433962264154,22.641509433962266,3,-12856.66,72946.12,104936.25,138699.82,81.81818181818183,-5890.719999999999,-17116.44,158569.06000000008,12.53033851622756,53.99725520224435,89.33113433352,60.0,0.9217258803917475,-1.04927480450042,1.7597862448847372,2.809061049385157,4,5,0.7890832586031599,43.399579223173795,0.6724730105414058,0.514321249379638,-4.678356819649325,-1.345025334135303,2,11,3.1631888139526163,0.6984828456471471,61.29032258064516,31,False,conviction >= 1.2,58.490566037735846,1.8500312225538023,1.2,200000,20.0,5.0,True,3,5
CONV_1.2,ladder_conviction,VAL,23,4.6,22,40.909090909090914,36.36363636363637,22.727272727272727,2,-11334.55,-13647.779999999995,18930.210000000006,18930.210000000006,60.0,-1787.9699999999984,-14817.269999999999,29326.75,35.450706266463214,146.53696710341242,196.61363771982917,65.21739130434783,0.7771341463414627,-1.0743966994205114,1.091408811959052,2.1658055113795633,3,3,0.43506777308778405,10.006558781019033,0.31995696498071124,0.31995696498071124,-3.7326688116695443,-0.2352585211938617,2,5,1.589913435006747,0.7661987991444488,64.28571428571429,14,False,conviction >= 1.2,63.63636363636363,1.312342983593321,1.2,200000,20.0,5.0,True,3,5
CONV_1.0,ladder_conviction,TRAIN,61,5.083333333333333,53,39.62264150943396,35.84905660377358,24.528301886792452,3,-12856.66,79227.58,111217.71,144981.28,81.81818181818183,-11156.9,-21068.84000000001,164850.52000000005,12.052882817718741,51.93974517035189,85.92726307445069,60.65573770491803,1.0169280673085075,-1.0487956539538204,1.6676417974135136,2.7164374513673337,4,5,0.775523170620158,47.30691340782963,0.670347945898196,0.5284834336620174,-4.678356819649325,-2.3938209880891232,2,11,3.3634489531893488,0.6456066103448299,61.76470588235294,34,False,conviction >= 1.0,64.15094339622641,1.8008388640031792,1.0,200000,20.0,5.0,True,3,5
CONV_1.0,ladder_conviction,VAL,25,5.0,22,45.45454545454545,27.27272727272727,27.27272727272727,3,-11334.55,-15131.899999999994,17446.090000000004,17446.090000000004,60.0,-5398.12,-18779.800000000007,27842.63,37.340366193854535,154.34795491661527,211.1306295418213,64.0,0.7771341463414627,-1.0738798185941076,1.178875913454652,2.25275573204876,4,3,0.418146736017615,10.453668400440375,0.3119234520415412,0.3119234520415412,-4.322117489311933,-0.2352585211938617,2,5,1.5938496799095503,0.7345804787034649,62.5,16,False,conviction >= 1.0,72.72727272727273,1.311750854827616,1.0,200000,20.0,5.0,True,3,5
CONV_OFF,ladder_conviction,TRAIN,74,6.166666666666667,53,39.62264150943396,30.18867924528302,30.18867924528302,3,-12856.66,79539.1,95207.48000000001,145292.8,90.9090909090909,-6736.78,-17116.44,165162.04,12.030149300650441,51.84177914004937,85.76519156581016,58.108108108108105,0.7875368022245683,-1.0488521840524074,1.4762972367177436,2.525149420770151,4,5,0.6219753061578511,46.02617265568098,0.5334265205718234,0.36993384839860954,-4.678356819649325,-1.2994068056587005,1,11,3.0997420571723535,0.5618308959651444,56.75675675675676,37,False,conviction gate off,69.81132075471697,1.7260900400593424,,200000,20.0,5.0,True,3,5
CONV_OFF,ladder_conviction,VAL,29,5.8,22,54.54545454545454,22.727272727272727,22.727272727272727,2,-11334.55,-10780.179999999998,21797.81,21797.81,60.0,-1787.9699999999984,-14817.269999999999,32194.350000000006,32.29305763278339,133.4846952959137,182.59203866516947,65.51724137931035,0.7106686066828908,-1.0658015313589815,1.178875913454652,2.2446774448136333,3,2,0.42555726937734123,12.341160811942895,0.3347734021606968,0.3347734021606968,-3.7326688116695443,-0.2352585211938617,2,5,1.8099588058245435,0.6583356209113992,70.58823529411765,17,False,conviction gate off,77.27272727272727,1.266159220362539,,200000,20.0,5.0,True,3,5
VOL_100K,ladder_volume,TRAIN,50,4.166666666666667,53,41.509433962264154,43.39622641509434,15.09433962264151,2,-12856.66,38149.659999999996,81581.34,98143.06,75.0,-6768.43,-15771.88,118012.3,16.836583983194974,67.67314932426535,100.10320110700326,62.0,0.76469003966175,-1.0523514595103562,1.5557316748566719,2.6080831343670283,4,5,0.6583464164302013,32.91732082151007,0.5613264086556008,0.500605521078724,-6.140108872208955,-2.9133002012863285,3,12,2.9644761291153947,0.6218198041468558,73.33333333333333,30,False,ADV20 >= 100K,56.60377358490566,1.5703321435297593,1.8,100000,20.0,5.0,True,3,5
VOL_100K,ladder_volume,VAL,20,4.0,22,45.45454545454545,40.909090909090914,13.636363636363635,2,-11670.75,-7758.209999999999,21908.22,21908.22,80.0,-4441.729999999999,-15901.96,32304.760000000002,32.18268762869621,124.01568685234001,158.92456715357116,65.0,0.554925768822905,-1.034350473025834,2.141224450390005,3.175574923415839,6,3,0.6519613731779459,13.039227463558918,0.523544154467831,0.523544154467831,-5.412736667271574,0.06488138093940155,1,5,1.9547974144207296,0.9338521891994631,76.92307692307693,13,False,ADV20 >= 100K,59.09090909090909,1.4915406971335676,1.8,100000,20.0,5.0,True,3,5
VOL_50K,ladder_volume,TRAIN,58,4.833333333333333,53,41.509433962264154,41.509433962264154,16.9811320754717,2,-13098.109999999999,38411.08,65521.01,98404.48,75.0,-7009.879999999999,-16013.329999999998,118273.72,16.79937013903004,67.52357159308087,99.88194334295059,58.620689655172406,0.7215682551123774,-1.0574356199463342,1.4762972367177436,2.533732856664078,5,5,0.593493572138142,34.422627184012235,0.5089526383618703,0.37991683892754924,-6.27610639389421,-3.0492977229715827,3,12,2.7860179252901256,0.5964721141604808,70.96774193548387,31,False,ADV20 >= 50K,58.490566037735846,1.622355816221849,1.8,50000,20.0,5.0,True,3,5
VOL_50K,ladder_volume,VAL,21,4.2,22,50.0,36.36363636363637,13.636363636363635,2,-11670.75,-5988.889999999998,23677.54,23677.54,80.0,-4441.729999999999,-15901.96,34074.08,30.511579476247046,117.57608716068049,153.0939353314895,66.66666666666666,0.7771341463414627,-1.0280143177026304,2.3185343770210314,3.346548694723662,6,2,0.8639447077676421,18.142838863120485,0.6519613731779458,0.6519613731779458,-5.412736667271574,0.06488138093940155,1,5,2.264322681442859,1.068330588027298,78.57142857142857,14,False,ADV20 >= 50K,63.63636363636363,1.748466352454206,1.8,50000,20.0,5.0,True,3,5
VOL_OFF,ladder_volume,TRAIN,69,5.75,53,45.28301886792453,35.84905660377358,18.867924528301888,2,-13098.109999999999,36972.64,64082.57,96966.04000000001,75.0,-7376.5,-16174.689999999999,116835.28,17.00619881255046,68.35490101962353,101.11165908105842,56.52173913043478,0.6393999999999966,-1.0681897366980238,1.4045980377800606,2.4727877744780846,5,5,0.48139908430300643,33.21653681690744,0.4088854414635561,0.2983232693016729,-8.458133108738423,-4.135128785641885,3,12,2.543825615168913,0.5298780812689138,70.58823529411765,34,False,ADV20 gate off,64.15094339622641,1.5719635408234294,1.8,0,20.0,5.0,True,3,5
VOL_OFF,ladder_volume,VAL,23,4.6,22,54.54545454545454,31.818181818181817,13.636363636363635,2,-11670.75,-5749.9,23916.53,23916.53,80.0,-4441.729999999999,-15901.96,34313.07,30.299066798744622,116.75717153842544,152.02763844797332,69.56521739130434,0.7240454076367415,-0.5476047301112241,2.200327759267014,2.747932489378238,6,2,0.847492154463988,19.492319552671724,0.6540321887777344,0.6540321887777344,-5.412736667271574,0.06488138093940155,1,5,2.4366288418769084,0.9738775113042195,80.0,15,False,ADV20 gate off,68.18181818181817,1.6680544530564696,1.8,0,20.0,5.0,True,3,5
PX_25,ladder_price,TRAIN,36,3.0,53,32.075471698113205,54.71698113207547,13.20754716981132,2,-7355.78,51547.11,100098.95999999999,119864.57999999999,83.33333333333334,-5168.98,-11148.009999999998,139733.82000000004,14.219349331464635,63.11049823156626,95.12490963175554,66.66666666666666,1.2311041694370815,-1.0334477019692718,2.39623040973111,3.429678111700382,3,7,1.006431412986646,36.23153086751926,0.8805486877181039,0.7866164832492227,-3.5217934083113915,-2.4676581289642487,2,12,3.511406642816215,0.8025296535016272,70.83333333333334,24,False,entry <= $25,45.28301886792453,1.7197064003606297,1.8,200000,25.0,5.0,True,3,5
PX_25,ladder_price,VAL,15,3.0,22,40.909090909090914,45.45454545454545,13.636363636363635,2,-11670.75,-12301.86,16384.42,16384.42,80.0,-4756.9299999999985,-15153.47,26780.960000000003,38.820639738082576,145.93509717351435,173.38000579516194,66.66666666666666,0.7771341463414627,-1.063619378794776,1.543031425988224,2.6066508047830004,4,4,0.5553248433185978,8.329872649778967,0.38302622130968433,0.38302622130968433,-4.317527207049126,-1.9989928300280952,1,5,1.501255163294814,1.0357396925646565,75.0,12,False,entry <= $25,54.54545454545454,1.4326437786817516,1.8,200000,25.0,5.0,True,3,5
PX_30,ladder_price,TRAIN,36,3.0,53,32.075471698113205,54.71698113207547,13.20754716981132,2,-7355.78,51547.11,100098.95999999999,119864.57999999999,83.33333333333334,-5168.98,-11148.009999999998,139733.82000000004,14.219349331464635,63.11049823156626,95.12490963175554,66.66666666666666,1.2311041694370815,-1.0334477019692718,2.39623040973111,3.429678111700382,3,7,1.006431412986646,36.23153086751926,0.8805486877181039,0.7866164832492227,-3.5217934083113915,-2.4676581289642487,2,12,3.511406642816215,0.8025296535016272,70.83333333333334,24,False,"entry <= $30 (= off, cache band)",45.28301886792453,1.7197064003606297,1.8,200000,30.0,5.0,True,3,5
PX_30,ladder_price,VAL,16,3.2,22,36.36363636363637,45.45454545454545,18.181818181818183,2,-11670.75,-18904.99,9781.289999999999,9781.289999999999,80.0,-4756.9299999999985,-15153.47,20177.83,51.52456929213894,193.69188857275537,230.11805531120046,62.5,0.554925768822905,-1.0741382590073094,1.273486568225838,2.3476248272331475,4,5,0.4521963359922821,7.2351413758765135,0.2845090549622084,0.2845090549622084,-4.317527207049126,-1.9989928300280952,1,5,1.2524205883458992,1.0109620941720727,66.66666666666666,12,False,"entry <= $30 (= off, cache band)",54.54545454545454,1.4442315631029612,1.8,200000,30.0,5.0,True,3,5
