symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct
BTOG,2026-02-02,11:29:00,3.21,3.09,3.44,3120,11:53:00,3.09,stop,-374.40,-3.74
MVO,2026-02-02,10:48:00,1.72,1.65,1.87,5806,11:11:00,1.65,stop,-418.61,-4.19
PAVM,2026-02-02,12:22:00,8.68,8.58,8.89,1151,12:23:00,8.58,stop,-120.62,-1.21
PLAG,2026-02-02,13:33:00,3.83,3.74,4.00,2610,13:34:00,3.74,stop,-227.07,-2.27
ASTI,2026-02-04,13:59:00,5.99,5.92,6.13,1669,14:00:00,5.92,stop,-116.66,-1.17
PBM,2026-02-04,11:22:00,2.85,2.76,3.04,3505,13:19:00,2.76,stop,-324.21,-3.24
BNKK,2026-02-06,11:19:00,3.76,3.70,3.89,2659,11:28:00,3.89,target,345.67,3.46
NTWK,2026-02-06,14:58:00,3.41,3.35,3.53,2932,15:04:00,3.53,target,351.84,3.52
BTOG,2026-02-09,13:09:00,3.27,3.17,3.47,3058,13:10:00,3.17,stop,-305.80,-3.06
JFB,2026-02-09,11:15:00,33.49,33.30,33.86,298,11:16:00,33.86,target,110.26,1.10
ASTI,2026-02-11,13:29:00,8.70,8.61,8.88,1149,13:31:00,8.88,target,206.82,2.07
OPTX,2026-02-11,15:46:00,6.40,6.31,6.58,1562,15:53:00,6.58,target,280.85,2.81
SIF,2026-02-11,12:10:00,8.55,8.45,8.77,1168,12:29:00,8.77,target,256.96,2.57
QVCGA,2026-02-13,11:56:00,3.86,3.80,3.98,2590,12:00:00,3.98,target,310.80,3.11
DBGI,2026-02-17,11:16:00,5.36,5.27,5.54,1865,11:18:00,5.54,target,335.33,3.35
DBGI,2026-02-18,11:35:00,5.50,5.42,5.66,1818,11:40:00,5.42,stop,-145.26,-1.45
INTS,2026-02-19,11:02:00,6.18,6.02,6.51,1616,11:03:00,6.51,target,519.38,5.20
NAMM,2026-02-19,10:46:00,2.65,2.59,2.77,3773,10:48:00,2.77,target,452.76,4.53
RLYB,2026-02-19,15:30:00,4.86,4.80,4.98,2057,15:58:00,4.81,eod,-101.82,-1.02
ABTS,2026-02-20,13:19:00,3.67,3.60,3.81,2724,13:21:00,3.60,stop,-190.68,-1.91
DBGI,2026-02-20,10:39:00,5.16,5.08,5.33,1937,10:43:00,5.33,target,329.29,3.29
NVNO,2026-02-24,12:28:00,12.30,12.19,12.52,813,12:30:00,12.19,stop,-89.43,-0.89
ELWT,2026-02-25,11:03:00,7.34,7.26,7.50,1362,11:04:00,7.50,target,213.56,2.14
HCTI,2026-02-26,15:14:00,6.37,6.31,6.49,1569,15:17:00,6.49,target,188.28,1.88
ASTI,2026-02-27,10:46:00,6.04,5.96,6.19,1655,10:51:00,5.96,stop,-124.13,-1.24
