symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,2900,10:39:00,3.8,trail_stop,643.73,4.91,False,,0,0.00,33.85,337424,-9.40,-2.23,False,0.01,3,6.47,-7.92,2.90,1.00,0.30,0.30,0.30,0.00,0.00,2.900,1.053,0.00,0.00,30.63,0.199,1.053
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,2697,10:49:00,9.32,exhaust+trail_stop,3491.07,10.13,False,,0,0.00,21.95,280864,1.01,-1.75,False,-0.13,2,4.69,2.72,2.10,2.00,0.30,0.00,0.30,0.30,0.20,2.100,1.439,0.00,0.00,16.05,0.357,1.439
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,12147,11:48:00,3.9,exhaust+trail_stop,7374.73,11.51,False,,0,0.00,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,1.668,0.20,0.00,29.50,1.195,1.668
SKBL,2025-03-10,09:42:00,10.24,9.94,10.70,1464,12:40:00,10.6,trail_stop,782.78,3.48,False,,0,0.00,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.80,2.00,0.00,0.00,0.30,0.30,0.00,1.800,1.967,0.20,0.00,18.22,2.390,1.967
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,3484,12:27:00,4.38,trail_stop,1287.36,5.96,False,,0,0.00,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.00,1.80,0.00,0.30,0.30,0.30,0.20,3.300,2.118,0.20,0.00,51.08,3.756,2.118
KBSX,2025-03-19,10:07:00,3.87,3.70,4.25,2731,10:17:00,4.78,exhaust+trail_stop,3749.51,23.66,False,,0,0.00,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.60,1.80,0.00,0.00,0.30,0.30,0.00,2.600,1.537,0.00,0.00,21.33,0.829,1.537
OM,2025-03-20,10:26:00,10.02,9.66,10.79,870,10:36:00,11.22,trail_stop,1568.65,11.99,False,,0,0.00,47.96,1110199,9.25,1322.62,False,,2,7.10,9.14,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.345,0.20,0.00,1706.45,2.508,1.345
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,666,13:12:00,16.64,trail_stop,1298.75,8.48,False,,0,0.00,39.6,230755,8.50,-15.14,False,,2,11.12,9.10,2.50,1.80,0.00,0.00,0.00,0.30,0.00,2.500,1.345,0.20,0.00,24.72,1.144,1.345
QNTM,2025-03-28,10:16:00,10.42,10.16,10.72,2250,10:19:00,10.91,trail_stop,1631.77,4.64,False,,0,0.00,55.58,710285,-2.03,17.78,False,-0.01,2,6.02,-0.67,1.90,1.00,0.30,0.30,0.30,0.00,0.00,1.900,1.047,0.00,0.00,32.21,0.876,1.047
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,3351,10:57:00,3.41,stop,-498.22,-2.82,False,,0,0.00,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.60,1.00,0.30,0.30,0.30,0.30,0.20,2.600,1.561,0.20,0.00,20.89,0.482,1.561
IONX,2025-04-07,10:05:00,22.52,21.99,23.45,817,10:14:00,27.43,exhaust+trail_stop,2810.86,15.28,False,,0,0.00,60.94,417712,12.64,-11.03,False,-0.19,2,5.28,13.03,2.80,1.80,0.30,0.00,0.00,0.30,0.00,2.800,2.831,0.20,0.00,29.29,1.085,2.831
