symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
RIOX,2025-04-07,09:59:00,6.91,6.67,7.19,2552,10:12:00,7.67,exhaust+trail_stop,2112.96,11.97,False,,0,0.00,48.41,257917,7.45,-15.94,False,-0.19,2,6.92,9.13,2.60,1.80,0.30,0.30,0.30,0.30,0.20,2.600,2.831,0.20,0.00,20.14,1.309,2.831
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,641,10:01:00,17.57,trail_stop,247.38,2.24,False,,0,0.00,28.43,1700591,8.17,-6.97,False,-0.19,3,7.95,7.94,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,2.831,0.20,0.00,21.74,2.259,2.831
TTGT,2025-04-07,10:19:00,9.96,9.65,10.36,1348,10:22:00,9.62,stop,-456.30,-3.40,False,,0,0.00,21.57,264127,10.68,-5.09,False,-0.19,2,4.53,11.87,2.00,1.80,0.30,0.00,0.00,0.30,0.20,2.000,2.831,0.20,0.00,21.57,3.203,2.831
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,3049,10:21:00,8.28,trail_stop,906.20,3.72,False,,0,0.00,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.00,1.80,0.30,0.30,0.30,0.30,0.20,3.600,2.098,0.20,0.00,23.51,2.773,2.098
SCLX,2025-04-23,10:30:00,4.63,4.54,4.78,1779,10:43:00,4.72,trail_stop,169.43,2.06,False,,0,0.00,30.0,1246944,8.73,-4.76,False,,2,3.16,9.26,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,1.979,0.20,0.00,21.07,2.828,1.979
SMCL,2025-04-23,09:38:00,11.04,10.60,11.69,691,10:02:00,10.57,stop,-329.58,-4.32,False,,0,0.00,13.33,921557,2.67,15.86,False,,3,7.36,4.27,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.979,0.20,0.00,26.21,0.541,1.979
CPS,2025-05-02,09:52:00,19.79,18.99,21.54,354,15:45:00,21.77,force_close,701.47,10.01,False,,0,0.00,32.22,378777,6.28,11.30,False,0.01,2,17.19,5.63,2.30,1.80,0.00,0.30,0.30,0.30,0.20,2.300,1.714,0.20,0.00,29.27,0.556,1.714
SMCL,2025-05-12,09:37:00,10.69,10.37,11.35,847,09:41:00,10.34,stop,-370.02,-3.27,False,,0,0.00,12.33,1360331,2.95,11.62,False,-0.18,2,6.51,2.89,1.80,2.00,0.30,0.00,0.00,0.30,0.00,1.800,1.258,0.20,0.00,18.35,1.040,1.258
TSSI,2025-05-16,09:57:00,13.92,13.49,14.84,613,10:06:00,14.65,trail_stop,558.08,5.22,False,,0,0.00,31.83,947907,3.84,46.56,False,-0.09,2,8.02,4.25,1.80,1.80,0.30,0.00,0.30,0.00,0.00,1.800,0.888,0.20,0.00,56.14,0.706,0.888
RYET,2025-05-23,10:14:00,13.09,12.49,14.39,430,10:16:00,12.45,stop,-343.16,-4.87,False,,0,0.00,23.23,1187461,0.83,-4.14,False,0.06,2,7.32,1.46,2.20,1.80,0.30,-0.30,0.00,0.00,0.20,2.200,1.167,0.00,0.00,21.75,0.896,1.167
FMST,2025-05-28,09:42:00,3.72,3.55,4.09,1822,09:53:00,3.88,trail_stop,371.96,4.39,False,,0,0.00,33.54,832094,7.47,9.26,False,0.03,3,13.30,7.65,1.80,2.00,0.00,0.00,0.30,0.30,0.00,1.800,1.401,0.20,0.00,15.05,2.791,1.401
DFDV,2025-06-03,10:27:00,21.54,20.89,22.45,368,11:06:00,20.83,stop,-326.48,-3.30,False,,0,0.00,26.2,1220294,-1.89,1.07,False,0.12,2,3.61,-0.58,1.80,1.00,0.00,0.00,0.30,0.30,0.20,1.800,1.297,0.00,0.00,24.56,0.612,1.297
NEGG,2025-06-09,10:25:00,13.57,13.10,14.57,560,10:40:00,15.11,trail_stop,1077.69,11.35,False,,0,0.00,67.79,931289,9.85,0.00,False,-0.01,3,7.55,9.80,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,0.808,0.20,0.00,29.81,1.339,0.808
EGG,2025-07-09,09:57:00,7.19,6.96,7.66,1648,10:00:00,7.45,trail_stop,545.16,3.68,False,,0,0.00,141.39,1142215,7.42,-4.17,False,0.02,2,7.89,6.96,2.30,1.80,0.30,0.00,0.30,-0.50,0.00,2.300,0.678,0.20,0.00,24.52,1.473,0.678
CIGL,2025-07-11,10:40:00,3.97,3.87,4.12,3005,10:47:00,4.1,trail_stop,481.81,3.23,False,,0,0.00,32.93,603615,1.65,-34.98,False,0.07,2,5.33,2.54,2.40,1.00,0.30,0.30,0.30,-0.50,0.00,2.400,0.550,0.00,0.00,30.82,8.190,0.550
RIOX,2025-08-01,10:20:00,14.09,13.56,15.24,486,11:01:00,13.52,stop,-347.01,-4.05,False,,0,0.00,29.0,747851,3.05,-21.59,False,-0.16,2,6.79,3.52,2.20,1.80,0.30,-0.30,0.00,0.00,0.00,2.200,1.032,0.20,0.00,29.00,0.689,1.032
FTEK,2025-08-07,10:46:00,3.39,3.30,3.56,1933,10:48:00,3.29,stop,-233.54,-2.85,False,,0,0.00,21.62,408276,9.10,1.36,False,-0.07,3,4.83,9.04,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,0.878,0.20,0.00,21.62,3.329,0.878
SDM,2025-08-07,10:18:00,10.74,10.37,11.54,701,10:21:00,11.27,trail_stop,463.92,4.93,False,,0,0.00,37.09,752520,7.92,-1.87,False,-0.07,2,6.53,7.71,2.50,1.80,0.30,0.00,0.00,0.00,0.00,2.500,0.878,0.20,0.00,25.47,1.548,0.878
MSOX,2025-08-11,09:40:00,7.69,7.38,8.34,933,09:55:00,7.36,stop,-384.03,-4.28,False,,0,0.00,40.2,690196,5.35,21.20,False,-0.02,2,7.71,5.78,1.80,1.80,0.30,0.00,0.30,0.00,0.00,1.800,0.904,0.20,0.00,30.12,1.453,0.904
FABC,2025-09-11,09:53:00,4.84,4.69,5.17,1441,10:36:00,5.09,trail_stop,443.98,5.09,False,,0,0.00,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.50,1.00,0.00,0.30,0.30,-0.50,0.20,2.500,0.523,0.20,0.00,23.33,1.965,0.523
SBLX,2025-09-11,09:53:00,4.84,4.69,5.17,1441,10:36:00,5.09,trail_stop,443.98,5.09,False,,0,0.00,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.50,1.00,0.00,0.30,0.30,-0.50,0.20,2.500,0.523,0.20,0.00,23.33,1.965,0.523
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,1248,09:45:00,7.13,trail_stop,461.99,4.33,False,,0,0.00,108.19,2592400,2.20,12.19,False,0.01,2,6.61,2.17,1.80,1.80,0.30,0.00,0.00,0.30,0.00,1.800,1.502,0.20,0.00,20.14,2.138,1.502
IPDN,2025-10-13,09:57:00,3.62,3.46,3.98,2341,10:49:00,3.97,trail_stop,1018.53,9.62,False,,0,0.00,43.15,2643889,8.58,-1.35,False,0.01,2,6.71,5.56,2.50,1.80,0.30,-0.30,0.00,0.30,0.00,2.500,1.502,0.20,0.00,23.29,5.937,1.502
SMU,2025-10-13,09:36:00,27.65,26.84,29.32,402,09:40:00,26.76,stop,-446.25,-3.21,False,,0,0.00,20.81,2878002,3.09,12.27,False,0.01,2,5.49,3.27,1.80,2.00,0.30,0.00,0.00,0.30,0.00,1.800,1.502,0.20,0.00,17.82,1.213,1.502
DTCK,2025-11-05,09:45:00,4.49,4.39,4.69,2437,10:01:00,5.33,exhaust+trail_stop,2083.95,15.23,False,,0,0.00,62.38,2274726,1.74,-3.14,False,0.03,3,5.84,2.22,2.60,1.00,0.30,0.30,0.00,0.00,0.00,2.600,0.840,0.00,0.00,22.09,1.019,0.840
MPL,2025-11-07,10:00:00,8.33,8.00,8.88,612,11:04:00,7.98,stop,-271.93,-4.27,False,,0,0.00,40.09,350272,6.19,-7.12,False,-0.20,3,6.09,7.51,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,1.028,0.20,0.00,20.12,0.900,1.028
OPEX,2025-11-07,09:59:00,19.11,18.78,19.68,1347,10:00:00,18.72,stop,-642.16,-2.00,False,,0,0.00,66.03,283043,14.64,-33.27,False,-0.20,2,4.58,15.08,2.30,1.80,0.30,0.30,0.30,0.00,0.20,2.300,1.028,0.20,0.00,45.93,1.896,1.028
AREN,2025-11-14,09:46:00,3.86,3.65,4.24,2396,12:49:00,4.5,exhaust+trail_stop,1931.48,16.69,False,,0,0.00,46.67,228795,12.24,-11.25,False,-0.07,3,13.65,14.03,2.70,1.80,0.00,0.00,0.30,0.00,0.20,2.700,0.948,0.20,0.00,22.06,0.211,0.948
QPUX,2025-11-14,09:53:00,21.0,20.27,22.57,472,10:03:00,20.21,stop,-467.69,-3.77,False,,0,0.00,31.25,286348,10.27,-12.89,False,-0.07,3,9.48,10.18,2.20,1.80,0.00,0.00,0.00,0.00,0.00,2.200,0.948,0.20,0.00,29.96,0.895,0.948
PHGE,2025-12-08,08:58:00,3.2,3.09,3.34,4582,09:01:00,3.08,stop,-659.64,-3.60,False,,0,0.00,35.9,681064,6.77,-44.68,False,-0.03,2,8.19,8.29,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.639,0.20,0.00,18.91,2.235,0.639
VELO,2026-01-06,09:49:00,17.1,16.64,17.85,448,10:55:00,18.62,exhaust+trail_stop,876.36,9.14,False,,0,0.00,32.0,1889690,4.90,2.81,False,0.06,2,7.64,5.78,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.770,0.20,0.00,16.20,0.621,0.770
CORD,2026-01-26,09:50:00,14.87,14.24,16.27,400,11:33:00,16.78,exhaust+trail_stop,960.61,12.89,False,,0,0.00,33.55,1046460,0.85,-19.10,False,-0.04,2,6.37,1.35,2.00,1.80,0.30,-0.30,0.00,0.00,0.00,2.000,0.910,0.00,0.00,22.08,1.611,0.910
KPTI,2026-02-12,09:46:00,7.81,7.51,8.46,1295,10:08:00,8.47,trail_stop,1063.24,8.41,False,,0,0.00,47.92,415232,6.70,-11.80,False,0.00,2,6.48,5.67,2.50,1.80,0.30,-0.30,0.30,0.00,0.00,2.500,0.985,0.20,0.00,22.36,2.246,0.985
ADVB,2026-02-24,10:42:00,4.88,4.72,5.23,3123,10:48:00,4.71,stop,-836.00,-3.65,False,,0,0.00,57.61,424841,7.11,-0.49,False,-0.02,3,9.75,6.32,2.70,1.80,0.00,0.00,0.30,0.00,0.20,2.700,1.106,0.20,0.00,20.30,1.660,1.106
RDWU,2026-03-02,09:40:00,12.38,12.18,12.73,2958,09:49:00,13.46,trail_stop,4776.45,8.69,False,,0,0.00,31.6,234819,5.32,-2.71,False,0.07,2,5.37,5.27,2.30,2.00,0.30,0.30,0.30,0.00,0.20,2.300,0.864,0.20,0.00,18.35,0.938,0.864
MVLL,2026-03-06,09:48:00,21.48,20.77,22.99,561,14:59:00,23.26,exhaust+trail_stop,1656.88,9.17,False,,0,0.00,21.6,263123,2.89,22.77,False,-0.08,2,8.87,2.80,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,1.500,0.20,0.00,30.71,2.549,1.500
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,1423,10:55:00,4.57,exhaust+trail_stop,1374.63,16.22,False,,0,0.00,45.76,328015,4.82,-2.59,False,-0.08,2,7.50,5.24,2.50,1.00,0.30,-0.30,0.00,0.30,0.00,2.500,1.500,0.20,0.00,20.87,0.859,1.500
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,4500,11:11:00,3.82,trail_stop,1230.56,5.01,False,,0,0.00,34.46,210545,3.31,8.67,False,0.12,2,8.78,4.68,2.00,2.00,0.30,0.30,0.00,0.00,0.20,2.000,1.048,0.20,0.00,18.15,0.216,1.048
HBIO,2026-03-16,09:48:00,4.9,4.79,5.04,5224,10:19:00,5.11,trail_stop,1647.21,4.29,False,,0,0.00,17.96,362067,2.74,839.81,False,-0.01,2,3.75,3.12,1.80,1.80,0.00,0.30,0.30,0.00,0.00,1.800,1.176,0.20,0.00,930.62,6.572,1.176
OKLS,2026-03-17,09:57:00,15.08,14.59,15.86,580,12:18:00,16.06,trail_stop,847.41,6.45,False,,0,0.00,27.4,578308,4.65,-17.83,False,0.04,3,6.22,5.75,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,1.090,0.20,0.00,15.20,2.416,1.090
QNTM,2026-03-25,10:22:00,4.87,4.74,5.02,5130,10:28:00,4.73,stop,-1137.06,-3.03,False,,0,0.00,34.2,487866,-4.03,0.63,False,,3,5.69,-2.55,1.90,1.80,0.30,0.30,0.00,0.30,0.00,1.900,1.428,0.00,0.00,34.20,0.371,1.428
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,1354,10:11:00,6.66,trail_stop,1080.03,8.68,False,,0,0.00,56.0,370929,5.43,0.38,False,,2,17.99,5.67,2.00,1.80,0.00,0.30,0.30,0.00,0.20,2.000,1.148,0.20,0.00,34.17,0.588,1.148
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,2922,10:32:00,7.99,stop,-985.83,-2.74,False,,0,0.00,22.31,1453348,3.59,-0.57,False,,3,6.79,4.01,2.60,2.00,0.30,0.30,0.30,0.30,0.20,2.600,1.799,0.20,0.00,18.37,1.683,1.799
TMCR,2026-04-09,09:57:00,11.56,11.21,12.29,769,10:32:00,13.6,exhaust+trail_stop,1610.30,14.48,False,,0,0.00,35.68,588449,0.43,-14.07,False,,2,7.47,0.93,2.60,1.80,0.30,0.00,0.30,0.00,0.00,2.600,0.930,0.00,0.00,21.21,0.547,0.930
CRMU,2026-05-04,10:19:00,12.42,11.98,13.37,708,10:44:00,11.94,stop,-422.71,-3.85,False,,0,0.00,19.64,205928,8.72,9.87,False,,2,7.07,8.92,2.00,1.80,0.30,0.00,0.30,0.00,0.20,2.000,0.822,0.20,0.00,20.82,1.153,0.822
TTGT,2026-05-08,09:56:00,5.7,5.58,5.92,3448,10:03:00,5.84,trail_stop,628.04,2.56,False,,0,0.00,24.47,565049,-2.52,-7.11,False,,2,5.64,-1.97,2.30,1.80,0.30,0.30,0.00,-0.50,0.20,2.300,0.766,0.00,0.00,20.75,0.687,0.766
TRT,2026-05-15,10:45:00,18.47,17.82,19.87,241,11:28:00,19.28,trail_stop,244.07,4.39,False,,0,0.00,47.14,2740118,11.90,6.28,False,,3,6.95,12.10,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,0.969,0.20,0.00,28.89,1.800,0.969
MLGO,2026-05-20,10:15:00,4.6,4.40,5.06,982,12:30:00,5.33,trail_stop,889.65,15.75,False,,0,0.00,81.27,607952,8.33,-1.04,False,,2,6.40,8.49,2.40,1.00,0.30,-0.30,0.00,0.00,0.20,2.400,0.892,0.20,0.00,20.84,2.054,0.892
LESL,2026-06-09,10:05:00,6.77,6.58,7.17,990,10:19:00,6.56,stop,-262.89,-3.14,False,,0,0.00,62.48,2755669,10.28,1.75,False,,3,6.11,10.61,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.410,0.20,0.00,33.69,1.346,1.410
OCC,2026-06-09,10:04:00,20.08,19.54,21.17,377,10:10:00,19.48,stop,-280.77,-2.96,False,,0,0.00,26.41,1319296,1.13,-2.63,False,,3,8.33,1.58,2.20,2.00,0.30,0.30,0.30,0.30,0.00,2.200,1.410,0.00,0.00,18.39,1.287,1.410
HTCO,2026-06-10,10:18:00,4.41,4.22,4.75,1800,10:40:00,4.2,stop,-471.36,-4.75,False,,0,0.00,25.93,1432757,-5.60,3.13,False,,3,4.65,-4.16,1.80,1.80,0.30,-0.30,0.30,0.30,0.20,1.800,2.228,0.00,0.00,25.93,5.696,2.228
OCC,2026-06-10,09:44:00,25.51,24.43,27.89,196,09:45:00,24.35,stop,-282.29,-4.52,False,,0,0.00,31.33,1418896,6.66,-0.05,False,,3,9.82,6.87,2.50,1.00,0.00,0.00,0.00,0.30,0.00,2.500,2.228,0.20,0.00,21.20,2.056,2.228
INDP,2026-06-11,10:25:00,3.24,3.12,3.37,4097,10:31:00,3.12,stop,-616.99,-3.72,False,,0,0.00,56.37,2664475,3.09,-0.82,False,,3,6.67,4.74,3.00,1.00,0.30,0.30,0.30,0.30,0.00,3.400,2.044,0.20,0.00,41.15,6.915,2.044
CRE,2026-06-12,10:23:00,3.17,3.04,3.43,2952,10:33:00,3.37,trail_stop,744.52,6.37,False,,0,0.00,29.01,504064,2.29,0.91,False,,2,11.25,2.76,2.10,2.00,0.00,0.30,0.30,0.30,0.00,2.100,2.439,0.20,0.00,16.18,0.207,2.439
ASBP,2026-06-16,09:57:00,6.14,5.87,6.75,1225,10:09:00,6.44,trail_stop,451.93,4.81,False,,0,0.00,26.74,1056507,6.14,-6.02,False,,3,6.91,4.01,2.00,2.00,0.30,-0.30,0.30,0.30,0.20,2.000,1.362,0.20,0.00,15.07,6.795,1.362
ARQQ,2026-06-23,09:45:00,25.67,24.52,28.22,290,11:37:00,29.23,exhaust+trail_stop,1274.55,13.70,False,,0,0.00,42.0,1338981,6.77,-1.73,False,,2,8.13,6.85,2.20,1.80,0.30,-0.30,0.00,0.00,0.00,2.200,1.095,0.20,0.00,21.33,1.020,1.095
RGTU,2026-06-23,09:36:00,25.74,24.72,27.19,515,09:46:00,24.65,stop,-703.11,-4.24,False,,0,0.00,23.15,389816,4.55,-5.77,False,,2,18.52,6.09,2.00,2.00,0.00,0.30,0.30,0.00,0.20,2.000,1.095,0.20,0.00,18.52,0.706,1.095
BEZ,2026-07-01,10:01:00,10.86,10.56,11.47,917,10:04:00,10.53,stop,-379.16,-3.05,False,,0,0.00,24.9,867514,-0.45,-1.08,False,,3,7.34,0.07,3.00,1.80,0.30,0.00,0.30,0.30,0.20,3.100,1.680,0.00,0.00,23.99,0.545,1.680
