symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct
BTOG,2026-02-02,11:29:00,3.21,3.09,3.44,15600,11:53:00,3.09,stop,-1872.00,-3.74
MVO,2026-02-02,10:48:00,1.72,1.65,1.87,29034,11:11:00,1.65,stop,-2093.35,-4.19
PBM,2026-02-04,11:22:00,2.85,2.76,3.04,17528,13:19:00,2.76,stop,-1621.34,-3.24
BNKK,2026-02-06,11:19:00,3.76,3.70,3.89,13297,11:28:00,3.89,target,1728.61,3.46
NTWK,2026-02-06,14:58:00,3.41,3.35,3.53,14662,15:04:00,3.53,target,1759.44,3.52
JFB,2026-02-09,11:15:00,33.49,33.30,33.86,1492,11:16:00,33.86,target,552.04,1.10
OPTX,2026-02-11,15:46:00,6.40,6.31,6.58,7812,15:53:00,6.58,target,1404.60,2.81
DBGI,2026-02-17,11:16:00,5.36,5.27,5.54,9328,11:18:00,5.54,target,1677.17,3.35
INTS,2026-02-19,11:02:00,6.18,6.02,6.51,8084,11:03:00,6.51,target,2598.20,5.20
NAMM,2026-02-19,10:46:00,2.65,2.59,2.77,18867,10:48:00,2.77,target,2264.04,4.53
RLYB,2026-02-19,15:30:00,4.86,4.80,4.98,10288,15:58:00,4.81,eod,-509.26,-1.02
DBGI,2026-02-20,10:39:00,5.16,5.08,5.33,9689,10:43:00,5.33,target,1647.13,3.29
ELWT,2026-02-25,11:03:00,7.34,7.26,7.50,6811,11:04:00,7.50,target,1067.96,2.14
HCTI,2026-02-26,15:14:00,6.37,6.31,6.49,7849,15:17:00,6.49,target,941.88,1.88
ASTI,2026-02-27,10:46:00,6.04,5.96,6.19,8278,10:51:00,5.96,stop,-620.85,-1.24
AENT,2026-03-02,15:47:00,5.49,5.38,5.72,9107,15:58:00,5.38,stop,-1047.31,-2.09
BUUU,2026-03-02,11:16:00,14.99,14.79,15.39,3335,11:25:00,14.79,stop,-667.00,-1.33
INDO,2026-03-02,10:51:00,7.37,7.28,7.55,6784,10:52:00,7.55,target,1221.12,2.44
RFIL,2026-03-02,10:46:00,12.28,12.14,12.54,4073,10:52:00,12.54,target,1099.71,2.20
EDSA,2026-03-03,10:36:00,2.84,2.74,3.03,17605,10:44:00,3.03,target,3432.97,6.87
JFB,2026-03-03,11:01:00,21.10,20.96,21.37,2369,11:03:00,21.37,target,639.63,1.28
TOPS,2026-03-03,14:35:00,4.58,4.50,4.73,10917,14:36:00,4.50,stop,-817.68,-1.64
VELO,2026-03-03,10:39:00,11.73,11.59,12.01,4262,10:42:00,11.59,stop,-596.25,-1.19
NCI,2026-03-05,14:51:00,8.79,8.72,8.93,5688,14:52:00,8.93,target,796.32,1.59
TVGN,2026-03-06,10:58:00,7.50,7.29,7.90,6671,11:00:00,7.90,target,2668.40,5.34
VELO,2026-03-06,11:10:00,12.61,12.50,12.83,3965,11:14:00,12.83,target,878.64,1.76
NGNE,2026-03-09,09:45:00,22.60,22.41,22.97,2212,09:46:00,22.41,stop,-409.22,-0.82
OPTX,2026-03-09,09:42:00,6.56,6.41,6.87,7623,09:44:00,6.87,target,2347.88,4.70
PHGE,2026-03-12,09:46:00,6.46,6.36,6.65,7740,09:53:00,6.36,stop,-751.55,-1.50
BIAF,2026-03-13,09:43:00,2.12,2.05,2.26,23584,09:44:00,2.26,target,3301.76,6.60
PLYX,2026-03-13,14:33:00,6.80,6.71,6.98,7352,14:34:00,6.98,target,1323.36,2.65
QNTM,2026-03-13,09:57:00,2.58,2.53,2.70,19342,10:10:00,2.53,stop,-1133.44,-2.27
