symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl
ACON,2025-03-03,10:10:00,7.04,6.95,7.26,10000,10:11:00,6.95,stop,-900.00,-1.28,False,,0,0.00
ATLN,2025-03-03,15:00:00,2.64,2.51,2.96,10000,15:01:00,2.96,target,3237.50,12.26,False,,0,0.00
MAXN,2025-03-04,10:51:00,2.95,2.89,3.10,10000,10:56:00,3.10,target,1505.00,5.10,False,,0,0.00
JVA,2025-03-05,10:40:00,6.90,6.71,7.36,10000,11:09:00,7.36,target,4632.50,6.71,False,,0,0.00
SCOR,2025-03-05,10:53:00,7.15,6.99,7.56,10000,11:11:00,6.99,stop,-1625.00,-2.27,False,,0,0.00
SPHL,2025-03-06,14:14:00,3.85,3.83,3.90,10000,14:27:00,3.83,stop,-200.00,-0.52,False,,0,0.00
SVCO,2025-03-06,11:03:00,5.50,5.40,5.75,10000,11:10:00,5.40,stop,-979.00,-1.78,False,,0,0.00
ATLN,2025-03-10,14:43:00,4.89,4.82,5.07,10000,14:44:00,4.82,stop,-710.00,-1.45,False,,0,0.00
DWTX,2025-03-10,10:58:00,7.85,7.77,8.05,10000,10:59:00,7.77,stop,-800.00,-1.02,False,,0,0.00
BDMD,2025-03-11,14:57:00,4.98,4.92,5.14,10000,14:58:00,4.92,stop,-650.00,-1.31,False,,0,0.00
DWTX,2025-03-12,09:49:00,13.78,13.55,14.35,8699,09:50:00,13.55,stop,-1999.90,-1.67,False,,0,0.00
IMDX,2025-03-13,10:07:00,3.78,3.71,3.95,10000,10:08:00,3.71,stop,-700.00,-1.85,False,,0,0.00
CNSP,2025-03-14,10:02:00,3.00,2.93,3.17,10000,10:20:00,2.93,stop,-700.00,-2.33,False,,0,0.00
SINT,2025-03-14,14:09:00,3.50,3.45,3.62,10000,14:11:00,3.45,stop,-500.00,-1.43,False,,0,0.00
THCH,2025-03-18,10:27:00,3.29,3.25,3.39,10000,10:28:00,3.25,stop,-400.00,-1.22,False,,0,0.00
EHLD,2025-03-19,14:32:00,7.07,6.96,7.34,10000,14:46:00,7.34,target,2750.00,3.89,False,,0,0.00
HPAI,2025-03-19,10:01:00,6.10,5.92,6.55,10000,10:06:00,5.92,stop,-1800.00,-2.95,False,,0,0.00
SCOR,2025-03-20,11:04:00,7.28,7.13,7.64,10000,11:08:00,7.13,stop,-1450.00,-1.99,False,,0,0.00
ULY,2025-03-20,14:16:00,5.44,5.41,5.51,10000,14:17:00,5.41,stop,-271.00,-0.50,False,,0,0.00
WKHS,2025-03-20,09:41:00,2.09,2.06,2.16,10000,09:49:00,2.16,target,675.00,3.23,False,,0,0.00
ANNA,2025-03-21,10:04:00,8.80,8.69,9.07,10000,10:06:00,8.69,stop,-1100.00,-1.25,False,,0,0.00
CHCI,2025-03-21,10:41:00,8.37,8.16,8.88,9756,11:22:00,8.16,stop,-1999.98,-2.45,False,,0,0.00
JVA,2025-03-21,09:46:00,4.92,4.80,5.22,10000,09:48:00,4.80,stop,-1200.00,-2.44,False,,0,0.00
BDMD,2025-03-26,10:40:00,6.42,6.34,6.62,10000,10:41:00,6.62,target,2042.50,3.18,False,,0,0.00
EDBL,2025-03-26,10:16:00,3.43,3.35,3.63,10000,10:17:00,3.35,stop,-800.00,-2.33,False,,0,0.00
VVPR,2025-03-27,14:34:00,5.10,4.99,5.37,10000,14:39:00,4.99,stop,-1100.00,-2.16,False,,0,0.00
