symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl
DMRA,2025-01-02,11:12:00,5.21,5.11,5.37,10000,11:14:00,5.44,trail_stop,2332.36,4.48,False,,0,0.00
KORE,2025-01-02,10:38:00,3.20,3.11,3.43,10000,10:39:00,3.10,stop,-1025.30,-3.20,False,,0,0.00
PULM,2025-01-02,10:24:00,7.51,7.39,7.78,10000,10:45:00,7.37,stop,-1396.70,-1.86,False,,0,0.00
RVSN,2025-01-02,10:16:00,2.19,2.11,2.29,10000,10:33:00,2.10,stop,-830.14,-3.80,False,,0,0.00
SPCB,2025-01-02,09:49:00,6.11,5.86,6.73,8185,09:51:00,6.41,trail_stop,2419.93,4.84,False,,0,0.00
TVRD,2025-01-02,10:32:00,5.52,5.31,6.01,10000,12:46:00,5.30,stop,-2210.47,-4.01,False,,0,0.00
WKEY,2025-01-02,09:54:00,9.40,9.13,10.05,7692,11:26:00,10.70,exhaust+trail_stop,8727.80,12.07,True,10.37,3846,3713.74
ATRA,2025-01-03,09:43:00,16.29,15.49,17.90,4645,10:08:00,17.85,trail_stop,7283.53,9.63,False,,0,0.00
BDMD,2025-01-03,10:08:00,6.51,6.24,7.16,7695,10:11:00,7.13,trail_stop,4814.29,9.62,False,,0,0.00
LFWD,2025-01-03,10:54:00,2.46,2.39,2.59,10000,12:28:00,2.67,trail_stop,2070.47,8.41,False,,0,0.00
NVNO,2025-01-03,10:41:00,3.58,3.52,3.68,10000,10:45:00,3.51,stop,-687.51,-1.92,False,,0,0.00
SYNX,2025-01-03,09:42:00,4.62,4.44,5.08,10000,09:50:00,4.80,trail_stop,1755.27,3.80,False,,0,0.00
COEP,2025-01-06,14:19:00,7.25,6.95,7.97,10000,14:34:00,7.88,trail_stop,6322.11,8.72,False,,0,0.00
IDAI,2025-01-06,14:56:00,8.16,8.02,8.37,10000,14:58:00,7.99,stop,-1670.95,-2.05,False,,0,0.00
