Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:12:54,406 [WARNING] trading.trade_planner: LCFY: fixed_risk shares 10869 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:55,157 [WARNING] trading.trade_planner: NCEL: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:55,278 [WARNING] trading.trade_planner: NCEL: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:55,766 [WARNING] trading.trade_planner: PTLE: fixed_risk shares 11764 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:56,324 [WARNING] trading.trade_planner: STFS: fixed_risk shares 26666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:56,736 [WARNING] trading.trade_planner: WKEY: fixed_risk shares 13253 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:56,740 [WARNING] trading.trade_planner: WKEY: fixed_risk shares 50000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:57,089 [WARNING] trading.trade_planner: ANNA: fixed_risk shares 18181 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:57,452 [WARNING] trading.trade_planner: CING: fixed_risk shares 18181 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:57,468 [WARNING] trading.trade_planner: CING: fixed_risk shares 18181 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:59,519 [WARNING] trading.trade_planner: RDCM: fixed_risk shares 13333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:59,523 [WARNING] trading.trade_planner: RDCM: fixed_risk shares 16000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:59,525 [WARNING] trading.trade_planner: RDCM: fixed_risk shares 16000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:59,695 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 12135 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:59,756 [WARNING] trading.trade_planner: STFS: fixed_risk shares 18181 exceeds max_shares 10000, capping (risk budget distorted)
