day,symbol,pb,price,clock_m,sp_mean,sp_med,n_q,err
2026-04-27,GMTL,$10-20,19.939999999999998,570,0.7717857142857161,0.7600000000000016,84,
2026-04-27,GMTL,$10-20,19.939999999999998,571,0.7733333333333346,0.7850000000000019,6,
2026-04-27,GMTL,$10-20,19.939999999999998,575,0.5640000000000007,0.5500000000000007,5,
2026-04-27,GMTL,$10-20,19.939999999999998,577,0.620000000000001,0.620000000000001,2,
2026-04-27,GMTL,$10-20,19.939999999999998,580,0.5599999999999987,0.5599999999999987,2,
2026-04-27,GMTL,$10-20,19.939999999999998,585,0.6839999999999982,0.7099999999999973,5,
2026-04-27,GMTL,$10-20,19.939999999999998,600,0.6371428571428558,0.6499999999999986,7,
2026-04-27,GMTL,$10-20,19.939999999999998,660,0.5400000000000027,0.5400000000000027,2,
2026-04-27,GMTL,$10-20,19.939999999999998,720,0.33999999999999986,0.33999999999999986,2,
2026-04-27,GMTL,$10-20,19.939999999999998,780,0.2699999999999996,0.2699999999999996,2,
2026-04-27,GMTL,$10-20,19.939999999999998,840,0.4916666666666683,0.490000000000002,6,
2026-04-27,GMTL,$10-20,19.939999999999998,900,0.25,0.25,2,
2026-04-27,GMTL,$10-20,19.939999999999998,945,0.379999999999999,0.379999999999999,2,
2026-04-27,GMTL,$10-20,19.939999999999998,955,0.1518750000000002,0.14000000000000057,16,
2026-05-29,ORCU,$10-20,19.994999999999997,570,0.12128491620111723,0.11999999999999744,1074,
2026-05-29,ORCU,$10-20,19.994999999999997,571,0.08885925085130554,0.08000000000000185,1762,
2026-05-29,ORCU,$10-20,19.994999999999997,575,0.046791098348887485,0.04999999999999716,2786,
2026-05-29,ORCU,$10-20,19.994999999999997,577,0.045196268946754756,0.04999999999999716,2573,
2026-05-29,ORCU,$10-20,19.994999999999997,580,0.04365942028985507,0.03999999999999915,3036,
2026-05-29,ORCU,$10-20,19.994999999999997,585,0.04743330638641863,0.04999999999999716,2474,
2026-05-29,ORCU,$10-20,19.994999999999997,600,0.04647966339410976,0.04999999999999716,713,
2026-05-29,ORCU,$10-20,19.994999999999997,660,0.03049346879535539,0.030000000000001137,689,
2026-05-29,ORCU,$10-20,19.994999999999997,720,0.02932631578947307,0.029999999999997584,475,
2026-05-29,ORCU,$10-20,19.994999999999997,780,0.02883333333333203,0.029999999999997584,600,
2026-05-29,ORCU,$10-20,19.994999999999997,840,0.027065972222223227,0.030000000000001137,576,
2026-05-29,ORCU,$10-20,19.994999999999997,900,0.02981004070556275,0.030000000000001137,737,
2026-05-29,ORCU,$10-20,19.994999999999997,945,0.03189427312775353,0.030000000000001137,454,
2026-05-29,ORCU,$10-20,19.994999999999997,955,0.03442152466367613,0.03999999999999915,1115,
2026-04-08,RJET,$10-20,19.95,570,1.6047727272727281,1.5100000000000016,44,
2026-04-08,RJET,$10-20,19.95,571,1.8699999999999992,1.8699999999999992,2,
2026-04-08,RJET,$10-20,19.95,575,0.5688888888888886,0.5700000000000003,9,
2026-04-08,RJET,$10-20,19.95,577,0.8371428571428571,0.870000000000001,7,
2026-04-08,RJET,$10-20,19.95,580,0.24950000000000044,0.2699999999999996,20,
2026-04-08,RJET,$10-20,19.95,585,,,0,
2026-04-08,RJET,$10-20,19.95,600,,,0,
2026-04-08,RJET,$10-20,19.95,660,,,0,
2026-04-08,RJET,$10-20,19.95,720,,,0,
2026-04-08,RJET,$10-20,19.95,780,,,0,
2026-04-08,RJET,$10-20,19.95,840,0.4299999999999997,0.4299999999999997,3,
2026-04-08,RJET,$10-20,19.95,900,,,0,
2026-04-08,RJET,$10-20,19.95,945,0.15636363636363723,0.16000000000000014,11,
2026-04-08,RJET,$10-20,19.95,955,0.08400000000000074,0.08000000000000185,45,
2025-03-11,AVGX,$10-20,19.985,570,0.06279893119572492,0.05999999999999872,1497,
2025-03-11,AVGX,$10-20,19.985,571,0.06592233009708758,0.060000000000002274,1339,
2025-03-11,AVGX,$10-20,19.985,575,0.05662801932367176,0.05999999999999872,1035,
2025-03-11,AVGX,$10-20,19.985,577,0.05906680805938504,0.05999999999999872,943,
2025-03-11,AVGX,$10-20,19.985,580,0.05430208333333332,0.05000000000000071,960,
2025-03-11,AVGX,$10-20,19.985,585,0.051696905016008,0.05000000000000071,937,
