field,side,n,tail_rate,null_p50,null_p95,mean,ex5_H1-25,ex5_H2-25,ex5_VAL,ex5exec_H1-25,ex5exec_H2-25,ex5exec_VAL,above_null,passes
V1_day_ret,top,661124,0.06431319994433722,0.050161417555851316,0.050524101697127344,0.040523266563666706,-0.28910034878747537,-0.14687655037186534,-0.23777985205053134,-0.6571003487874754,-0.5148765503718653,-0.6057798520505313,True,False
V1_day_ret,bot,661124,0.06401068483370745,0.050164655346414,0.050516210199154095,0.036935175632085,-0.26967253758275994,-0.06156624834154769,-0.22973418689478792,-0.6376725375827599,-0.42956624834154766,-0.5977341868947879,True,False
V2_day_range,top,661124,0.09395363048384267,0.05016914363588629,0.05051772779491818,0.04499335309370813,-0.3796828551016282,-0.12460823952576891,-0.2805697162696112,-0.7476828551016281,-0.49260823952576893,-0.6485697162696111,True,False
V2_day_range,bot,661124,0.02291400705465238,0.050173486236165216,0.05052091474602276,0.018839742761978136,-0.16811896190698808,-0.06746324686907514,-0.1393890115816855,-0.536118961906988,-0.4354632468690751,-0.5073890115816855,False,False
V3_close_pos,top,661024,0.047834874376724595,0.050138245119809605,0.0504799366155817,0.012538230375766813,-0.27653681486226483,-0.13039119629172874,-0.21899279030512375,-0.6445368148622648,-0.49839119629172873,-0.5869927903051237,False,False
V3_close_pos,bot,661024,0.0528029239482984,0.050145304529041326,0.05049655681147234,0.050760861247899275,-0.2400048143211001,-0.05313530636076312,-0.2151727408161662,-0.6080048143211001,-0.42113530636076313,-0.5831727408161662,True,False
V4_rv,top,661124,0.06834723894458528,0.050167343008512194,0.05052228058221044,0.04573573222369614,-0.34533444820760323,-0.1660163823299982,-0.2738303269737436,-0.7133344482076032,-0.5340163823299982,-0.6418303269737435,True,False
V4_rv,bot,661124,0.045644992467373746,0.050169428185092055,0.050520838866234555,0.02260266321816208,-0.25233955703414157,-0.06366408042430419,-0.21478333318593512,-0.6203395570341416,-0.43166408042430415,-0.5827833331859351,False,False
V5_dollar_frac,top,239756,0.07187724186256027,0.04981661558504464,0.050428835088481165,0.05585412729549845,-0.3442390237120823,-0.17186992788204797,-0.2735845839383931,-0.7122390237120824,-0.539869927882048,-0.6415845839383931,True,False
V5_dollar_frac,bot,239756,0.047435726321760456,0.04979252858204655,0.050382903384749,0.027945904834270962,-0.2577631787919607,-0.06430575694054791,-0.21306632125552133,-0.6257631787919606,-0.4323057569405479,-0.5810663212555214,False,False
V6_spy_day,top,661124,0.05259225198298655,0.05016410597674739,0.05049959252553734,0.031131650693409132,-0.2770110463329383,-0.09907839800673557,-0.20905919179888544,-0.6450110463329384,-0.46707839800673556,-0.5770591917988854,True,False
V6_spy_day,bot,661124,0.05021145806233021,0.050169460813400985,0.05052531577373861,0.032846330520055124,-0.25473752018531753,-0.09845884672127382,-0.22650718478818696,-0.6227375201853176,-0.4664588467212738,-0.594507184788187,False,False
V7_gap,top,661124,0.06656996266963534,0.05016541110910451,0.05050558702880548,0.04399659480431128,-0.2516153864776671,-0.14491227084158725,-0.2375655977044803,-0.6196153864776671,-0.5129122708415872,-0.6055655977044803,True,False
V7_gap,bot,661124,0.06321658266830428,0.05016727775189434,0.05051317500762592,0.03343951732601842,-0.3104984577655352,-0.07792678662532306,-0.2082641963212569,-0.6784984577655352,-0.44592678662532304,-0.5762641963212569,True,False
V8_hi20_prox,top,661124,0.031528124829835254,0.05016569793470393,0.05052243234178685,0.013804161511869091,-0.20067451952789572,-0.11663905353635586,-0.18397387026799716,-0.5686745195278957,-0.48463905353635583,-0.5519738702679972,False,False
V8_hi20_prox,bot,661124,0.08181067394316346,0.05016572297503403,0.050501034241513226,0.05152872768088403,-0.321673759315835,-0.08018200185459207,-0.24647537618962995,-0.689673759315835,-0.44818200185459206,-0.61447537618963,True,False
