pop,leg,day,symbol,clock_m,px,sp_mean,sp_med,n_q,err
raw,entry,2025-02-20,INSG,589,9.5,0.15606382978723454,0.16999999999999993,94,
raw,entry,2025-02-24,ARQQ,616,14.3,0.12250000000000094,0.11000000000000121,12,
raw,entry,2025-02-24,RIOX,617,16.43,0.07540000000000031,0.0799999999999983,200,
raw,entry,2025-02-24,RPID,631,3.04,0.04999999999999982,0.04999999999999982,1,
raw,entry,2025-02-25,AARD,638,15.64,0.5776301615798926,0.5700000000000003,557,
raw,entry,2025-02-25,AXGN,585,19.94,0.14154761904761928,0.125,168,
raw,entry,2025-02-25,DOGZ,667,26.8,0.643076923076923,0.5899999999999999,13,
raw,entry,2025-02-25,LE,542,13.04,0.7857142857142867,0.8500000000000014,7,
raw,entry,2025-02-25,SMCL,600,28.6,0.12804347826086973,0.120000000000001,1012,
raw,entry,2025-02-26,CSAI,618,8.66,0.10142857142857155,0.10999999999999943,7,
raw,entry,2025-02-26,EHTH,592,8.52,0.16187499999999977,0.16000000000000014,16,
raw,entry,2025-02-27,MEG,580,20.46,0.2799999999999976,0.2799999999999976,5,
raw,entry,2025-02-27,MSW,587,5.09,0.1900000000000004,0.1900000000000004,3,
raw,entry,2025-02-27,NTRP,589,4.42,0.2447058823529415,0.28000000000000025,17,
raw,entry,2025-02-27,PMA,587,5.09,0.1900000000000004,0.1900000000000004,3,
raw,entry,2025-02-27,RIOX,616,13.79,0.06334426229508201,0.0600000000000005,305,
raw,entry,2025-02-27,RRGB,585,6.0,0.031714285714285764,0.03000000000000025,175,
raw,entry,2025-02-28,CORZW,622,5.93,0.05090909090909097,0.04999999999999982,55,
raw,entry,2025-02-28,PCLA,610,5.28,,,0,
raw,entry,2025-02-28,STAK,616,3.52,0.10000000000000009,0.10000000000000009,3,
raw,entry,2025-02-28,TPC,581,25.75,0.23764705882352963,0.19000000000000128,68,
raw,entry,2025-03-04,MAXN,604,3.22,0.061019108280254745,0.06000000000000005,157,
raw,entry,2025-03-05,SCOR,593,7.19,0.19500000000000006,0.19499999999999984,12,
raw,entry,2025-03-07,KLXE,592,5.27,0.039876543209876825,0.040000000000000036,81,
raw,entry,2025-03-07,VSTD,589,14.08,0.40103448275862064,0.41000000000000014,58,
raw,entry,2025-03-10,KAZR,582,10.24,0.22639999999999993,0.1899999999999995,25,
raw,entry,2025-03-10,SKBL,582,10.24,0.22639999999999993,0.1899999999999995,25,
raw,entry,2025-03-11,EWCZ,596,4.13,0.017822299651568427,0.010000000000000675,574,
raw,entry,2025-03-12,BWMN,585,22.59,0.17101265822784797,0.13000000000000078,158,
raw,entry,2025-03-13,IMDX,607,3.8,0.1285714285714287,0.08000000000000007,7,
raw,entry,2025-03-13,OPRX,578,7.33,0.08954545454545439,0.08999999999999986,88,
raw,entry,2025-03-14,FEIM,586,16.3,0.12555555555555545,0.120000000000001,9,
