clock_m,label,n,cov,med,mean,imputed,ratio
570,09:30,210,1.0,0.8150532105368651,1.4394313017302662,0.5784417395999699,1.4090497879709154
571,09:31,207,0.9857142857142858,0.6897092248608733,1.1480166790800546,0.5784417395999699,1.1923572896690549
575,09:35*ORB submit,206,0.9809523809523809,0.5254880216618243,0.86640859806308,0.5784417395999699,0.9084545351537623
577,09:37,206,0.9809523809523809,0.48469993120317784,0.7779509728769727,0.5784417395999699,0.8379407951064862
580,09:40,209,0.9952380952380953,0.4836170806586662,0.7658909440657812,0.5784417395999699,0.8360687819539421
585,09:45,207,0.9857142857142858,0.4541608062590829,0.7054076898501235,0.38325311813031515,1.1850152934819893
600,10:00,208,0.9904761904761905,0.3870918185231992,0.5581218072223125,0.3168469458351389,1.2216996995281437
660,11:00,206,0.9809523809523809,0.2783889591935389,0.4033099215396016,0.28328611898015665,0.9827130259532385
720,12:00,205,0.9761904761904762,0.2590002590002633,0.36844553653841117,0.28328611898015665,0.9142709142709724
780,13:00,201,0.9571428571428572,0.2448235456548152,0.3527898448309564,0.3571110177154584,0.6855670464076455
840,14:00,206,0.9809523809523809,0.2697567836637127,0.3622997569769725,0.3571110177154584,0.7553863372500356
900,15:00,207,0.9857142857142858,0.23312826680234397,0.33837312324850155,0.3571110177154584,0.65281734597194
945,15:45*ORB flat,209,0.9952380952380953,0.1741637720002712,0.3171833025191397,0.3571110177154584,0.48770204043114324
955,15:55*HOD/BF flat,208,0.9904761904761905,0.1724763073407123,0.2852894307140929,0.3571110177154584,0.48297671812001963
