symbol,bar_date
AGRI,2025-01-02
AHT,2025-01-02
ALVOW,2025-01-02
ALZN,2025-01-02
ANNA,2025-01-02
AP,2025-01-02
ARBKL,2025-01-02
ARKR,2025-01-02
ARMP,2025-01-02
ARTL,2025-01-02
ATER,2025-01-02
ATLX,2025-01-02
BACK,2025-01-02
BANL,2025-01-02
BCDA,2025-01-02
BDRX,2025-01-02
BERZ,2025-01-02
BFRI,2025-01-02
BGSF,2025-01-02
BHIL,2025-01-02
BRIA,2025-01-02
BTCM,2025-01-02
BTTR,2025-01-02
BW-A,2025-01-02
BWBBP,2025-01-02
CADE-A,2025-01-02
CARD,2025-01-02
CASI,2025-01-02
CASK,2025-01-02
CELU,2025-01-02
CELZ,2025-01-02
CHCI,2025-01-02
CIFRW,2025-01-02
CJJD,2025-01-02
CLNN,2025-01-02
CNBS,2025-01-02
CNCKW,2025-01-02
CNET,2025-01-02
CPAC,2025-01-02
CRESW,2025-01-02
CREV,2025-01-02
CREX,2025-01-02
CSCI,2025-01-02
CTEC,2025-01-02
CTHR,2025-01-02
CVV,2025-01-02
CYCCP,2025-01-02
CYD,2025-01-02
DARE,2025-01-02
DRMA,2025-01-02
DTSS,2025-01-02
DWSN,2025-01-02
EDRY,2025-01-02
ENFY,2025-01-02
EOSEW,2025-01-02
EP,2025-01-02
EQS,2025-01-02
EVAV,2025-01-02
EXTO,2025-01-02
EZFL,2025-01-02
FPAY,2025-01-02
FUSB,2025-01-02
GCMGW,2025-01-02
GDC,2025-01-02
GLTO,2025-01-02
GNLN,2025-01-02
GNLX,2025-01-02
GNTA,2025-01-02
GRCE,2025-01-02
GRNQ,2025-01-02
GSUN,2025-01-02
HPAI,2025-01-02
HPKEW,2025-01-02
HWM-,2025-01-02
HYZN,2025-01-02
ICAD,2025-01-02
IDN,2025-01-02
IFBD,2025-01-02
IMRN,2025-01-02
INHD,2025-01-02
IONQ+,2025-01-02
IPXXU,2025-01-02
IRS+,2025-01-02
ISPC,2025-01-02
JFIN,2025-01-02
JNVR,2025-01-02
JXG,2025-01-02
KDLY,2025-01-02
KPRX,2025-01-02
LATG,2025-01-02
