,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.07,0.04,-0.05,-0.12,0.28,0.47,0.36,0.18,0.41,-0.02,-0.02,-0.01,0.06,0.02,-0.01,0.03,-0.02,-0.1,-0.0,-0.03,-0.05,-0.02,0.04
range_size_pct,-0.07,1.0,0.23,0.92,-0.26,0.09,0.0,0.12,0.01,-0.1,0.16,0.43,0.02,-0.01,0.41,0.16,0.16,0.37,-0.11,0.11,-0.12,0.0,0.03,0.07
range_total_volume,0.04,0.23,1.0,0.29,-0.26,0.11,0.07,0.06,0.05,0.03,-0.04,0.14,0.08,0.44,0.12,-0.03,0.02,0.15,-0.02,0.04,-0.11,-0.04,-0.03,0.06
range_avg_bar_range_pct,-0.05,0.92,0.29,1.0,-0.3,0.07,-0.02,0.04,0.0,-0.13,0.12,0.49,0.04,0.01,0.46,0.12,0.17,0.43,-0.11,0.12,-0.13,-0.02,0.02,0.08
range_volume_stddev_pct,-0.12,-0.26,-0.26,-0.3,1.0,-0.17,-0.15,-0.16,-0.06,-0.09,-0.02,-0.16,-0.0,-0.17,-0.21,-0.01,-0.08,-0.11,0.07,-0.07,0.18,0.02,-0.02,-0.05
bars_green_in_range,0.28,0.09,0.11,0.07,-0.17,1.0,0.59,0.58,0.39,0.5,0.01,-0.02,-0.04,0.02,-0.0,0.01,0.01,-0.0,-0.01,-0.05,0.01,-0.11,0.05,0.06
range_close_position,0.47,0.0,0.07,-0.02,-0.15,0.59,1.0,0.67,0.46,0.78,-0.0,-0.04,-0.0,0.04,-0.05,0.01,-0.01,-0.03,-0.07,0.0,-0.09,-0.1,0.0,-0.02
range_return_pct,0.36,0.12,0.06,0.04,-0.16,0.58,0.67,1.0,0.25,0.79,-0.02,-0.03,-0.01,-0.01,-0.05,-0.01,0.02,-0.02,-0.03,-0.03,-0.02,-0.07,0.02,0.0
last_bar_green,0.18,0.01,0.05,0.0,-0.06,0.39,0.46,0.25,1.0,0.4,0.0,-0.01,0.0,0.04,0.0,0.0,0.01,-0.02,-0.02,0.05,-0.12,-0.03,0.05,-0.02
range_vwap_distance_pct,0.41,-0.1,0.03,-0.13,-0.09,0.5,0.78,0.79,0.4,1.0,0.01,-0.1,-0.01,0.02,-0.08,0.01,-0.01,-0.08,-0.05,-0.01,-0.03,-0.07,0.01,-0.01
gap_pct,-0.02,0.16,-0.04,0.12,-0.02,0.01,-0.0,-0.02,0.0,0.01,1.0,0.08,-0.04,0.11,0.08,0.91,-0.01,0.03,-0.05,0.0,-0.0,-0.04,-0.01,-0.0
prev_day_range_pct,-0.02,0.43,0.14,0.49,-0.16,-0.02,-0.04,-0.03,-0.01,-0.1,0.08,1.0,-0.08,0.05,0.56,0.06,0.15,0.49,-0.07,0.1,-0.1,-0.01,-0.01,0.1
prev_day_close_position,-0.01,0.02,0.08,0.04,-0.0,-0.04,-0.0,-0.01,0.0,-0.01,-0.04,-0.08,1.0,0.0,-0.04,-0.02,-0.01,0.05,0.01,-0.06,-0.03,-0.03,-0.11,-0.09
avg_daily_volume_20d,0.06,-0.01,0.44,0.01,-0.17,0.02,0.04,-0.01,0.04,0.02,0.11,0.05,0.0,1.0,0.21,0.08,0.16,-0.07,0.02,-0.0,-0.08,0.01,-0.04,0.05
avg_daily_range_pct_20d,0.02,0.41,0.12,0.46,-0.21,-0.0,-0.05,-0.05,0.0,-0.08,0.08,0.56,-0.04,0.21,1.0,0.04,0.21,0.16,-0.11,0.1,-0.11,-0.02,-0.01,0.16
