date,symbol,pnl_R
2025-02-25,MSTR,0.4137397772443263
2025-02-28,MSTR,0.0122724914253913
2025-03-04,MSTR,-1.7775043508899802
2025-03-05,MSTR,1.301854398117963
2025-03-10,MSTR,-0.8338062308482996
2025-03-11,MSTR,0.4646553145342791
2025-03-14,MSTR,0.5380701228763995
2025-03-28,MSTR,0.6560384971990796
2025-04-07,MSTR,0.9020392816764256
2025-04-08,MSTR,2.752662948651646
2025-04-09,MSTR,1.3000641165238247
2025-04-10,MSTR,0.4366645047511275
2025-04-11,MSTR,-0.0315625997572677
2025-11-19,MSTR,-0.3282064166416631
2026-01-29,MSTR,-1.1368705731397255
2026-02-05,MSTR,1.120353424571019
2026-02-06,MSTR,0.8385149503594591
2026-04-17,MSTR,0.5059283965881511
2025-04-09,TSLA,2.174838196466456
