symbol,date,has_bars,underlying,daily_close,r,prior_close,close_1500,entry_open,entry_low,entry_high,qualifies,side,sho_gate,F,eff_entry,stopped_2pct,stop_exit,moc_close,split,pnl_frac_moc,pnl_R_moc
KEYS,2025-04-09,True,KEYS,142.5,0.08541731791184737,127.96,138.89,138.89,138.89,139.49,True,1.0,True,,139.05189592488088,False,,142.5,TRAIN,0.02479724603670186,1.239862301835093
ASYS,2025-08-18,True,ASYS,5.88,0.1530108588351431,5.065,5.84,5.7916,5.7916,5.7916,True,1.0,True,,5.798350928350063,False,,5.88,TRAIN,0.014081429816661828,0.7040714908330914
ASYS,2025-08-19,True,ASYS,5.4,-0.07823129251700678,5.88,5.42,5.41,5.41,5.42,True,-1.0,True,,5.403693880382996,True,5.511767757990657,5.4,TRAIN,0.0006835843156115518,0.03417921578057759
ASYS,2025-08-21,True,ASYS,5.44,-0.06538461538461526,5.85,5.4675,5.475,5.475,5.475,True,-1.0,True,,5.4686181136962855,True,5.5779904759702115,5.44,TRAIN,0.005233152709019917,0.26165763545099585
ASYS,2025-08-22,True,ASYS,6.02,0.11397058823529393,5.44,6.06,6.0084,6.0084,6.0084,True,1.0,True,,6.015403639391276,True,5.89509556660345,6.02,TRAIN,0.0007640984519516891,0.038204922597584456
ASYS,2025-09-04,True,ASYS,6.41,0.09584482758620694,5.8,6.3559,6.39,6.34,6.39,True,1.0,True,,6.397448448124335,False,,6.41,TRAIN,0.0019619621756148398,0.09809810878074199
ASYS,2025-09-08,True,ASYS,7.93,0.18457943925233655,6.42,7.605,7.61,7.61,7.61,True,1.0,True,,7.618870530551829,False,,7.93,TRAIN,0.040836692026795074,2.0418346013397537
ASYS,2025-09-11,True,ASYS,8.8,0.07329615861214367,8.07,8.6615,8.6501,8.65,8.6501,True,1.0,True,,8.660182914103336,False,,8.8,TRAIN,0.016144819027894775,0.8072409513947387
ASYS,2025-09-17,True,ASYS,8.74,-0.07229032258064516,9.3,8.6277,8.675,8.58,8.675,True,-1.0,True,,8.66488806142745,True,8.838185822655998,8.74,TRAIN,-0.008668541132910823,-0.43342705664554115
ASYS,2025-09-18,True,ASYS,9.5,0.07551487414187652,8.74,9.4,9.38,9.38,9.38,True,1.0,True,,9.39093371571303,False,,9.5,TRAIN,0.011613997882284899,0.5806998941142449
ASYS,2025-09-23,True,ASYS,9.65,0.0957446808510638,8.93,9.785,9.79,9.76,9.79,True,1.0,True,,9.801411628659974,True,9.605383396086774,9.65,TRAIN,-0.015447941010582222,-0.7723970505291111
ASYS,2025-10-02,True,ASYS,8.9,-0.07663223140495867,9.68,8.9382,8.89,8.89,8.89,True,-1.0,True,,8.879637448540636,True,9.05723019751145,8.9,TRAIN,-0.002293173744690513,-0.11465868723452566
ASYS,2025-10-06,True,ASYS,10.44,0.13631406761177756,9.17,10.42,10.425,10.42,10.44,True,1.0,True,,10.437151810907073,False,,10.44,TRAIN,0.00027288949557569,0.013644474778784499
ASYS,2025-10-13,True,ASYS,9.285,0.05028248587570627,8.85,9.295,9.27,9.245,9.27,True,1.0,True,,9.28080549516629,False,,9.285,TRAIN,0.0004519548261081585,0.022597741305407926
ASYS,2026-04-10,True,ASYS,14.75,0.06267908309455583,13.96,14.835,14.89,14.865,14.89,True,1.0,True,,14.907356399463435,False,,14.75,VAL,-0.010555620677929145,-0.5277810338964573
ASYS,2026-04-13,True,ASYS,16.66,0.13423728813559332,14.75,16.73,16.71,16.55,16.74,True,1.0,True,,16.729477866691337,True,16.39488830935751,16.66,VAL,-0.004153020628914428,-0.2076510314457214
ASYS,2026-04-22,True,ASYS,18.0,0.08353361094586575,16.81,18.2142,18.22,18.21,18.28,True,1.0,True,,18.241237985105695,True,17.87641322540358,18.0,VAL,-0.013224869129094707,-0.6612434564547354
