symbol,bar_date
ACB,2025-02-13
ACB,2025-02-14
ACB,2025-02-18
ACB,2025-02-19
ACB,2025-02-21
ACB,2025-02-24
ACB,2025-02-25
ACB,2025-02-27
ACB,2025-05-22
ACB,2025-06-06
ACB,2025-06-11
ACB,2025-06-13
ACB,2025-06-16
ACB,2025-08-12
ACB,2025-08-13
ACB,2025-08-15
ACB,2025-08-19
ACB,2025-08-28
ACB,2025-08-29
ACB,2025-09-02
ACB,2025-09-03
ACB,2025-09-23
ACB,2025-09-25
ACB,2025-09-30
ACB,2025-10-16
ALAR,2025-01-02
ALAR,2025-01-06
ALAR,2025-01-10
ALAR,2025-01-27
ALAR,2025-01-28
ALAR,2025-01-29
ALAR,2025-01-30
ALAR,2025-01-31
ALAR,2025-02-06
ALAR,2025-02-11
ALAR,2025-02-14
ALAR,2025-02-18
ALAR,2025-02-19
ALAR,2025-02-21
ALAR,2025-02-24
ALAR,2025-02-25
ALAR,2025-03-12
ALAR,2025-03-18
ALAR,2025-03-28
ALAR,2025-03-31
ALAR,2025-04-11
ALAR,2025-04-22
ALAR,2025-04-23
ALAR,2025-04-28
ALAR,2025-04-29
ALAR,2025-05-08
ALAR,2025-05-13
ALAR,2025-05-20
ALAR,2025-05-27
ALAR,2025-05-30
ALAR,2025-06-02
ALAR,2025-06-03
ALAR,2025-06-17
ALAR,2025-06-25
ALAR,2025-06-30
ALAR,2025-07-01
ALAR,2025-07-03
ALAR,2025-07-07
ALAR,2025-07-08
ALAR,2025-07-10
ALAR,2025-07-16
ALAR,2025-07-22
ALAR,2025-07-23
ALAR,2025-07-31
ALAR,2025-08-04
ALAR,2025-08-06
ALAR,2025-08-07
ALAR,2025-08-08
ALAR,2025-08-11
ALAR,2025-08-14
ALAR,2025-08-19
ALAR,2025-09-08
ALAR,2025-09-09
ALAR,2025-09-10
ALAR,2025-09-12
ALAR,2025-09-18
ALAR,2025-09-25
ALAR,2025-10-03
ALAR,2025-10-10
ALAR,2025-10-13
ALAR,2025-10-15
ALAR,2025-10-16
ALAR,2025-10-17
ALAR,2025-10-22
ALAR,2025-10-31
ALAR,2025-11-04
ALAR,2025-11-06
ALAR,2025-11-07
ALAR,2025-11-11
ALAR,2025-11-13
ALAR,2025-11-17
ALAR,2025-11-18
ALAR,2025-11-20
ALAR,2025-11-28
ALAR,2025-12-08
ALAR,2026-01-07
ALAR,2026-01-09
ALAR,2026-01-12
ALAR,2026-01-16
ALAR,2026-01-20
ALAR,2026-01-21
ALAR,2026-01-29
ALAR,2026-02-03
ALAR,2026-02-04
ALAR,2026-02-12
ALAR,2026-02-13
ALAR,2026-02-20
ALAR,2026-03-06
ALAR,2026-03-16
ALAR,2026-03-17
ALAR,2026-03-25
ALAR,2026-04-01
ALAR,2026-04-02
ALAR,2026-04-13
ALAR,2026-04-17
ALAR,2026-04-20
ALAR,2026-04-24
ALAR,2026-05-08
ALAR,2026-05-11
ALAR,2026-05-12
ALAR,2026-05-18
ALMS,2025-01-02
ALMS,2025-01-08
ALMS,2025-01-13
ALMS,2025-01-14
ALMS,2025-01-23
ALMS,2025-01-27
ALMS,2025-01-28
ALMS,2025-03-07
ALMS,2025-03-13
ALMS,2025-04-16
ALMS,2025-04-21
ALMS,2025-11-11
ALMS,2025-11-12
ALMS,2025-11-24
ALMS,2025-11-26
ALMS,2025-12-08
ALMS,2025-12-10
ALMS,2025-12-11
ALMS,2025-12-26
ALMS,2025-12-30
ALMS,2026-01-08
ALMS,2026-02-04
ALMS,2026-02-06
ALMS,2026-02-25
ALMS,2026-03-03
ALMS,2026-03-05
ALMS,2026-03-09
ALMS,2026-03-10
ALMS,2026-03-11
ALMS,2026-03-12
ALMS,2026-03-16
ALMS,2026-03-24
ALMS,2026-03-25
ALMS,2026-03-26
ALMS,2026-04-06
ALMS,2026-04-08
ALMS,2026-04-14
ALMS,2026-04-15
ALMS,2026-04-16
ALMS,2026-04-21
ALMS,2026-04-23
ALMS,2026-04-30
ALMS,2026-05-04
ALMS,2026-05-07
ALMS,2026-05-11
ALMS,2026-05-14
ALMS,2026-05-27
AMTB,2025-01-10
AMTB,2025-01-15
AMTB,2025-01-23
AMTB,2025-04-03
AMTB,2025-04-10
AMTB,2025-04-22
AMTB,2025-05-29
AMTB,2025-07-24
AMTB,2025-08-22
AMTB,2025-10-16
AMTB,2025-10-22
AMTB,2025-10-24
AMTB,2026-01-05
AMTB,2026-01-21
AMTB,2026-01-23
AMTB,2026-02-23
AMTB,2026-02-27
AMTB,2026-04-24
BBWI,2025-02-21
BBWI,2025-02-24
BBWI,2025-02-27
BBWI,2025-03-04
BBWI,2025-03-07
BBWI,2025-03-10
BBWI,2025-03-24
BBWI,2025-04-03
BBWI,2025-04-10
BBWI,2025-04-11
BBWI,2025-04-14
BBWI,2025-04-22
BBWI,2025-04-23
BBWI,2025-04-28
BBWI,2025-05-21
BBWI,2025-06-02
BBWI,2025-06-17
BBWI,2025-07-01
BBWI,2025-07-24
BBWI,2025-08-18
BBWI,2025-08-22
BBWI,2025-08-28
BBWI,2025-09-04
BBWI,2025-09-05
BBWI,2025-09-08
BBWI,2025-09-19
BBWI,2025-09-25
BBWI,2025-11-20
BBWI,2025-11-21
BBWI,2025-11-26
BBWI,2026-01-08
BBWI,2026-01-20
BBWI,2026-01-30
BBWI,2026-02-06
BBWI,2026-02-12
BBWI,2026-02-13
BBWI,2026-02-23
BBWI,2026-03-04
BBWI,2026-03-06
BBWI,2026-03-10
BBWI,2026-03-12
BBWI,2026-03-13
BBWI,2026-03-16
BBWI,2026-03-20
BBWI,2026-03-23
BBWI,2026-04-02
BBWI,2026-04-08
BBWI,2026-04-20
BBWI,2026-04-27
BBWI,2026-04-29
BBWI,2026-04-30
BBWI,2026-05-13
BBWI,2026-05-18
BBWI,2026-05-28
CAAP,2025-01-02
CAAP,2025-01-21
CAAP,2025-03-04
CAAP,2025-03-10
CAAP,2025-03-17
CAAP,2025-03-19
CAAP,2025-03-25
CAAP,2025-04-10
CAAP,2025-04-11
CAAP,2025-04-14
CAAP,2025-05-23
CAAP,2025-08-25
CAAP,2025-08-28
CAAP,2025-09-08
CAAP,2025-09-10
CAAP,2025-09-22
CAAP,2025-09-24
CAAP,2025-11-28
CAAP,2026-01-16
CAAP,2026-01-21
CAAP,2026-02-12
CAAP,2026-03-03
CAAP,2026-03-25
CAAP,2026-03-31
CAAP,2026-04-08
CAAP,2026-05-06
CAAP,2026-05-13
CSBR,2025-01-10
CSBR,2025-01-13
CSBR,2025-01-14
CSBR,2025-01-15
CSBR,2025-01-16
CSBR,2025-01-23
CSBR,2025-02-13
CSBR,2025-02-18
CSBR,2025-02-27
CSBR,2025-03-06
CSBR,2025-03-13
CSBR,2025-03-18
CSBR,2025-03-19
CSBR,2025-03-21
CSBR,2025-03-25
CSBR,2025-03-26
CSBR,2025-04-03
CSBR,2025-04-10
CSBR,2025-04-14
CSBR,2025-04-15
CSBR,2025-04-21
CSBR,2025-04-29
CSBR,2025-05-09
CSBR,2025-05-12
CSBR,2025-05-13
CSBR,2025-05-14
CSBR,2025-05-29
CSBR,2025-05-30
CSBR,2025-06-04
CSBR,2025-06-06
CSBR,2025-06-17
CSBR,2025-06-23
CSBR,2025-06-30
CSBR,2025-07-01
CSBR,2025-07-02
CSBR,2025-07-18
CSBR,2025-07-25
CSBR,2025-07-31
CSBR,2025-08-01
CSBR,2025-08-04
CSBR,2025-08-05
CSBR,2025-08-07
CSBR,2025-08-08
CSBR,2025-08-13
CSBR,2025-08-20
CSBR,2025-08-25
CSBR,2025-08-26
CSBR,2025-09-02
CSBR,2025-09-18
CSBR,2025-09-22
CSBR,2025-10-08
CSBR,2025-12-01
CSBR,2025-12-08
CSBR,2025-12-19
CSBR,2025-12-22
CSBR,2025-12-30
CSBR,2025-12-31
CSBR,2026-01-30
CSBR,2026-04-09
CSBR,2026-04-15
CSBR,2026-04-16
CSBR,2026-05-06
CSBR,2026-05-08
CSBR,2026-05-14
CVBF,2025-01-10
CVBF,2025-04-03
CVBF,2025-04-10
CVBF,2025-05-12
CVBF,2025-07-24
CVBF,2025-08-22
CVBF,2025-10-16
CVBF,2025-12-18
CVBF,2026-01-21
CVBF,2026-02-23
CVBF,2026-03-23
CVBF,2026-04-17
DRI,2025-03-20
DRI,2025-03-24
DRI,2025-04-03
DRI,2025-04-04
DRI,2025-04-07
DRI,2025-04-09
DRI,2025-06-23
DRI,2025-09-18
DRI,2026-01-26
EGHA,2025-10-07
EGHA,2026-05-14
ELA,2025-01-24
ELA,2025-01-27
ELA,2025-01-29
ELA,2025-02-06
ELA,2025-02-25
ELA,2025-03-10
ELA,2025-03-21
ELA,2025-03-24
ELA,2025-03-26
ELA,2025-03-27
ELA,2025-03-31
ELA,2025-04-03
ELA,2025-04-11
ELA,2025-04-15
ELA,2025-04-17
ELA,2025-04-22
ELA,2025-04-23
ELA,2025-04-30
ELA,2025-05-02
ELA,2025-05-08
ELA,2025-05-09
ELA,2025-05-13
ELA,2025-05-14
ELA,2025-06-18
ELA,2025-06-26
ELA,2025-06-30
ELA,2025-07-14
ELA,2025-07-15
ELA,2025-07-18
ELA,2025-07-22
ELA,2025-08-06
ELA,2025-08-07
ELA,2025-08-13
ELA,2025-08-18
ELA,2025-08-22
ELA,2025-08-25
ELA,2025-09-10
ELA,2025-09-15
ELA,2025-09-22
ELA,2025-09-25
ELA,2025-09-26
ELA,2025-10-03
ELA,2025-10-09
ELA,2025-10-28
ELA,2025-10-30
ELA,2025-11-13
ELA,2025-11-17
ELA,2025-11-20
ELA,2025-11-25
ELA,2025-12-03
ELA,2025-12-04
ELA,2025-12-08
ELA,2025-12-23
ELA,2026-01-16
ELA,2026-01-23
ELA,2026-02-09
ELA,2026-03-11
ELA,2026-04-01
ELA,2026-04-09
ELA,2026-04-17
ELA,2026-04-20
ELA,2026-04-23
ELA,2026-05-04
ELA,2026-05-18
ELA,2026-05-19
ELA,2026-05-20
ELA,2026-05-27
EMPG,2025-08-13
EMPG,2025-09-05
EMPG,2025-09-12
EMPG,2025-10-07
ENS,2025-04-03
ENS,2025-04-04
ENS,2025-04-07
ENS,2025-04-10
ENS,2025-05-12
ENS,2025-05-27
ENS,2025-06-03
ENS,2025-10-13
ENS,2025-11-06
ENS,2026-02-06
ENS,2026-03-03
ENS,2026-03-23
ENS,2026-04-08
ENS,2026-05-18
ENS,2026-05-21
ENSC,2025-01-06
ENSC,2025-01-07
ENSC,2025-01-08
ENSC,2025-01-14
ENSC,2025-01-15
ENSC,2025-01-27
ENSC,2025-02-03
ENSC,2025-02-07
ENSC,2025-02-10
ENSC,2025-02-11
ENSC,2025-02-12
ENSC,2025-02-21
ENSC,2025-02-24
ENSC,2025-02-25
ENSC,2025-02-28
ENSC,2025-03-03
ENSC,2025-03-04
ENSC,2025-03-05
ENSC,2025-03-06
ENSC,2025-03-10
ENVA,2025-03-04
ENVA,2025-03-07
ENVA,2025-03-10
ENVA,2025-03-14
ENVA,2025-04-03
ENVA,2025-04-04
ENVA,2025-04-08
ENVA,2025-04-10
ENVA,2025-04-11
ENVA,2025-04-23
ENVA,2025-04-30
ENVA,2025-05-12
ENVA,2025-06-27
ENVA,2025-07-24
ENVA,2025-07-25
ENVA,2025-08-22
ENVA,2025-09-17
ENVA,2025-09-30
ENVA,2025-10-24
ENVA,2025-11-14
ENVA,2026-02-03
ENVA,2026-02-23
ENVA,2026-02-25
ENVA,2026-02-27
ENVA,2026-03-06
ENVA,2026-04-08
ENVA,2026-04-17
ENVA,2026-05-04
FCAP,2025-01-24
FCAP,2025-02-04
FCAP,2025-02-05
FCAP,2025-04-23
FCAP,2025-04-24
FCAP,2025-04-30
FCAP,2025-05-01
