symbol,date,has_bars,underlying,daily_close,r,prior_close,close_1500,entry_open,entry_low,entry_high,qualifies,side,sho_gate,F,eff_entry,stopped_2pct,stop_exit,moc_close,split,pnl_frac_moc,pnl_frac_stop,pnl_R_moc,pnl_R_stop
MSTR,2025-02-25,True,MSTR,250.51,-0.10535436412505306,282.76,252.97,252.895,252.68,253.3174,True,-1.0,True,0.05075418963087785,252.6002151348351,True,257.6522194375318,250.51,TRAIN,0.008274795544886526,-0.020000000000000018,0.4137397772443263,-1.0000000000000009
MSTR,2025-02-28,True,MSTR,255.43,0.06334097063111854,240.05,255.255,255.07,254.5401,255.29,True,1.0,True,0.031122780203563374,255.36732013506636,False,,255.43,TRAIN,0.0002454498285078266,0.0002454498285078266,0.01227249142539133,0.01227249142539133
MSTR,2025-03-04,True,MSTR,275.15,0.13514586322333821,250.92,284.8308,284.96,284.75,285.82,True,1.0,True,0.06854201171298972,285.29216115454,True,279.5863179314492,275.15,TRAIN,-0.0355500870177996,-0.02000000000000013,-1.7775043508899802,-1.0000000000000064
MSTR,2025-03-05,True,MSTR,308.55,0.09165909503906966,275.15,300.37,300.37,300.25,301.1,True,1.0,True,0.04660495462116957,300.7201236874971,False,,308.55,TRAIN,0.026037087962359262,0.026037087962359262,1.301854398117963,1.301854398117963
MSTR,2025-03-10,True,MSTR,239.27,-0.179225921025141,287.18,235.7099,235.62,235.3,236.499,True,-1.0,True,0.09415853112665484,235.34535158888016,True,240.05225862065777,239.27,TRAIN,-0.016676124616965993,-0.020000000000000018,-0.8338062308482996,-1.0000000000000009
MSTR,2025-03-11,True,MSTR,260.59,0.07824089940234868,239.27,257.9907,257.89,256.16,257.9884,True,1.0,True,0.04208780844255657,258.1906072436283,False,,260.59,TRAIN,0.009293106290685582,0.009293106290685582,0.4646553145342791,0.4646553145342791
MSTR,2025-03-14,True,MSTR,297.49,0.11714654713970996,263.26,294.1,293.98,293.3251,294.192,True,1.0,True,0.06570426506184186,294.3226752393728,False,,297.49,TRAIN,0.010761402457527991,0.010761402457527991,0.5380701228763995,0.5380701228763995
MSTR,2025-03-28,True,MSTR,289.41,-0.09547429064358104,324.59,293.6,293.6,293.26,294.0865,True,-1.0,True,0.05273550546147841,293.2577677043342,False,,289.41,TRAIN,0.013120769943981592,0.013120769943981592,0.6560384971990796,0.6560384971990796
MSTR,2025-04-07,True,MSTR,268.14,-0.06924151084772334,293.61,273.28,273.385,272.1141,274.1178,True,-1.0,True,0.03812492097122182,273.0663311439012,False,,268.14,TRAIN,0.01804078563352851,0.01804078563352851,0.9020392816764256,0.9020392816764256
MSTR,2025-04-08,True,MSTR,237.95,-0.05722831356753921,268.14,252.7948,252.107,252.08,252.51,True,-1.0,True,0.030846287177928665,251.8131336602063,False,,237.95,TRAIN,0.055053258973032926,0.055053258973032926,2.752662948651646,2.752662948651646
MSTR,2025-04-09,True,MSTR,296.86,0.21437276738810662,237.95,288.96,289.0,288.65,291.3046,True,1.0,True,0.11457721860072427,289.3368703455294,False,,296.86,TRAIN,0.026001282330476494,0.026001282330476494,1.3000641165238247,1.3000641165238247
MSTR,2025-04-10,True,MSTR,272.34,-0.07314895910530228,296.86,275.145,275.06,275.0,275.7,True,-1.0,True,0.037691427569078055,274.73937869466675,False,,272.34,TRAIN,0.00873329009502255,0.00873329009502255,0.4366645047511275,0.4366645047511275
MSTR,2025-04-11,True,MSTR,299.98,0.10062054784460606,272.34,299.743,299.82,299.15,299.9518,True,1.0,True,0.051475660702247523,300.1694825847634,False,,299.98,TRAIN,-0.0006312519951453543,-0.0006312519951453543,-0.03156259975726772,-0.03156259975726772
MSTR,2025-11-19,True,MSTR,186.5,-0.1032882011605416,206.8,185.44,185.5,185.205,185.5999,True,-1.0,True,0.04408873631968248,185.2837735325408,False,,186.5,TRAIN,-0.006564128332833263,-0.006564128332833263,-0.32820641664166317,-0.32820641664166317
MSTR,2026-01-29,True,MSTR,143.19,-0.11543073524771219,158.45,140.16,140.17,140.05,140.29,True,-1.0,True,0.04214149068647972,140.00661205421156,True,142.8067442952958,143.19,VAL,-0.02273741146279451,-0.020000000000000018,-1.1368705731397255,-1.0000000000000009
MSTR,2026-02-05,True,MSTR,106.99,-0.15136726314974058,129.09,109.55,109.57,109.56,109.89,True,-1.0,True,0.06186653557272951,109.44228067903232,False,,106.99,VAL,0.02240706849142038,0.02240706849142038,1.120353424571019,1.120353424571019
MSTR,2026-02-06,True,MSTR,134.93,0.23894756519300886,106.99,132.555,132.55,132.3101,132.88,True,1.0,True,0.10016378932927779,132.70450575882327,False,,134.93,VAL,0.016770299007189182,0.016770299007189182,0.8385149503594591,0.8385149503594591
MSTR,2026-04-17,True,MSTR,166.52,0.105478716261582,148.94,164.65,164.66,164.51,164.9,True,1.0,True,0.040579651665159894,164.85193450205838,False,,166.52,VAL,0.010118567931763023,0.010118567931763023,0.5059283965881511,0.5059283965881511
TSLA,2025-04-09,True,TSLA,272.2,0.1745244748940773,221.86,260.58,260.55,260.3,261.67,True,1.0,True,0.03662997551154461,260.8537078495768,False,,272.2,TRAIN,0.04349676392932911,0.04349676392932911,2.1748381964664554,2.1748381964664554
