day,symbol,entry_m,exit_m,entry,stop,target,exit_price,why,R,raw_rr,cost_R,net_R,split,half,wk
2025-01-10,BG,727,955,81.725,80.44,84.29499999999999,81.21,eod,1.2849999999999966,-0.40077821011673304,0.15049738446493055,-0.5512755945816636,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,BLBD,593,955,41.48,40.7,43.039999999999985,41.45,eod,0.779999999999994,-0.0384615384615311,0.9413824457593751,-0.9798439842209062,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,FTAI,622,835,176.74,174.42,181.38000000000005,181.38000000000005,target,2.3200000000000216,2.0,0.32732835249041814,1.6726716475095817,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,IONQ,788,795,33.763,33.36,34.568999999999996,33.36,stop,0.4029999999999987,-1.0,0.0882164351777261,-1.0882164351777261,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,IRTC,788,839,95.225,94.2,97.27499999999998,97.27499999999998,target,1.0249999999999915,2.0,0.4319127086007771,1.568087291399223,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,LFVN,637,955,22.2,21.745,23.109999999999996,22.42,eod,0.4549999999999983,0.4835164835164906,,,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,FBL,790,907,37.39,36.925,38.32000000000001,36.925,stop,0.4650000000000034,-1.0,0.11722959210876882,-1.1172295921087687,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,METU,791,863,37.76,37.35,38.57999999999999,37.35,stop,0.4099999999999966,-1.0,0.11784665595080074,-1.1178466559508007,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,MSTZ,612,621,20.0088,19.5129,21.000600000000006,19.5129,stop,0.49590000000000245,-1.0,0.05988980409440482,-1.059889804094405,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,OS,679,761,27.58,27.21,28.319999999999993,28.319999999999993,target,0.36999999999999744,2.0,0.32461776061776526,1.6753822393822349,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,PSMT,580,955,88.02,86.4,91.25999999999998,89.94,eod,1.6199999999999903,1.1851851851851933,0.8491308641975354,0.336054320987658,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,QMCO,635,651,33.285,32.2,35.454999999999984,32.2,stop,1.0849999999999937,-1.0,0.3655930217248223,-1.3655930217248222,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,SMCX,631,661,45.65,44.35,48.24999999999999,44.35,stop,1.2999999999999972,-1.0,0.1210781431978262,-1.1210781431978263,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,SMCI,637,643,34.0216,33.36,35.3448,33.36,stop,0.6616,-1.0,0.04565077178600499,-1.045650771786005,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,TWFG,840,953,28.365,27.985,29.124999999999996,28.92,eod,0.379999999999999,1.460526315789486,,,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,VFC,625,685,22.305,22.065,22.784999999999997,22.784999999999997,target,0.23999999999999844,2.0,0.0846078282828243,1.9153921717171758,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,UVXY,607,623,23.42,23.065,24.130000000000003,23.065,stop,0.3550000000000004,-1.0,0.06274009677477373,-1.0627400967747738,TRAIN,H1,2025-01-04/2025-01-10
2025-01-10,MEG,621,955,22.19,21.31,23.950000000000006,21.67,eod,0.8800000000000026,-0.5909090909090887,0.29060059288537593,-0.8815096837944647,TRAIN,H1,2025-01-04/2025-01-10
2025-01-13,ACHC,615,697,46.69,46.125,47.81999999999999,46.125,stop,0.5649999999999977,-1.0,0.24170442477875886,-1.2417044247787588,TRAIN,H1,2025-01-11/2025-01-17
