day,symbol,break_m,n_upd,ofi_5m,ofi_1m
2025-01-10,BG,726,112,32.35188928094276,26.51995478058306
2025-01-10,CEG,576,265,-6.019091738611638,-2.209728363866077
2025-01-10,DAL,585,292,34.048367982911735,17.656449795906425
2025-01-10,DAR,578,98,7.882686025408349,0.04268602540834846
2025-01-10,FBL,789,216,34.434782608695656,0.782608695652174
2025-01-10,IONQ,787,220,30.842339372129153,3.78644791398907
2025-01-10,MCY,603,96,-2.765925555833125,-0.39970022483137646
2025-01-10,METU,790,116,13.479845597234737,3.494774784468265
2025-01-10,MSTZ,611,298,-2.6749017969076476,6.844162139573758
2025-01-10,RNA,605,115,1.3866845305575597,-1.1852004534679996
2025-01-10,SMCI,636,295,34.28823475784698,6.220417969357494
2025-01-10,SMCX,630,151,6.678132678132678,4.452088452088452
2025-01-10,UVXY,606,299,15.082977945656147,6.252479010368617
2025-01-10,VFC,624,232,34.580694899514654,3.7885515042139013
2025-01-13,ALGS,594,28,1.2836676217765044,1.2836676217765044
2025-01-13,AVGX,583,248,38.521279900590244,31.895619757688724
2025-01-13,BBIO,639,96,26.885610595277374,8.008672291087336
2025-01-13,BITU,622,272,-44.85298456092045,-9.027436326089095
2025-01-13,BITX,620,295,74.00229506776945,23.217533451695317
2025-01-13,DJT,596,274,22.108655533024994,10.568954911029596
2025-01-13,HIMS,590,240,18.563624250499668,4.658227848101266
2025-01-13,MSTX,591,256,17.424739611939405,5.112893078620718
2025-01-13,NBIS,826,158,19.727821629099193,5.142810643665066
2025-01-13,OILU,630,236,62.8386786261212,45.2535550207832
2025-01-13,TSLL,647,300,82.84431997551614,14.032520768306819
2025-01-13,U,643,196,23.713737603641686,2.619281417655666
2025-01-13,VITL,584,160,28.47249163038637,7.398020029598977
2025-01-14,AGX,576,56,11.824262295081969,0.0
2025-01-14,BBIO,611,159,14.993438001263792,9.20473436056968
2025-01-14,BOIL,771,241,22.814225469523855,-1.7667582013435983
2025-01-14,DJT,608,262,55.454844912026125,30.111228006530023
2025-01-14,DJTWW,577,7,0.0,
2025-01-14,IONQ,592,288,19.983634899090656,0.2233328850630328
2025-01-14,NBIS,815,110,16.79987713100906,3.125479956995853
2025-01-14,QMCO,592,51,9.996088657105608,10.003476749239463
2025-01-14,SSG,657,272,31.29382593602777,8.497892387800645
2025-01-14,TSLQ,704,298,-7.277133662832772,-13.765069980137651
2025-01-15,ALGS,606,28,1.467814467429012,-1.7772067326223822
2025-01-15,CBLL,592,32,5.688203150112504,2.057216329154613
2025-01-15,DRV,640,204,65.66419056185352,16.45084751019649
2025-01-15,MUU,595,271,34.40821432294381,-0.8474929636193057
2025-01-15,RKLB,601,276,20.80756284466089,6.391176681228962
2025-01-15,SMR,631,191,11.339107565529938,1.3261330761812922
2025-01-16,AORT,580,103,17.422071869929926,5.688839794262833
2025-01-16,ARQQ,576,75,16.795641187618447,-0.12732943777637398
2025-01-16,BOIL,822,231,37.51371363268416,15.289271939431455
2025-01-16,BYRN,576,78,6.077065066912783,0.05399169358560222
