n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split
1688,31.849056603773583,-0.08788326202942731,-0.08856000275169078,-0.027117270911904905,-2.6414077636318516,41.509433962264154,1.8867924528301887,7,-2718.162843388239,1284.9140309047382,-14834.69463056733,-17209.0952590041,-279.8998986899496,25.0,-0.19784584419042966,0.6516587677725119,B0,TRAIN
820,35.65217391304348,-0.05034000540819084,-0.05105868102629371,0.015722543926062964,-1.0642109903330585,43.47826086956522,4.3478260869565215,6,-2076.2967819695546,2375.4564340873767,-4127.88044347165,-7519.286980372567,-179.47306275963697,40.0,-0.15753724287623047,0.6097560975609756,B0,VAL
1475,27.830188679245282,-0.1748343231767419,-0.18869216294703306,-0.10796563139731649,-4.8843817790385655,33.9622641509434,1.8867924528301887,6,-2129.8919078648746,1393.0835820936027,-25788.062668569433,-25788.062668569433,-486.56722016168743,16.666666666666664,-0.28880947922130823,18.23728813559322,B1L,TRAIN
797,34.65217391304348,-0.040826554579810555,-0.061347581407850904,0.03083896659991383,-0.8271243249909918,43.47826086956522,4.3478260869565215,4,-1672.7059227850657,1835.530518969149,-3253.8764000109018,-4846.2683035627515,-141.47288695699572,40.0,-0.14769311552870854,26.097867001254706,B1L,VAL
1700,32.075471698113205,-0.10162306989747298,-0.11522943264495325,-0.039186658009641315,-3.17167644297132,35.84905660377358,1.8867924528301887,10,-2695.3494390357087,1978.9912408826044,-17275.92188257041,-20180.186202732235,-325.9607902371775,33.33333333333333,-0.2114426512115317,22.470588235294116,B1,TRAIN
777,33.78260869565217,-0.02413936932983127,-0.04658058599893986,0.043533202444485955,-0.5150186283345828,43.47826086956522,4.3478260869565215,4,-1577.8141714473854,1652.8662391035198,-1875.6289969278896,-6280.518256439166,-81.54908682295172,40.0,-0.13030305967639427,33.97683397683397,B1,VAL
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,B2,TRAIN
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,B2,VAL
1204,22.71698113207547,-0.11398157674006619,-0.12698461791098203,-0.07361505866828684,-3.125587794084812,26.41509433962264,1.8867924528301887,13,-1402.6052654699615,1342.95067788274,-13723.381839503969,-14062.694321439662,-258.9317328208296,8.333333333333332,-0.22612437458866586,27.823920265780732,B3,TRAIN
596,25.91304347826087,0.005250472680345101,-0.013093303639378226,0.04731508506734266,0.1026382580985687,47.82608695652174,4.3478260869565215,6,-1450.3772371465805,1609.2729655125602,312.92817174856884,-5019.3385245743675,13.605572684720384,60.0,-0.0998074410183258,38.08724832214765,B3,VAL
