feat,cov,q1,q2,n0,n1,n2,mu0,mu1,mu2,best,worst,spread,t,half_consistent,val_best,val_worst,val_spread,nv_best,mu_best,mu_worst,wspread,selectable,note
breadth_min,1.0,3.0,7.0,1358.0,860.0,948.0,0.0030302906146768283,-0.08641002386043636,0.09770845888512403,2.0,1.0,0.1841184827455604,3.021617811253579,True,-0.031461377451442465,0.040698057288703744,-0.07215943474014622,455.0,0.09770845888512403,-0.08641002386043636,0.1848079585607599,False,
breadth_15m,1.0,27.0,63.0,1086.0,1036.0,1044.0,-0.01675093758139685,-0.04457245837793357,0.08314053472297858,2.0,1.0,0.12771299310091216,2.238110563314531,True,0.06357530956035742,-0.019501261262658425,0.08307657082301585,566.0,0.08314053472297858,-0.04457245837793357,0.12684549881057722,False,
breadth_day,1.0,123.0,249.0,1057.0,1055.0,1054.0,-0.07395697595203621,-0.03610192755947338,0.13158462079165098,2.0,0.0,0.2055415967436872,3.64701211098743,True,-0.11405104867505543,0.11114279796162008,-0.22519384663667552,589.0,0.13158462079165098,-0.07395697595203621,0.20548184843600406,True,
cohort_rank_dist,1.0,0.22471910112359544,0.5299999999999999,1055.0,1055.0,1056.0,-0.06438253385159808,0.0005682382439305679,0.08499452180297604,2.0,0.0,0.1493770556545741,2.6169110951385846,True,0.019527004641588405,0.022218475870244263,-0.002691471228655859,556.0,0.08499452180297604,-0.06438253385159808,0.1499420957206391,False,
rs_vs_cohort,1.0,-1.1759575933302935,-0.5700266764295153,1055.0,1055.0,1056.0,-0.08404208092525185,-0.0011140635073978613,0.10631616054384364,2.0,0.0,0.1903582414690955,3.33397043727879,True,-0.02632806231791251,0.08118626909521413,-0.10751433141312665,534.0,0.10631616054384364,-0.08404208092525185,0.19134193694029067,False,
spy_dist_hod_pct,1.0,-0.13351945135643412,-0.0058662144136301326,1055.0,1055.0,1056.0,0.030911381209614973,-0.04391173013951181,0.03422869439289264,2.0,1.0,0.07814042453240444,1.3856196191049133,True,-0.08718758800669948,0.09783813422795877,-0.18502572223465824,462.0,0.03422869439289264,-0.04391173013951181,0.07750678432107322,False,
spy_ret_30m,0.7182583823295725,0.04326285339852885,0.36257686150715773,812.0,812.0,813.0,0.017598178003104818,0.008928360830994386,0.0682917513641261,2.0,1.0,0.059363390533131714,0.9263548955910074,True,-0.10955296275994632,-0.03204468448738933,-0.07750827827255699,190.0,0.0682917513641261,0.008928360830994386,0.05948204654403977,False,
spy_ret_open_sig,1.0,0.03834242737059662,0.3978883719472964,1055.0,1055.0,1056.0,-0.012536183730407328,-0.013451114457367604,0.04720334540336745,2.0,1.0,0.060654459860735054,1.074582786459958,False,-0.052288340102029304,0.013916282435801243,-0.06620462253783055,399.0,0.04720334540336745,-0.013451114457367604,0.06050578714444177,False,
ret_open_1000,0.6917209597965994,0.013458162668226793,0.029827719208022487,785.0,785.0,786.0,0.14509531213584012,0.03298358097023947,-0.06709637856898253,0.0,2.0,0.21219169070482263,3.148414537611608,True,-0.12316020475722389,-0.024217624676438832,-0.09894258008078506,384.0,0.14509531213584012,-0.06709637856898253,0.2129885287354898,True,
ret_1000_sig,0.6917209597965994,0.025958466453674188,0.0447023761578735,785.0,786.0,785.0,-0.05266738687414737,-0.04044764048269682,0.20406359445688865,2.0,0.0,0.256730981331036,3.7971799497334286,True,-0.08098736690999628,-0.005576308847912061,-0.07541105806208422,356.0,0.20406359445688865,-0.05266738687414737,0.25753642890119666,True,
ret_open_sig,1.0,0.0528301886792452,0.057061213555386896,1056.0,1054.0,1056.0,0.00016705725864681685,-0.06184955401566103,0.08280601384964885,2.0,1.0,0.14465556786530986,2.52433360104019,True,0.06254890306642068,-0.060554932291633,0.12310383535805368,556.0,0.08280601384964885,-0.06184955401566103,0.14538403381552992,False,
slope5,1.0,0.25314795383000926,0.391737891737893,1055.0,1055.0,1056.0,-0.08461341548752269,0.06054176460257777,0.045289512160483304,1.0,0.0,0.14515518009010045,2.460988993731171,True,-0.007761330515519647,-0.15704341955942525,0.1492820890439056,545.0,0.06054176460257777,-0.08461341548752269,0.14551977125400298,False,
slope_prior10,0.9375496583505483,0.05651357533052559,0.18030145037444367,1016.0,1016.0,1017.0,-0.0018601200664311516,-0.06941907447267961,0.08992860864001977,2.0,1.0,0.15934768311269937,2.7213519121612917,False,0.08264109519150849,-0.0891059524465785,0.17174704763808699,411.0,0.08992860864001977,-0.06941907447267961,0.1587743082273374,False,
slope_accel,0.9375496583505483,0.10464948602270427,0.27333799809821335,1016.0,1016.0,1017.0,0.029941285305467975,-0.03470633177100618,0.023479862875270822,0.0,1.0,0.06464761707647415,1.0858800360099559,True,-0.08039501242862758,-0.06076411972983613,-0.019630892698791452,450.0,0.029941285305467975,-0.03470633177100618,0.06380296045840606,False,
vol3_over_10,0.9529636103607183,3.1210545950176645,5.143233025639539,1026.0,1026.0,1027.0,0.04018459169698794,0.020656512843875485,-0.04136305189631802,0.0,2.0,0.08154764359330596,1.4114100089940782,True,-0.028339927980527386,0.08166957023030473,-0.11000949821083211,499.0,0.04018459169698794,-0.04136305189631802,0.08191436784665887,False,
vwap_dist_pct,1.0,2.65686938824814,3.7205551800179477,1056.0,1054.0,1056.0,-0.03458428774271538,-0.04694290240739906,0.10267893953746163,2.0,1.0,0.1496218419448607,2.6134914678654506,True,0.07800281480531827,-0.08530981634914944,0.1633126311544677,422.0,0.10267893953746163,-0.04694290240739906,0.1496187631590454,False,
range_pos,0.9839504211028126,0.5749001996007985,0.8846284734492977,1040.0,1039.0,1040.0,0.007157957548711367,0.021185487381241708,-0.004717446863466972,1.0,2.0,0.02590293424470868,0.4456719653520837,False,0.015620480101243842,-0.00030666794338602544,0.015927148044629868,605.0,0.021185487381241708,-0.004717446863466972,0.024547181159632718,False,
atr14_pct,0.9451771809947561,0.4279528377280168,0.6645493244392764,1022.0,1022.0,1022.0,0.04154064450129812,-0.03878201542441506,0.014515183691806823,0.0,1.0,0.08032265992571319,1.3603103581321003,False,-0.07036921078768607,-0.009849688997201372,-0.0605195217904847,657.0,0.04154064450129812,-0.03878201542441506,0.08210301821789706,False,
hod_age_bars,1.0,1.0,2.0,1963.0,309.0,894.0,0.021097967283742237,-0.04345710709737828,-0.006215805958660677,0.0,1.0,0.06455507438112051,0.7927568853269039,True,0.007631309629201,0.0719712332653022,-0.0643399236361012,1069.0,0.021097967283742237,-0.04345710709737828,0.06551430155807372,False,
prev_close_pos,1.0,0.23360480068581363,0.6235294117647062,1055.0,1056.0,1055.0,0.02934429269469476,-0.009861600378918273,0.0017874448958182158,0.0,1.0,0.03920589307361304,0.6937841125765798,False,0.012681139875553771,-0.05176307594515716,0.06444421582071093,407.0,0.02934429269469476,-0.009861600378918273,0.038128554058778144,False,
dow,1.0,1.0,3.0,1236.0,1337.0,593.0,-0.09644231932765003,0.11351418719472027,-0.017092122145888858,1.0,0.0,0.2099565065223703,4.0248750438650625,True,0.05174639029169234,-0.0009161908959674772,0.05266258118765982,719.0,0.11351418719472027,-0.09644231932765003,0.20971542994868175,True,
spy_vol20,1.0,12.091417985297248,16.65035387387361,1060.0,1057.0,1049.0,-0.03325087136596934,0.005930727699625336,0.04900598439206575,2.0,0.0,0.0822568557580351,1.4499892878539906,False,0.18861225555090716,-0.004067602637188571,0.19267985818809574,261.0,0.04900598439206575,-0.03325087136596934,0.08186845743308148,False,
