day,cost,n
2025-01-10,0.034067332745,14
2025-01-13,0.03718316555,13
2025-01-14,0.022457242012,10
2025-01-15,0.003944933414,6
2025-01-16,0.025496780872,11
2025-01-17,0.01184463501,10
2025-01-21,0.028547346592,12
2025-01-22,0.01742452383,8
2025-01-23,0.015281140804,12
2025-01-24,0.03171145916,14
2025-01-27,0.034049153328,23
2025-01-28,0.012356936932,13
2025-01-29,0.025594830513,12
2025-01-30,0.039021670818,27
2025-01-31,0.050694644451,18
2025-02-03,0.05527228117,37
2025-02-04,0.032679140568,23
2025-02-05,0.023304522038,13
2025-02-06,0.005896687508,9
2025-02-07,0.031153261662,17
2025-02-10,0.015788078308,14
2025-02-11,0.009535253048,9
2025-02-12,0.029332637787,19
2025-02-13,0.046690106392,22
2025-02-14,0.018114745617,8
2025-02-18,0.018932521343,10
2025-02-19,0.025915205479,13
2025-02-20,0.018585622311,10
2025-02-21,0.027041733265,9
2025-02-24,0.041595995426,14
2025-02-25,0.006935298443,10
2025-02-26,0.030134022236,23
2025-02-27,0.047604739666,23
2025-02-28,0.020967125893,25
2025-03-03,0.054627656937,15
2025-03-04,0.112395882607,31
2025-03-05,0.029728114605,16
2025-03-06,0.034350752831,16
2025-03-07,0.023631751537,13
2025-03-10,0.01398473978,8
2025-03-11,0.053322613239,28
2025-03-12,0.020645856857,10
2025-03-13,0.044241547585,15
2025-03-14,0.010597705841,11
2025-03-17,0.037599802017,20
2025-03-18,0.004672408104,4
2025-03-19,0.008022487164,8
2025-03-20,0.016250014305,17
2025-03-21,0.018777251244,12
2025-03-24,0.008730888367,7
2025-03-25,0.000325143337,1
2025-03-26,0.004371702671,7
2025-03-27,0.006792247295,6
2025-03-28,0.012515187263,9
2025-03-31,0.022471249104,11
2025-04-01,0.003501772881,3
2025-04-02,0.037552118301,26
2025-04-03,0.057805478573,19
2025-04-04,0.115868151188,36
2025-04-07,1.080251634121,528
2025-04-08,0.088064968586,25
2025-04-09,1.682296097279,581
2025-04-10,0.053444504738,21
2025-04-11,0.085234940052,22
2025-04-14,0.025378465652,16
2025-04-15,0.001625716686,3
2025-04-16,0.00279545784,5
2025-04-17,0.009154081345,7
2025-04-21,0.005333721638,4
2025-04-22,0.012384653091,7
2025-04-23,0.043270587921,17
2025-04-24,0.023979842663,11
2025-04-25,0.001927018166,4
2025-04-28,0.00296652317,3
2025-04-29,0.005356967449,5
2025-04-30,0.023881793022,11
2025-05-01,0.003334581852,7
2025-05-02,0.005232095718,11
2025-05-05,0.013950169086,7
2025-05-06,0.010100007057,6
2025-05-07,0.008216202259,9
2025-05-08,0.0374391675,24
2025-05-09,0.008816719055,15
2025-05-12,0.003982484341,8
2025-05-13,0.046089291573,24
2025-05-14,0.012783110142,15
2025-05-15,0.005744993687,5
2025-05-16,0.002429783344,6
2025-05-19,0.008805692196,15
2025-05-20,0.010819137096,7
2025-05-21,0.035152435303,14
2025-05-22,0.016175806522,12
2025-05-23,0.013643205166,10
2025-05-27,0.009463131428,9
2025-05-28,0.008056163788,5
2025-05-29,0.030467808247,8
2025-05-30,0.020877122879,9
2025-06-02,0.005661845207,6
2025-06-03,0.027425587177,11
2025-06-04,0.015435814857,8
2025-06-05,0.011745095253,10
2025-06-06,0.037030875683,16
2025-06-09,0.00602543354,5
2025-06-10,0.013732016087,8
2025-06-11,0.026332736015,13
2025-06-12,0.005756914616,10
2025-06-13,0.006235837936,9
2025-06-16,0.01475661993,11
2025-06-17,0.014577805996,7
2025-06-18,0.035410225391,21
2025-06-20,0.022400319576,12
2025-06-23,0.029627084732,15
2025-06-24,0.024788379669,17
2025-06-25,0.009968280792,7
2025-06-26,0.030089616776,17
2025-06-27,0.006437003613,5
2025-06-30,0.008541941643,9
2025-07-01,0.014098584652,10
2025-07-02,0.048271715641,26
2025-07-07,0.015446543694,8
2025-07-08,0.032332539558,15
2025-07-09,0.006656050682,6
2025-07-10,0.003747045994,3
2025-07-11,0.010595619678,12
2025-07-14,0.026894807816,15
2025-07-15,0.018381178379,9
2025-07-16,0.031917393208,15
2025-07-17,0.024150311947,14
2025-07-18,0.021224915981,9
2025-07-21,0.007497668266,6
2025-07-22,0.005868375301,9
2025-07-23,0.012272894382,9
2025-07-24,0.013472139835,13
2025-07-25,0.00868588686,8
2025-07-28,0.004589557648,4
2025-07-29,0.005376636982,9
2025-07-30,0.01132696867,11
2025-07-31,0.03031462431,23
2025-08-01,0.01307696104,10
2025-08-04,0.015527307987,11
2025-08-05,0.025923252106,18
2025-08-06,0.013774633408,19
2025-08-07,0.019147396088,16
2025-08-08,0.044881105423,25
2025-08-11,0.010593235493,20
2025-08-12,0.011240243912,14
2025-08-13,0.016765594482,11
2025-08-14,0.034463703632,17
2025-08-15,0.011252164841,9
2025-08-18,0.015601813793,9
2025-08-19,0.002712905407,8
2025-08-20,0.007762908936,9
2025-08-21,0.002864897251,4
2025-08-22,0.166930854321,66
2025-08-25,0.003089904785,7
2025-08-26,0.032889544964,16
2025-08-27,0.000256001949,3
2025-08-28,0.00702559948,12
2025-08-29,0.004340410233,3
2025-09-02,0.026063323021,15
2025-09-03,0.006862878799,7
2025-09-04,0.007519721985,8
2025-09-05,0.006042122841,5
2025-09-08,0.021675229073,13
2025-09-09,0.016440153122,11
2025-09-10,0.021718740463,11
2025-09-11,0.037768781185,18
2025-09-12,0.030128061771,13
2025-09-15,0.006783902645,9
2025-09-16,0.009609758854,6
2025-09-17,0.007760822773,10
2025-09-18,0.046608150005,18
2025-09-19,0.028911828995,15
2025-09-22,0.066721141338,26
2025-09-23,0.021352767944,18
2025-09-24,0.017803311348,9
2025-09-25,0.037800073624,25
2025-09-26,0.032336711884,16
2025-09-29,0.035715401173,18
2025-09-30,0.023551881313,10
2025-10-01,0.049628913403,27
2025-10-02,0.031651258469,24
2025-10-03,0.047930181026,27
2025-10-06,0.076577961445,32
2025-10-07,0.027509629726,15
2025-10-08,0.048947632313,23
2025-10-09,0.026975870132,19
2025-10-10,0.036313831806,23
2025-10-13,0.066428482532,26
2025-10-14,0.095293819904,34
2025-10-15,0.056879222393,27
2025-10-16,0.036721527576,19
2025-10-17,0.016447603703,21
2025-10-20,0.043042600155,18
2025-10-21,0.024909973145,16
2025-10-22,0.019487142563,9
2025-10-23,0.018645823002,18
2025-10-24,0.026696920395,20
2025-10-27,0.029312968254,18
2025-10-28,0.022568106651,14
2025-10-29,0.011732578278,19
2025-10-30,0.01746237278,28
2025-10-31,0.01058280468,13
2025-11-03,0.023623406887,14
2025-11-04,0.034381747246,29
2025-11-05,0.071555972099,34
2025-11-06,0.010467767715,16
2025-11-07,0.038565993309,21
2025-11-10,0.010014474392,19
2025-11-11,0.025134682655,14
2025-11-12,0.022785067558,12
2025-11-13,0.013202726841,11
2025-11-14,0.159915089607,64
2025-11-17,0.019700825214,19
2025-11-18,0.068127512932,26
2025-11-19,0.071295797825,26
2025-11-20,0.048031806946,21
2025-11-21,0.070306360722,27
2025-11-24,0.027793347836,31
2025-11-25,0.023488998413,15
2025-11-26,0.018041729927,10
2025-12-01,0.017729103565,14
2025-12-02,0.03370910883,20
2025-12-03,0.01517355442,8
2025-12-04,0.023714900017,19
2025-12-05,0.01469373703,17
2025-12-08,0.011619329453,9
2025-12-09,0.064351856709,27
2025-12-10,0.011504590511,15
2025-12-11,0.034281313419,20
2025-12-12,0.008261799812,11
2025-12-15,0.011431872845,7
2025-12-16,0.05364626646,22
2025-12-17,0.011405050755,9
2025-12-18,0.025850236416,16
2025-12-19,0.024969279766,20
2025-12-22,0.010619461536,14
2025-12-23,0.025226175785,12
2025-12-26,0.006569623947,6
2025-12-29,0.001711547375,7
2025-12-30,0.00356733799,6
2025-12-31,0.002493858337,2
2026-01-02,0.018036961555,17
2026-01-05,0.017472207546,22
2026-01-06,0.029139518738,24
2026-01-07,0.037095546722,20
2026-01-08,0.016565322876,20
2026-01-09,0.025855600834,22
2026-01-12,0.031985938549,27
2026-01-13,0.015064775944,12
2026-01-14,0.025450289249,17
2026-01-15,0.018696188927,12
2026-01-16,0.033293664455,22
2026-01-20,0.046277046204,36
2026-01-21,0.01475840807,8
2026-01-22,0.046593844891,23
2026-01-23,0.008805096149,12
2026-01-26,0.018161833286,13
2026-01-27,0.059758126736,30
2026-01-28,0.008673071861,11
2026-01-29,0.032569169998,11
2026-01-30,0.049430727959,19
2026-02-02,0.04165917635,29
2026-02-03,0.043184459209,23
2026-02-04,0.087968409061,31
2026-02-05,0.064945220947,37
2026-02-06,0.060406923294,36
2026-02-09,0.095553696156,44
2026-02-10,0.037119686604,18
2026-02-11,0.029912590981,21
2026-02-12,0.031335949898,25
2026-02-13,0.054552555084,33
2026-02-17,0.045527219772,18
2026-02-18,0.048585832119,32
2026-02-19,0.012754201889,20
2026-02-20,0.065881609917,35
2026-02-23,0.021989345551,23
2026-02-24,0.028873980045,32
