day,cost,n
2026-02-25,0.017182230949,19
2026-02-26,0.027104616165,29
2026-02-27,0.019374191761,19
2026-03-02,0.067657232285,51
2026-03-03,0.069192051888,24
2026-03-04,0.022182166576,22
2026-03-05,0.036741495132,19
2026-03-06,0.058189034462,28
2026-03-09,0.055255591869,26
2026-03-10,0.0174254179,19
2026-03-11,0.021402835846,21
2026-03-12,0.010326504707,7
2026-03-13,0.022699832916,12
2026-03-16,0.00502884388,9
2026-03-17,0.007639527321,16
2026-03-18,0.011800527573,6
2026-03-19,0.061066448689,26
2026-03-20,0.011760890484,10
2026-03-23,0.037975013256,23
2026-03-24,0.025882124901,22
2026-03-25,0.011061429977,14
2026-03-26,0.006935298443,11
2026-03-27,0.025579333305,20
2026-03-30,0.0027307868,6
2026-03-31,0.095238983631,39
2026-04-01,0.033120512962,20
2026-04-02,0.079232156277,64
2026-04-06,0.01079916954,9
2026-04-07,0.01681894064,9
2026-04-08,0.036011338234,19
2026-04-09,0.027256608009,18
2026-04-10,0.018322765827,14
2026-04-13,0.030779540539,32
2026-04-14,0.030943453312,17
2026-04-15,0.022248625755,12
2026-04-16,0.019182562828,17
2026-04-17,0.033366978168,22
2026-04-20,0.044598579407,26
2026-04-21,0.013872981071,18
2026-04-22,0.028343498707,14
2026-04-23,0.060077011585,31
2026-04-24,0.01668959856,11
2026-04-27,0.032113492489,20
2026-04-28,0.009823441505,20
2026-04-29,0.033477246761,14
2026-04-30,0.043113529682,24
2026-05-01,0.063554346561,32
2026-05-04,0.069440603256,34
2026-05-05,0.039597451687,29
2026-05-06,0.065942704678,41
2026-05-07,0.057169795036,37
2026-05-08,0.084385275841,48
2026-05-11,0.142741203308,66
2026-05-12,0.072999298573,34
2026-05-13,0.051473379135,30
2026-05-14,0.097118318081,45
2026-05-15,0.024826228619,25
2026-05-18,0.008642077446,14
2026-05-19,0.015639662743,11
2026-05-20,0.084763169289,32
2026-05-21,0.073288679123,39
2026-05-22,0.069960057735,42
2026-05-26,0.040420889854,34
2026-05-27,0.043151676655,24
2026-05-28,0.091937482357,50
2026-05-29,0.025478601456,21
