symbol,si,S,value,n_owners,cell,signal_date
SCOR,3855,9,38470367.599999994,2.0,I1,2016-01-15
APPF,313,9,10480578.600000001,8.0,I1,2016-01-15
ARDX,337,9,10000000.0,2.0,I1,2016-01-15
OPK,3237,9,3039391.62,2.0,I1,2016-01-15
PSX,3534,9,783892268.9,2.0,I1,2016-01-15
STAA,4123,10,11105901.33,3.0,I1,2016-01-19
NC,2962,10,1478249.7000000002,9.0,I1,2016-01-19
BNED,671,11,22063187.32,5.0,I1,2016-01-20
LE,2529,12,8694207.120000001,6.0,I1,2016-01-21
ACRS,61,12,979742.76,3.0,I1,2016-01-21
BCRX,545,12,2607500.0,2.0,I1,2016-01-21
C,792,14,2051500.0,2.0,I1,2016-01-25
PNC,3451,14,1009156.0600000002,2.0,I1,2016-01-25
TCPC,4226,14,115430.0,2.0,I1,2016-01-25
WYNN,4774,14,1840690.6199999999,2.0,I1,2016-01-25
MAIN,2675,15,109903.1999,7.0,I1,2016-01-26
LION,2573,17,147594.59999999998,2.0,I1,2016-01-28
MTG,2899,17,122400.0,2.0,I1,2016-01-28
KEY,2404,17,332400.0,2.0,I1,2016-01-28
SFNC,3901,17,431635.0,2.0,I1,2016-01-28
STBA,4125,19,109511.3609,4.0,I1,2016-02-01
ZION,4854,20,558632.36,2.0,I1,2016-02-02
PCRX,3348,20,149090.0,2.0,I1,2016-02-02
URI,4503,21,259240.0,2.0,I1,2016-02-03
KMI,2435,21,2578980.0,2.0,I1,2016-02-03
WWD,4770,21,142693.0,2.0,I1,2016-02-03
UHAL,4465,22,24829800.0,2.0,I1,2016-02-04
PGC,3392,23,109106.0,3.0,I1,2016-02-05
RDN,3640,23,302750.0,2.0,I1,2016-02-05
AN,272,24,27989140.95,2.0,I1,2016-02-08
CPF,1093,25,108765.0,2.0,I1,2016-02-09
RJF,3702,25,1819520.0,2.0,I1,2016-02-09
ITRI,2314,25,4225241.16,2.0,I1,2016-02-09
CFR,907,25,3846800.0,2.0,I1,2016-02-09
GBCI,1803,25,306350.0,2.0,I1,2016-02-09
BZH,790,26,281045.0,2.0,I1,2016-02-10
NAVI,2952,27,375282.0,2.0,I1,2016-02-11
PAGP,3307,27,5975000.0,2.0,I1,2016-02-11
PAA,3300,28,2692739.96,2.0,I1,2016-02-12
MUR,2915,28,387500.0,2.0,I1,2016-02-12
JPM,2366,28,2403216.21,2.0,I1,2016-02-12
KMT,2438,28,268094.96,2.0,I1,2016-02-12
EPD,1509,29,396800.0,2.0,I1,2016-02-16
PSX,3534,29,360391239.82,2.0,I1,2016-02-16
CHCO,918,29,209800.0,2.0,I1,2016-02-16
OFG,3177,29,108156.0,5.0,I1,2016-02-16
OPK,3237,29,2132266.44,2.0,I1,2016-02-16
BKD,625,29,309830.0,3.0,I1,2016-02-16
FISI,1662,30,364336.56,2.0,I1,2016-02-17
STAA,4123,30,7387174.46,3.0,I1,2016-02-17
OLN,3204,30,226520.0,2.0,I1,2016-02-17
NMFC,3028,30,644961.22,3.0,I1,2016-02-17
CAC,798,30,167960.0,3.0,I1,2016-02-17
INCY,2230,30,5429175.510000001,2.0,I1,2016-02-17
PSEC,3520,30,6127500.0,2.0,I1,2016-02-17
MUSA,2917,30,1181880.0,2.0,I1,2016-02-17
ON,3215,30,192330.0,2.0,I1,2016-02-17
MOS,2843,31,322073.75,3.0,I1,2016-02-18
RF,3670,31,250060.0,2.0,I1,2016-02-18
KN,2441,31,135375.0,2.0,I1,2016-02-18
RYN,3787,31,544693.4299999999,2.0,I1,2016-02-18
BGC,587,32,841750.0,2.0,I1,2016-02-19
LPG,2612,32,196100.0,2.0,I1,2016-02-19
FLO,1682,32,408375.0,2.0,I1,2016-02-19
ESNT,1536,33,1391147.5199999998,2.0,I1,2016-02-22
PNR,3455,33,7565475.319999999,2.0,I1,2016-02-22
JLL,2357,33,613400.0,2.0,I1,2016-02-22
SSNC,4114,34,656836.0,2.0,I1,2016-02-23
OI,3192,34,207900.0,2.0,I1,2016-02-23
BAC,494,34,1296900.0,2.0,I1,2016-02-23
CF,903,36,1069480.0,2.0,I1,2016-02-25
AFL,121,36,274958.6,2.0,I1,2016-02-25
FSP,1748,36,130221.35,2.0,I1,2016-02-25
APPF,313,37,440783.0,2.0,I1,2016-02-26
GLPI,1888,38,1114750.0,2.0,I1,2016-02-29
ARCC,331,39,250309.0,2.0,I1,2016-03-01
EVER,1555,39,523000.0,2.0,I1,2016-03-01
SM,3991,40,114075.0,2.0,I1,2016-03-02
CAR,817,40,976600.0,2.0,I1,2016-03-02
PNFP,3452,40,115526.88,2.0,I1,2016-03-02
MMLP,2818,40,119361.3056,5.0,I1,2016-03-02
JAKK,2329,40,304950.0,2.0,I1,2016-03-02
MAIN,2675,40,148965.6578,13.0,I1,2016-03-02
OMF,3214,41,352625.0,2.0,I1,2016-03-03
SLRC,3986,41,589592.0,2.0,I1,2016-03-03
ECPG,1416,41,119125.0,2.0,I1,2016-03-03
CIM,954,41,165630.0,2.0,I1,2016-03-03
CWT,1211,42,137025.48,2.0,I1,2016-03-04
FSS,1750,42,106885.0,2.0,I1,2016-03-04
KEY,2404,43,199297.73,3.0,I1,2016-03-07
TWI,4423,43,278062.0,2.0,I1,2016-03-07
SCL,3850,44,129345.0,2.0,I1,2016-03-08
NEO,2980,44,118295.88,2.0,I1,2016-03-08
TSLX,4390,44,353994.5,2.0,I1,2016-03-08
LPLA,2614,45,100554.48000000001,2.0,I1,2016-03-09
ITRI,2314,45,44716970.76000001,4.0,I1,2016-03-09
GSBD,1954,45,1547927.02,2.0,I1,2016-03-09
HASI,1996,45,267892.68,2.0,I1,2016-03-09
LKQ,2579,46,181200.0,2.0,I1,2016-03-10
LDOS,2528,46,345325.0,2.0,I1,2016-03-10
ZBRA,4845,47,161324.40000000002,2.0,I1,2016-03-11
NEWT,2990,49,102020.84,5.0,I1,2016-03-15
CROX,1130,50,192951.90000000002,2.0,I1,2016-03-16
OPK,3237,50,2131159.66,3.0,I1,2016-03-16
MNR,2827,51,145999.91999999998,2.0,I1,2016-03-17
RHP,3687,51,458037.8,2.0,I1,2016-03-17
SRPT,4100,51,2395000.0,2.0,I1,2016-03-17
WES,4690,51,50000008.62,2.0,I1,2016-03-17
INCY,2230,52,12119462.110000001,2.0,I1,2016-03-18
NGL,3002,52,753250.0,2.0,I1,2016-03-18
TDOC,4234,53,108060.0,2.0,I1,2016-03-21
LPG,2612,61,109690.0,3.0,I1,2016-04-01
ACAD,34,62,846203.9,2.0,I1,2016-04-04
BNED,671,69,167401.75999999998,2.0,I1,2016-04-13
OPK,3237,73,842801.3400000001,2.0,I1,2016-04-19
UAL,4445,78,60659244.0,2.0,I1,2016-04-26
MAIN,2675,78,105995.3147,9.0,I1,2016-04-26
VNCE,4604,78,1614217.0,2.0,I1,2016-04-26
CP,1088,80,144037.0,2.0,I1,2016-04-28
PGC,3392,80,212775.0,2.0,I1,2016-04-28
FSP,1748,83,128044.0,2.0,I1,2016-05-03
ARR,356,85,238400.0,2.0,I1,2016-05-05
ALLY,206,85,303119.99999999994,2.0,I1,2016-05-05
G,1788,86,156159.19999999998,2.0,I1,2016-05-06
DAL,1235,86,310500.0,2.0,I1,2016-05-06
WFC,4696,87,104147.5,2.0,I1,2016-05-09
CAT,827,88,2016099.28,2.0,I1,2016-05-10
BZH,790,88,431375.0,2.0,I1,2016-05-10
NPO,3062,89,102333.0,2.0,I1,2016-05-11
HRTG,2097,90,288100.0,2.0,I1,2016-05-12
NMIH,3032,90,184800.0,2.0,I1,2016-05-12
PJT,3411,92,835850.0,2.0,I1,2016-05-16
MTRX,2905,92,156407.5,2.0,I1,2016-05-16
ONB,3216,93,202490.0,2.0,I1,2016-05-17
STAA,4123,93,1022317.6799999999,2.0,I1,2016-05-17
TREE,4357,93,428808.0,4.0,I1,2016-05-17
WEN,4686,93,314800.0,2.0,I1,2016-05-17
CODI,1059,94,128395.986,2.0,I1,2016-05-18
CC,851,94,111065.0,2.0,I1,2016-05-18
PRAA,3483,94,1685550.0,2.0,I1,2016-05-18
KEY,2404,95,332210.0,2.0,I1,2016-05-19
PODD,3464,96,940619.53,2.0,I1,2016-05-20
ACTG,64,97,1221156.45,2.0,I1,2016-05-23
HPP,2086,97,1581815.0,2.0,I1,2016-05-23
MAIN,2675,98,108149.65450000002,10.0,I1,2016-05-24
PSX,3534,98,1320986.7,2.0,I1,2016-05-24
ESNT,1536,98,610175.52,2.0,I1,2016-05-24
RRGB,3751,98,170362.0,3.0,I1,2016-05-24
ORLY,3256,99,486103.0,2.0,I1,2016-05-25
BOOT,692,99,432000.0,2.0,I1,2016-05-25
KOP,2453,99,172588.0,2.0,I1,2016-05-25
CF,903,100,353889.5,2.0,I1,2016-05-26
UVE,4527,100,168448.75,2.0,I1,2016-05-26
OPK,3237,102,152834.0,2.0,I1,2016-05-31
AAOI,10,104,140430.0,2.0,I1,2016-06-02
SBCF,3825,105,176922.6,2.0,I1,2016-06-03
P,3299,105,5691400.0,2.0,I1,2016-06-03
PBF,3333,105,1645000.0,2.0,I1,2016-06-03
LE,2529,106,5693823.54,2.0,I1,2016-06-06
ERII,1523,108,273005.39,2.0,I1,2016-06-08
SIG,3942,109,549929.34,2.0,I1,2016-06-09
AAP,12,110,78568994.0,2.0,I1,2016-06-10
HRTG,2097,114,248069.0,2.0,I1,2016-06-16
HRB,2092,115,106585.0,2.0,I1,2016-06-17
MNR,2827,115,154999.9936,2.0,I1,2016-06-17
BCO,543,116,2713086.52,2.0,I1,2016-06-20
LION,2573,117,103796.784,2.0,I1,2016-06-21
NMIH,3032,117,102800.0,2.0,I1,2016-06-21
PVH,3551,117,196110.0,2.0,I1,2016-06-21
NTRA,3099,118,8954546.28,2.0,I1,2016-06-22
MAIN,2675,119,101584.97799999999,7.0,I1,2016-06-23
CRVS,1137,122,2946060.84,4.0,I1,2016-06-28
FMNB,1696,122,159663.75,4.0,I1,2016-06-28
KFY,2408,122,112590.0,2.0,I1,2016-06-28
OPK,3237,122,1316265.0,2.0,I1,2016-06-28
ALG,190,123,117940.0,2.0,I1,2016-06-29
FBNC,1609,125,109989.0,3.0,I1,2016-07-01
LPG,2612,125,169460.0,2.0,I1,2016-07-01
LE,2529,126,12314100.14,7.0,I1,2016-07-05
AMH,239,127,453900.0,2.0,I1,2016-07-06
BSET,736,127,142488.0,2.0,I1,2016-07-06
ESI,1534,128,543508.0,2.0,I1,2016-07-07
SIG,3942,138,136222.5,2.0,I1,2016-07-21
GABC,1789,138,116214.69780000002,7.0,I1,2016-07-21
ARDX,337,138,20000010.96,2.0,I1,2016-07-21
MAIN,2675,140,110485.3056,9.0,I1,2016-07-25
OPK,3237,144,103116.0,2.0,I1,2016-07-29
LE,2529,146,18051671.82,6.0,I1,2016-08-02
SXC,4186,146,1058946.84,2.0,I1,2016-08-02
PAG,3306,147,27233778.57,2.0,I1,2016-08-03
UFI,4460,148,147068.08,2.0,I1,2016-08-04
FNB,1700,148,132788.0,5.0,I1,2016-08-04
COP,1076,148,754930.0,2.0,I1,2016-08-04
COTY,1084,148,1980137.4,2.0,I1,2016-08-04
EHTH,1447,149,1303000.0,2.0,I1,2016-08-05
CPF,1093,149,112926.0,2.0,I1,2016-08-05
LUV,2646,149,1064492.55,2.0,I1,2016-08-05
DAL,1235,149,1155250.0,2.0,I1,2016-08-05
FTAI,1753,151,451500.0,2.0,I1,2016-08-09
PJT,3411,151,411470.0,2.0,I1,2016-08-09
ECPG,1416,151,1042500.0000000001,2.0,I1,2016-08-09
GOGO,1912,152,1046500.0,2.0,I1,2016-08-10
ATNI,419,153,102375.44,2.0,I1,2016-08-11
ACAD,34,155,8788098.0,2.0,I1,2016-08-15
BRKR,720,155,176660.0,2.0,I1,2016-08-15
KTOS,2482,155,329006.24,2.0,I1,2016-08-15
BW,768,156,238909.19999999995,2.0,I1,2016-08-16
SCOR,3855,156,3116400.0,2.0,I1,2016-08-16
DEA,1262,156,382631.76,2.0,I1,2016-08-16
TBBK,4219,158,103810.5,3.0,I1,2016-08-18
BRX,730,159,24165936.0,2.0,I1,2016-08-19
FOX,1716,159,15516000.0,2.0,I1,2016-08-19
MYGN,2932,160,233889.99999999997,2.0,I1,2016-08-22
CXW,1217,160,177000.0,2.0,I1,2016-08-22
AAP,12,161,199616.81,2.0,I1,2016-08-23
MAIN,2675,161,128190.33970000001,9.0,I1,2016-08-23
ARR,356,161,331450.0,2.0,I1,2016-08-23
FLO,1682,162,180340.0,2.0,I1,2016-08-24
ARCC,331,162,103136.4,2.0,I1,2016-08-24
PSX,3534,163,44701073.28,2.0,I1,2016-08-25
OPK,3237,164,1890872.08,2.0,I1,2016-08-26
COTY,1084,168,159697452.0,4.0,I1,2016-09-01
DLTR,1308,168,552950.0,2.0,I1,2016-09-01
PAG,3306,169,70068600.0,2.0,I1,2016-09-02
DG,1276,169,1363390.0,2.0,I1,2016-09-02
HLF,2049,170,173751608.61,2.0,I1,2016-09-06
PRLB,3499,171,266080.0,2.0,I1,2016-09-07
GAM,1796,172,153034.35,2.0,I1,2016-09-08
ASB,372,173,150000.0,2.0,I1,2016-09-09
APLE,306,174,148367.75,3.0,I1,2016-09-12
ANF,277,174,436300.0,2.0,I1,2016-09-12
KNSL,2446,174,272000.0,2.0,I1,2016-09-12
OUT,3279,175,216400.0,2.0,I1,2016-09-13
IRDM,2293,175,177200.0,2.0,I1,2016-09-13
PBF,3333,175,1309300.0,2.0,I1,2016-09-13
ITRI,2314,177,4485134.59,2.0,I1,2016-09-15
FRPT,1734,178,107928.0,2.0,I1,2016-09-16
MNR,2827,179,221379.0,2.0,I1,2016-09-19
GCO,1814,180,302186.0,2.0,I1,2016-09-20
JAKK,2329,182,112926.0,3.0,I1,2016-09-22
HY,2142,182,381767.88,4.0,I1,2016-09-22
VPG,4616,183,251973.6,2.0,I1,2016-09-23
MAIN,2675,184,102207.76259999999,8.0,I1,2016-09-26
OPK,3237,184,593933.24,2.0,I1,2016-09-26
PARR,3320,185,2364784.25,2.0,I1,2016-09-27
CYH,1221,187,19098359.02,2.0,I1,2016-09-29
LE,2529,189,120230.0,2.0,I1,2016-10-03
FBK,1606,189,1917100.0,8.0,I1,2016-10-03
AZZ,491,198,468840.0,2.0,I1,2016-10-14
AXGN,474,199,114997.5,2.0,I1,2016-10-17
UMH,4478,201,310139.3421,2.0,I1,2016-10-19
OPK,3237,204,1141995.3399999999,2.0,I1,2016-10-24
BJRI,623,207,218830.0,2.0,I1,2016-10-27
NWL,3130,211,790073.4,2.0,I1,2016-11-02
CLF,979,211,154695.0,3.0,I1,2016-11-02
ORI,3252,211,140751.2,3.0,I1,2016-11-02
WSBC,4747,212,328317.5,2.0,I1,2016-11-03
NMFC,3028,212,354839.0,2.0,I1,2016-11-03
HLF,2049,213,200464778.8,2.0,I1,2016-11-04
TRN,4365,214,6695283.9,2.0,I1,2016-11-07
OHI,3191,215,3566868.0,2.0,I1,2016-11-08
FTAI,1753,215,754450.0,2.0,I1,2016-11-08
SLM,3979,215,141400.0,2.0,I1,2016-11-08
BKD,625,215,123300.0,2.0,I1,2016-11-08
PLOW,3430,215,304890.0,2.0,I1,2016-11-08
BW,768,216,277150.0,2.0,I1,2016-11-09
EFX,1434,216,668076.0,2.0,I1,2016-11-09
HSY,2111,217,10058400.0,2.0,I1,2016-11-10
APA,298,217,993209.8,2.0,I1,2016-11-10
NLY,3025,218,1334500.0,2.0,I1,2016-11-11
GOGO,1912,218,2952300.0,2.0,I1,2016-11-11
THC,4274,220,291200.0,2.0,I1,2016-11-15
HASI,1996,220,214900.0,2.0,I1,2016-11-15
TBBK,4219,220,120075.0,2.0,I1,2016-11-15
AMH,239,220,15096023.23,2.0,I1,2016-11-15
LNG,2592,220,768002.0700000001,2.0,I1,2016-11-15
OMF,3214,220,1279700.0,2.0,I1,2016-11-15
ABT,27,220,220389.0,2.0,I1,2016-11-15
APLE,306,221,102178.75,2.0,I1,2016-11-16
GTN,1968,221,115696.0,3.0,I1,2016-11-16
PFGC,3380,221,1640628.27,2.0,I1,2016-11-16
PAYC,3326,221,1127156.7,2.0,I1,2016-11-16
DKL,1299,221,442246.5,2.0,I1,2016-11-16
CCI,859,221,304677.12,2.0,I1,2016-11-16
NGL,3002,222,894300.0,2.0,I1,2016-11-17
CHD,919,222,401855.39,2.0,I1,2016-11-17
MED,2739,222,422011.0,2.0,I1,2016-11-17
WPC,4738,223,286069.8,2.0,I1,2016-11-18
AQMS,323,224,275000.0,2.0,I1,2016-11-21
CDZI,884,224,1777265.0,2.0,I1,2016-11-21
OPK,3237,225,887718.2,2.0,I1,2016-11-22
BRX,730,225,475200.0,2.0,I1,2016-11-22
DOC,1326,225,337437.62,2.0,I1,2016-11-22
ARMK,350,225,3272502.0,2.0,I1,2016-11-22
DUK,1374,226,1176700.0,2.0,I1,2016-11-23
GAM,1796,226,433600.69,2.0,I1,2016-11-23
TSLX,4390,227,103797.9135,2.0,I1,2016-11-25
CRBP,1109,227,102827.6,4.0,I1,2016-11-25
PM,3444,227,266650.0,2.0,I1,2016-11-25
PNNT,3454,229,341440.0,2.0,I1,2016-11-29
KTOS,2482,229,9996000.0,2.0,I1,2016-11-29
HD,2016,231,3230750.0,2.0,I1,2016-12-01
EW,1567,233,582376.86,2.0,I1,2016-12-05
CRM,1125,234,116504.44,2.0,I1,2016-12-06
PODD,3464,234,1456195.0,2.0,I1,2016-12-06
TDG,4233,235,2126622.4,2.0,I1,2016-12-07
WEN,4686,235,64782396.08,2.0,I1,2016-12-07
ADI,77,236,1160354.64,2.0,I1,2016-12-08
ASUR,398,238,3133106.25,4.0,I1,2016-12-12
VIRT,4586,239,1596000.0,2.0,I1,2016-12-13
JCAP,2346,240,1815982.0,2.0,I1,2016-12-14
MTDR,2897,242,314489.95,2.0,I1,2016-12-16
DKL,1299,242,5837127.76,4.0,I1,2016-12-16
MNR,2827,243,155999.9616,2.0,I1,2016-12-19
LLY,2580,244,135805.0,2.0,I1,2016-12-20
ARR,356,244,313800.0,2.0,I1,2016-12-20
FOX,1716,244,27790000.0,2.0,I1,2016-12-20
ABT,27,246,630082.7500000001,2.0,I1,2016-12-22
JAKK,2329,249,607878.1799999999,2.0,I1,2016-12-28
VRA,4617,251,34314976.8,2.0,I1,2016-12-30
OPK,3237,253,107593.12,2.0,I1,2017-01-04
INSE,2251,253,479690.0,3.0,I1,2017-01-04
NRG,3069,254,101558.93000000001,2.0,I1,2017-01-05
CODI,1059,255,163440.0,2.0,I1,2017-01-06
VIRT,4586,259,11520881.0,4.0,I1,2017-01-12
LIVE,2577,265,267675.11,2.0,I1,2017-01-23
HRTX,2098,266,30121995.2,2.0,I1,2017-01-24
JAKK,2329,269,454727.22,2.0,I1,2017-01-27
OPK,3237,273,1610990.82,2.0,I1,2017-02-02
GE,1823,274,155195.5,2.0,I1,2017-02-03
FRME,1728,274,112164.47089999999,2.0,I1,2017-02-03
CNX,1050,276,315776.0,2.0,I1,2017-02-07
QCOM,3570,276,1053630.9500000002,2.0,I1,2017-02-07
TY,4435,277,135428.19999999998,2.0,I1,2017-02-08
D,1230,277,788800.0,2.0,I1,2017-02-08
MUSA,2917,277,1014090.0,2.0,I1,2017-02-08
CLFD,980,278,103450.0,2.0,I1,2017-02-09
NWL,3130,279,662774.8,2.0,I1,2017-02-10
LKFN,2578,279,316995.49,2.0,I1,2017-02-10
COTY,1084,282,53389000.0,2.0,I1,2017-02-15
MAT,2686,282,499623.89999999997,2.0,I1,2017-02-15
LE,2529,283,197802.62,2.0,I1,2017-02-16
SBCF,3825,285,467250.0,2.0,I1,2017-02-21
UFCS,4459,287,764050.0,2.0,I1,2017-02-23
PLSE,3433,287,640113.3600000001,2.0,I1,2017-02-23
PRU,3515,288,105364.5,2.0,I1,2017-02-24
IEP,2186,289,136925212.53,3.0,I1,2017-02-27
ORC,3249,290,140249.0,2.0,I1,2017-02-28
SM,3991,291,277182.0,2.0,I1,2017-03-01
CAC,798,293,100160.78,6.0,I1,2017-03-03
TGT,4271,293,411150.0,2.0,I1,2017-03-03
MTDR,2897,293,291740.0,2.0,I1,2017-03-03
OPK,3237,294,961838.0,2.0,I1,2017-03-06
PJT,3411,294,583825.3200000001,2.0,I1,2017-03-06
DKL,1299,294,194122.0,2.0,I1,2017-03-06
SLRC,3986,294,876316.9600000001,2.0,I1,2017-03-06
TTD,4400,295,1151600.0,2.0,I1,2017-03-07
WSBC,4747,295,136452.42,2.0,I1,2017-03-07
RRGB,3751,295,289190.0,2.0,I1,2017-03-07
BSM,738,295,320489.0,2.0,I1,2017-03-07
BCO,543,296,1793355.0,2.0,I1,2017-03-08
BBW,528,296,6909062.720000001,2.0,I1,2017-03-08
AIRG,163,296,132113.26,2.0,I1,2017-03-08
DIN,1290,297,120650.0,2.0,I1,2017-03-09
KTOS,2482,297,3999999.0,2.0,I1,2017-03-09
XHR,4792,297,517043.65,2.0,I1,2017-03-09
FPI,1720,298,108174.0,4.0,I1,2017-03-10
MNR,2827,299,134065.0,2.0,I1,2017-03-13
IRDM,2293,300,307700.6,2.0,I1,2017-03-14
CNMD,1036,300,311239.3,2.0,I1,2017-03-14
HLF,2049,300,38237674.800000004,2.0,I1,2017-03-14
ERII,1523,301,175598.84,2.0,I1,2017-03-15
CODI,1059,301,3329559.74,2.0,I1,2017-03-15
LAND,2507,302,230715.0,3.0,I1,2017-03-16
SPH,4070,302,146150.0,2.0,I1,2017-03-16
GAIN,1791,302,121319.0,2.0,I1,2017-03-16
COTY,1084,303,845559.45,2.0,I1,2017-03-17
NRG,3069,303,8300873.499999999,2.0,I1,2017-03-17
TRU,4376,303,119610.12,3.0,I1,2017-03-17
APLE,306,304,122767.0,3.0,I1,2017-03-20
ARR,356,306,220650.0,2.0,I1,2017-03-22
PSEC,3520,307,241700.0,2.0,I1,2017-03-23
SAH,3801,307,1912450.0,2.0,I1,2017-03-23
RMTI,3722,308,175191.42,2.0,I1,2017-03-24
TY,4435,308,111978.98000000001,2.0,I1,2017-03-24
VIRT,4586,309,471002.54000000004,4.0,I1,2017-03-27
SXC,4186,310,112266.0,4.0,I1,2017-03-28
OPK,3237,314,873730.0,2.0,I1,2017-04-03
DKL,1299,315,4932711.359999999,4.0,I1,2017-04-04
APO,309,315,14190000.0,2.0,I1,2017-04-04
WGO,4699,321,111723.06,2.0,I1,2017-04-12
CRMT,1127,324,1313042.1,2.0,I1,2017-04-18
WFC,4696,324,5027714.3,2.0,I1,2017-04-18
AXON,477,326,1999983.96,2.0,I1,2017-04-20
AGIO,129,329,61832925.0,2.0,I1,2017-04-25
BOLD,689,331,4874378.0,2.0,I1,2017-04-27
KODK,2451,333,13869714.5,2.0,I1,2017-05-01
OPK,3237,334,1548117.7600000002,2.0,I1,2017-05-02
FAST,1599,334,255582.5,3.0,I1,2017-05-02
CSV,1153,334,109450.0,2.0,I1,2017-05-02
CLF,979,335,127535.0,4.0,I1,2017-05-03
SYF,4192,335,693740.0,2.0,I1,2017-05-03
BIIB,607,335,20949908.54,2.0,I1,2017-05-03
APO,309,336,177985192.88,4.0,I1,2017-05-04
DKL,1299,336,2899258.4,4.0,I1,2017-05-04
ADC,72,337,1566450.0,2.0,I1,2017-05-05
BRX,730,337,311025.0,2.0,I1,2017-05-05
HAWK,1998,338,261046.0,2.0,I1,2017-05-08
HCA,2006,338,43856605.58,2.0,I1,2017-05-08
MUSA,2917,338,325810.0,2.0,I1,2017-05-08
MOS,2843,338,194059.74,2.0,I1,2017-05-08
ACRE,60,341,184320.46,2.0,I1,2017-05-11
CODI,1059,341,532800.0,2.0,I1,2017-05-11
RGS,3682,341,199105.0,2.0,I1,2017-05-11
TWLO,4425,342,2574900.0,2.0,I1,2017-05-12
PLSE,3433,342,3607520.31,2.0,I1,2017-05-12
BBW,528,343,215577.30000000002,2.0,I1,2017-05-15
PODD,3464,343,215864.4,2.0,I1,2017-05-15
CRBP,1109,343,109573.7,6.0,I1,2017-05-15
PSEC,3520,344,102353.35,3.0,I1,2017-05-16
SFNC,3901,344,239250.0,2.0,I1,2017-05-16
GE,1823,345,3256200.0,2.0,I1,2017-05-17
APC,300,346,2036726.0,2.0,I1,2017-05-18
PNR,3455,346,30286075.68,2.0,I1,2017-05-18
FSP,1748,347,119436.8,4.0,I1,2017-05-19
AR,327,347,15802500.0,2.0,I1,2017-05-19
DUK,1374,348,294304.95,2.0,I1,2017-05-22
YUMC,4839,348,1199095.0,2.0,I1,2017-05-22
VNOM,4606,348,326282.06999999995,2.0,I1,2017-05-22
IESC,2187,349,239970.0,2.0,I1,2017-05-23
FPI,1720,349,105880.0,2.0,I1,2017-05-23
CHDN,920,349,414212.0,2.0,I1,2017-05-23
CINF,958,350,144749.7536,2.0,I1,2017-05-24
SBH,3831,352,395315.5,2.0,I1,2017-05-26
UHAL,4465,354,1411480.0,2.0,I1,2017-05-31
OPK,3237,354,4045042.34,2.0,I1,2017-05-31
AAP,12,354,2404637.1,2.0,I1,2017-05-31
COTY,1084,355,2000541.5,2.0,I1,2017-06-01
PBF,3333,355,1186200.0000000002,2.0,I1,2017-06-01
AMSF,261,355,231350.0,2.0,I1,2017-06-01
HUN,2126,355,297649.99999999994,2.0,I1,2017-06-01
KMI,2435,356,9299355.0,2.0,I1,2017-06-02
ALNY,211,356,22132921.87,2.0,I1,2017-06-02
PARR,3320,356,421950.0,2.0,I1,2017-06-02
AVT,461,357,10657742.64,2.0,I1,2017-06-05
CRMT,1127,357,1759400.5,2.0,I1,2017-06-05
UMBF,4476,358,142060.1112,2.0,I1,2017-06-06
EDIT,1420,359,549050.0,2.0,I1,2017-06-07
RILY,3692,359,504183.68,2.0,I1,2017-06-07
VOYA,4614,359,397194.16,2.0,I1,2017-06-07
BOOT,692,360,350310.0,2.0,I1,2017-06-08
AMC,232,361,341280.0,2.0,I1,2017-06-09
APLE,306,361,203202.0,2.0,I1,2017-06-09
APPN,314,361,22991171.120000005,5.0,I1,2017-06-09
BSM,738,362,421315.0,2.0,I1,2017-06-12
SCM,3852,364,208290.0,2.0,I1,2017-06-14
CPF,1093,365,142114.4,2.0,I1,2017-06-15
TBBK,4219,366,277600.0,2.0,I1,2017-06-16
M,2669,367,400041.55,2.0,I1,2017-06-19
DLTR,1308,368,600703.35,2.0,I1,2017-06-20
WMB,4726,369,928130.0,2.0,I1,2017-06-21
EQT,1519,372,613880.0,2.0,I1,2017-06-26
OXLC,3287,372,5195800.0,2.0,I1,2017-06-26
OPK,3237,374,4436608.959999999,2.0,I1,2017-06-28
COTY,1084,375,1587821.0,4.0,I1,2017-06-29
MBI,2698,377,1140927.76,2.0,I1,2017-07-03
XNCR,4799,377,178650.00000000003,2.0,I1,2017-07-03
DMLP,1313,379,2355230.5,2.0,I1,2017-07-06
APPN,314,383,117312169.29999998,5.0,I1,2017-07-12
AZZ,491,384,321915.0,2.0,I1,2017-07-13
CRMT,1127,385,498813.60000000003,2.0,I1,2017-07-14
GABC,1789,390,105067.42000000001,6.0,I1,2017-07-21
ANGO,279,391,157550.0,2.0,I1,2017-07-24
APO,309,391,8317101.6,2.0,I1,2017-07-24
LE,2529,391,1085952.0,2.0,I1,2017-07-24
FAST,1599,391,127350.0,3.0,I1,2017-07-24
DBD,1243,392,130740.0,3.0,I1,2017-07-25
CSX,1156,392,82602399.88000001,2.0,I1,2017-07-25
VNOM,4606,393,159064.0,2.0,I1,2017-07-26
GE,1823,393,957337.5,2.0,I1,2017-07-26
OPK,3237,394,954318.0,2.0,I1,2017-07-27
KEY,2404,394,138175.0,2.0,I1,2017-07-27
SAFE,3797,394,154281.6,2.0,I1,2017-07-27
AKAM,177,395,1233917.65,2.0,I1,2017-07-28
EGHT,1440,398,298327.5,2.0,I1,2017-08-02
GM,1893,400,846445.1,2.0,I1,2017-08-04
