cell,split,arm,n_trades,mean_net_pct,t_day_clustered,ex_top5_mean_pct,months_positive_share,signals_per_week,null_pctile,book_monthly_pct,book_max_dd_pct,book_n,note
I4_13D,TRAIN,all,951,0.7409836936911223,0.9238338855832635,-2.076727260062484,56.16438356164384,3.038338658146965,20.9,1.7498780376351133,-71.84646710885487,1283.0,
I4_13D,VAL,all,286,-1.812478238825874,-0.9766428041685407,-5.37972850571007,44.0,2.746227709190672,3.5999999999999996,-1.3635663650523078,-46.720917450509226,1283.0,
I4_13D,2018-2023,surv_with_delisted,1007,-0.4240329417807249,-0.47016350841912513,,,,,,,,delisted-name trades excluded: 1/1007
I4_13D,2018-2023,surv_ex_delisted,1006,-0.38928508289042835,-0.432602018201609,,,,,,,,delisted-name trades excluded: 1/1007
