w,split,n_S,n_P,diff,diff_t,diff_t_iid,mde80,ex5_diff,ex5_t,touch_diff,touch_t,fill_S,fill_P,void,pass_bar
5,TRAIN,219,99,0.08941881374154015,0.7010912498899993,0.76623001145717,0.3571185327382073,0.022413740446657116,0.1847786657242273,0.020128796324905527,1.1487414630778225,0.1603221083455344,0.11262798634812286,False,False
5,VAL,133,27,-0.0182786322083289,-0.054887972763330364,-0.06319102163015157,0.9324478133671104,-0.1504538850622675,-0.488324068144447,0.0316053255371519,1.0569720322408134,0.14331896551724138,0.05555555555555555,False,False
10,TRAIN,343,145,0.12784889714577097,1.3263941420846177,1.334455595090935,0.2698872836135622,0.0864403779277464,0.8389151525290598,0.042258205915959454,2.0313632464718023,0.25109809663250365,0.16496018202502843,False,False
10,VAL,225,50,0.17713046704854035,0.8308153764167997,0.9533627388995767,0.5969621191593104,0.05840114029585504,0.28476767066799613,0.06409166993770708,2.0252406700837726,0.24245689655172414,0.102880658436214,True,False
