symbol,date,_sized_pnl
TSDD,2025-07-07,-69.96953869157151
TSDD,2025-07-24,0.0
CRCG,2025-09-24,-112.57479392000013
BMNU,2025-11-26,-137.84665199999927
CRCA,2025-12-16,283.23920320000065
MST,2026-02-13,-100.1521313333335
CRWG,2026-08-07,0.0
