symbol,date,_sized_pnl
AVGX,2025-01-30,-91.46678724142848
TSL,2025-03-12,-17.09063586666684
SMCL,2025-05-13,526.6160497500005
TSDD,2025-07-07,-69.9695386915715
TSDD,2025-07-24,0.0
CRWG,2025-09-09,-23.286051099999312
CWVX,2025-09-09,-13.293183999999428
CRCG,2025-09-15,-31.16215066666508
CRCA,2025-09-15,-40.295701333332815
CRCG,2025-09-18,-16.613343333333102
CRCG,2025-09-24,-112.57479392000012
CRCG,2025-10-02,561.074551138
CRCA,2025-10-02,559.2567114733334
PLTD,2025-11-04,-37.51278478057162
CRWG,2025-11-12,-31.565894666666317
CWVX,2025-11-12,-41.22207399999956
SMCL,2025-11-20,0.0
BMNU,2025-11-26,-137.84665199999924
MRAL,2025-11-28,4.848453000000671
CRCA,2025-12-02,-87.50224966666607
BMNU,2025-12-08,0.0
CRCA,2025-12-16,283.2392032000006
ORCX,2025-12-19,86.40684
RIOT,2026-01-16,-62.0376574200006
FBL,2026-01-22,-22.225839999999437
RGTX,2026-01-22,-132.18423199999876
NBIL,2026-01-26,-131.7194373267142
CRWG,2026-01-27,-68.11331066666584
HIMZ,2026-02-05,-129.90194824161918
HOOG,2026-02-06,125.24155200000014
MST,2026-02-13,-100.1521313333335
IREX,2026-03-11,322.35617132266646
ORCX,2026-03-11,-11.90470733333314
NBIL,2026-03-11,163.28780866666656
SMR,2026-04-15,51.070889947999625
CWVX,2026-06-12,-20.03536320000005
MUD,2026-06-23,0.0
MUZ,2026-06-26,0.0
MUZ,2026-07-01,-19.09268577333284
AAOX,2026-07-09,-8.544828266666455
MUZ,2026-07-13,-96.6808800000003
SNDG,2026-07-20,-25.64348638666563
MUU,2026-07-20,-17.673407999999927
IONX,2026-07-27,-141.5929642535719
BMNR,2026-07-27,148.9540390000008
MUZ,2026-07-28,51.05640846600001
NBIL,2026-07-30,454.21493925100015
CRWG,2026-08-07,0.0
ORCU,2026-08-12,0.0
IRE,2026-08-17,0.0
SPCQ,2026-08-18,0.0
CWVX,2026-08-25,-83.15076599999878
METU,2026-09-09,0.0
MUZ,2026-09-14,-70.55643743999975
