symbol,bar_date
AA,2023-02-22
AA,2023-05-08
AA,2023-06-02
AA,2023-07-12
AA,2023-09-14
AA,2023-09-29
AA,2023-11-14
AA,2023-12-14
AA,2024-01-23
AA,2024-04-12
AA,2024-04-15
AA,2024-06-12
AAL,2023-01-12
AAL,2023-05-08
AAL,2023-05-31
AAL,2023-11-14
AAL,2024-01-08
AAL,2024-01-23
AAL,2024-01-25
AAL,2024-04-17
AAMC,2023-12-11
AAN,2023-11-14
AAOI,2023-06-09
AAOI,2023-06-16
AAOI,2023-06-20
AAOI,2023-06-22
AAOI,2023-06-30
AAOI,2023-07-03
AAOI,2023-07-11
AAOI,2023-07-12
AAOI,2023-07-21
AAOI,2023-08-03
AAOI,2023-08-04
AAOI,2023-08-21
AAOI,2023-10-27
AAOI,2023-11-02
AAOI,2024-01-18
AAOI,2024-01-30
AAOI,2024-02-14
AAOI,2024-02-22
AAOI,2024-02-29
AAOI,2024-04-26
AAOI,2024-05-02
AAOI,2024-06-12
AAPD,2024-02-02
AAPU,2024-05-03
AAT,2023-03-14
AB,2024-02-07
ABAT,2023-10-12
ABAT,2023-10-27
ABAT,2023-10-30
ABAT,2023-12-21
ABB,2023-01-04
ABCB,2023-03-14
ABCB,2023-03-20
ABCB,2023-03-21
ABCB,2023-03-27
ABCB,2023-05-05
ABCL,2023-03-14
ABCL,2023-07-12
ABCL,2023-11-14
ABCL,2023-12-05
ABCL,2024-02-22
ABCM,2023-06-16
ABCM,2023-06-23
ABCM,2023-06-27
ABCM,2023-11-17
ABEO,2024-02-01
ABEO,2024-04-29
ABEO,2024-05-03
ABEO,2024-05-06
ABEO,2024-05-20
ABM,2024-03-07
ABOS,2023-05-09
ABOS,2023-07-17
ABOS,2023-07-26
ABOS,2024-01-03
ABOS,2024-03-04
ABR,2023-03-20
ABR,2023-05-05
ABR,2023-06-21
ABR,2023-07-28
ABR,2023-10-27
ABR,2023-11-02
ABR,2023-11-14
ABR,2024-05-14
ABR,2024-06-12
ABSI,2023-02-02
ABSI,2023-02-06
ABSI,2023-12-26
ABSI,2023-12-27
ABSI,2023-12-29
ABSI,2024-01-05
ABSI,2024-01-11
ABSI,2024-01-23
ABSI,2024-02-02
ABSI,2024-02-12
ABSI,2024-02-14
ABSI,2024-02-15
ABSI,2024-03-04
ABSI,2024-03-06
ABSI,2024-03-14
ABSI,2024-05-03
ABSI,2024-06-12
ABVX,2023-10-24
ACAD,2023-01-03
ACAD,2023-03-14
ACAD,2023-07-14
ACAD,2023-10-10
ACAD,2023-11-03
ACAD,2023-11-06
ACAD,2023-11-14
ACAD,2023-12-19
ACAD,2024-01-24
ACAD,2024-06-27
ACB,2024-02-20
ACB,2024-03-18
ACB,2024-03-27
ACB,2024-04-11
ACB,2024-05-14
ACCD,2023-01-03
ACCD,2023-01-10
ACCD,2023-03-14
ACCD,2023-05-24
ACCD,2023-06-30
ACCD,2023-11-03
ACCD,2023-11-14
ACCD,2023-11-17
ACCD,2024-01-09
ACCD,2024-02-26
ACCD,2024-03-07
ACCD,2024-05-03
ACCD,2024-06-27
ACCO,2023-05-05
ACCO,2023-06-16
ACDC,2023-03-31
