date,symbol,pnl_R
2025-07-01,AMN,1.7495190082644632
2025-07-01,ENPH,-1.0762398979818129
2025-07-01,FOXF,-1.22446173249253
2025-07-01,ROBN,-1.073017489184195
2025-07-01,SMST,1.8550927318295765
2025-07-01,SEDG,1.9217827684383144
2025-07-01,NAIL,1.9029598270581884
2025-07-01,LABU,1.8488615062838236
2025-07-02,AAOI,-1.17242340761537
2025-07-02,CONL,1.940570013988653
2025-07-02,GRRR,1.794315670995675
2025-07-02,HOOD,1.9695520506332096
2025-07-02,IONS,1.8955244691607704
2025-07-02,MVLL,-1.6034464703132218
2025-07-02,MSTX,1.9590401749143105
2025-07-02,SYM,0.3273967581775635
2025-07-02,TIL,1.6784686868686869
2025-07-07,CRCL,-1.0448215879179137
2025-07-07,PLTU,-1.0520061389209836
2025-07-08,DFDV,-1.2251595959595951
2025-07-08,INTW,1.864779453416149
2025-07-08,MRNA,1.9183679465541472
2025-07-08,PGNY,1.7383269230769218
2025-07-08,VKTX,1.9090878901965436
2025-07-08,VOYG,1.5869825013419232
2025-07-09,ARQQ,-0.5337512367682766
2025-07-09,PSIX,1.5841040924410206
2025-07-09,LABU,0.9633355103168838
2025-07-10,AMR,-0.7352532527608933
2025-07-10,CAR,1.7269958366271343
2025-07-10,CONL,-1.0993687086568869
2025-07-10,DK,1.7983596899224812
2025-07-10,TNXP,1.7762801834740491
2025-07-11,ASTS,-0.3645061515276031
2025-07-11,ATRO,-1.2852181988742966
2025-07-11,DFDV,-1.1529357929302693
2025-07-11,HSAI,-1.0913873294346996
2025-07-11,SBET,1.9418733686067
2025-07-14,BKSY,1.827914072693385
2025-07-14,HIMS,1.9512953030700584
2025-07-14,NBIS,0.9444413741032834
2025-07-14,RKLB,1.9381926780945813
2025-07-14,RNA,-1.1972148148148154
2025-07-14,SBET,-1.0597213943599455
2025-07-14,SMR,-1.0482702586860877
2025-07-15,METC,1.8639108108108116
2025-07-15,SBET,-1.0226031574608827
2025-07-15,SEDG,-1.0794273275635984
2025-07-15,SMCX,-0.17791894088956
2025-07-15,SMCL,-0.5376369278499256
2025-07-15,TBBB,1.881639002267576
2025-07-16,CRCL,1.9487274126519936
2025-07-16,GLXY,-1.069096349254636
2025-07-16,ROBN,-1.0612320266889077
2025-07-16,QBTX,-1.1999954163483555
2025-07-16,SMMT,1.8681175495495503
2025-07-16,SMR,-1.0459492331629263
2025-07-16,UVIX,-0.7477366904040504
2025-07-16,ETHU,1.942713186878871
2025-07-17,AEVA,1.9419935758148312
2025-07-17,ASTS,1.8956537229587964
2025-07-17,CONL,1.908056615613616
2025-07-17,ELVN,1.07042775510205
2025-07-17,INKT,1.570369506545081
2025-07-17,MNTN,1.6200317290552608
2025-07-17,MP,-1.0466233664034188
2025-07-17,QBTX,1.9136914329444317
2025-07-17,XXRP,1.7838948700154336
2025-07-17,XRPT,1.8576
2025-07-18,CONL,1.915432504908346
2025-07-18,CRCL,-1.033828331715013
2025-07-18,ROBN,-1.117162361313932
2025-07-18,OUST,-1.1774084754521934
2025-07-18,RDTL,-1.193512916486341
2025-07-18,SEDG,-1.109845819503715
2025-07-18,SMR,0.8120452631578997
2025-07-21,ARQQ,1.679838419958418
2025-07-21,CAI,-1.4363104166666654
2025-07-21,GLXY,-1.0578168295924446
2025-07-21,PSIX,-1.185544781144782
2025-07-21,QBTS,-1.0436955579631604
2025-07-21,SBET,-1.0351607340823663
2025-07-21,SDGR,-1.1532851063829803
2025-07-21,SEDG,-1.0958211371237447
2025-07-22,DQ,-1.1640673580246874
2025-07-22,GRAL,-1.558825850340135
2025-07-22,IQV,-1.1073020313020343
2025-07-22,NEGG,1.8519860902255645
2025-07-22,PII,1.7926930601792628
2025-07-22,SBET,-1.040974249482402
2025-07-23,BKKT,0.3051980225988681
2025-07-23,CHYM,1.8388467465753413
2025-07-23,HIMZ,1.8930288663658836
2025-07-23,HIMS,1.943814189078788
2025-07-23,PEGA,-1.1904625214702833
2025-07-23,PLAY,-0.0819291218929809
2025-07-24,NNE,1.812952049959272
2025-07-24,SBET,-1.0392345415778248
2025-07-24,SMR,1.9538167183230697
2025-07-24,VKTX,-1.080716997971603
