date,symbol,pnl_R
2025-07-01,AMN,1.7255190082644631
2025-07-01,ENPH,-1.19361968232424
2025-07-01,FOXF,-1.4190417184201776
2025-07-01,ROBN,-1.1510902437818156
2025-07-01,SMST,1.8310927318295764
2025-07-01,SEDG,1.8977827684383144
2025-07-01,NAIL,1.8789598270581884
2025-07-01,LABU,1.8248615062838236
2025-07-02,AAOI,-1.2553798013686603
2025-07-02,CONL,1.916570013988653
2025-07-02,GRRR,1.7703156709956749
2025-07-02,HOOD,1.9455520506332096
2025-07-02,IONS,1.8715244691607704
2025-07-02,MVLL,-1.6274464703132219
2025-07-02,MSTX,1.9350401749143105
2025-07-02,SYM,0.30339675817756345
2025-07-02,TIL,1.6544686868686869
2025-07-07,CRCL,-1.1478873709501072
2025-07-07,PLTU,-1.221351445908227
2025-07-08,DFDV,-1.2491595959595951
2025-07-08,INTW,1.840779453416149
2025-07-08,MRNA,1.8943679465541472
2025-07-08,PGNY,1.7143269230769218
2025-07-08,VKTX,1.8850878901965435
2025-07-08,VOYG,1.5629825013419232
2025-07-09,ARQQ,-0.5577512367682766
2025-07-09,PSIX,1.5601040924410206
2025-07-09,LABU,0.9393355103168838
2025-07-10,AMR,-0.7592532527608933
2025-07-10,CAR,1.7029958366271343
2025-07-10,CONL,-1.290972775381075
2025-07-10,DK,1.7743596899224812
2025-07-10,TNXP,1.7522801834740491
2025-07-11,ASTS,-0.3885061515276031
2025-07-11,ATRO,-1.3203685148217628
2025-07-11,DFDV,-1.1769357929302693
2025-07-11,HSAI,-1.2067664436647187
2025-07-11,SBET,1.9178733686067
2025-07-14,BKSY,1.8039140726933849
2025-07-14,HIMS,1.9272953030700584
2025-07-14,NBIS,0.9204413741032834
2025-07-14,RKLB,1.9141926780945813
2025-07-14,RNA,-1.2552539407407424
2025-07-14,SBET,-1.1435891093011847
2025-07-14,SMR,-1.1331085985738132
2025-07-15,METC,1.8399108108108115
2025-07-15,SBET,-1.0988071701282909
2025-07-15,SEDG,-1.1405772345135063
2025-07-15,SMCX,-0.20191894088956
2025-07-15,SMCL,-0.5616369278499256
2025-07-15,TBBB,1.857639002267576
2025-07-16,CRCL,1.9247274126519935
2025-07-16,GLXY,-1.1906716062062657
2025-07-16,ROBN,-1.1824684316930774
2025-07-16,QBTX,-1.2665285653170342
2025-07-16,SMMT,1.8441175495495503
2025-07-16,SMR,-1.1472443216319679
2025-07-16,UVIX,-0.7717366904040505
2025-07-16,ETHU,1.918713186878871
2025-07-17,AEVA,1.9179935758148312
2025-07-17,ASTS,1.8716537229587964
2025-07-17,CONL,1.884056615613616
2025-07-17,ELVN,1.04642775510205
2025-07-17,INKT,1.5463695065450809
2025-07-17,MNTN,1.5960317290552608
2025-07-17,MP,-1.1942533095753352
2025-07-17,QBTX,1.8896914329444316
2025-07-17,XXRP,1.7598948700154335
2025-07-17,XRPT,1.8336
2025-07-18,CONL,1.891432504908346
2025-07-18,CRCL,-1.1080207219322729
2025-07-18,ROBN,-1.2569821989973953
2025-07-18,OUST,-1.3440520243927656
2025-07-18,RDTL,-1.217512916486341
2025-07-18,SEDG,-1.2397766992255408
2025-07-18,SMR,0.7880452631578997
2025-07-21,ARQQ,1.655838419958418
2025-07-21,CAI,-1.4674297333333326
2025-07-21,GLXY,-1.1703224594036574
2025-07-21,PSIX,-1.2193588632996641
2025-07-21,QBTS,-1.1878745482123498
2025-07-21,SBET,-1.1785218759912997
2025-07-21,SDGR,-1.2115161531914898
2025-07-21,SEDG,-1.1735699777926412
2025-07-22,DQ,-1.3282376470123438
2025-07-22,GRAL,-1.5828258503401351
2025-07-22,IQV,-1.2603943403263416
2025-07-22,NEGG,1.8279860902255645
2025-07-22,PII,1.7686930601792628
