day,symbol,entry_m,price,r_pct,pb,hb,lb,n_q,spread
2025-04-07,DULL,575,5.69,1.0544815465729436,$5-10,09:30-09:35,<$5M/d,201,0.009999999999999787
2025-03-14,GLDD,575,8.53,3.810082063305971,$5-10,09:30-09:35,<$5M/d,68,0.0600000000000005
2025-04-02,AVAH,575,5.44,1.654411764705896,$5-10,09:30-09:35,<$5M/d,6,0.08999999999999986
2025-02-26,OIS,575,5.29,1.9943289224952767,$5-10,09:30-09:35,<$5M/d,72,0.010000000000000675
2025-07-01,RETL,575,7.69,1.820546163849162,$5-10,09:30-09:35,<$5M/d,211,0.019999999999999574
2025-04-04,CGEM,572,7.4,3.9189189189189193,$5-10,09:30-09:35,<$5M/d,40,0.16000000000000014
2025-02-10,DH,575,5.38,1.8587360594795477,$5-10,09:30-09:35,<$5M/d,89,0.040000000000000036
2025-05-08,CRCT,573,6.32,3.16455696202532,$5-10,09:30-09:35,<$5M/d,56,0.03000000000000025
2025-04-03,EFXT,575,7.94,1.385390428211591,$5-10,09:30-09:35,<$5M/d,89,0.040000000000000036
2025-04-10,INGN,575,6.83,1.6105417276720395,$5-10,09:30-09:35,<$5M/d,4,0.16000000000000014
2025-01-23,FF,574,5.31,1.1299435028248517,$5-10,09:30-09:35,<$5M/d,2,0.040000000000000036
2025-07-14,AIRS,575,5.005,1.898101898101893,$5-10,09:30-09:35,<$5M/d,3,0.040000000000000036
2025-04-10,PLCE,573,6.935,1.0814708002883822,$5-10,09:30-09:35,<$5M/d,23,0.10000000000000053
2025-01-30,CRSH,575,5.95,2.5210084033613507,$5-10,09:30-09:35,<$5M/d,64,0.040000000000000036
2025-07-09,MFI,573,5.29,1.7013232514177663,$5-10,09:30-09:35,<$5M/d,0,
2025-05-19,EWCZ,575,5.48,1.916058394160592,$5-10,09:30-09:35,<$5M/d,38,0.029999999999999805
2025-02-03,VLRS,575,8.19,2.930402930402922,$5-10,09:30-09:35,<$5M/d,6,0.05000000000000071
2025-02-18,GILT,575,7.59,4.611330698287215,$5-10,09:30-09:35,<$5M/d,172,0.02999999999999936
2025-03-05,FIAT,575,8.7797,1.021675000284754,$5-10,09:30-09:35,<$5M/d,257,0.019999999999999574
2025-02-07,IE,575,6.17,2.1880064829821686,$5-10,09:30-09:35,<$5M/d,87,0.0600000000000005
2025-03-10,FIAT,575,8.37,1.0752688172042997,$5-10,09:30-09:35,<$5M/d,600,0.030000000000001137
2025-07-16,PLL,575,7.585,1.1206328279499007,$5-10,09:30-09:35,<$5M/d,7,0.07000000000000028
2025-07-09,MGTX,575,8.3,1.0843373493975883,$5-10,09:30-09:35,<$5M/d,30,0.08000000000000007
2025-02-04,LION,575,6.96,1.0057471264367857,$5-10,09:30-09:35,<$5M/d,15,0.3600000000000003
2025-04-09,OPP,573,8.095,2.285361334156893,$5-10,09:30-09:35,<$5M/d,21,0.33999999999999986
2025-02-19,CYBN,575,9.55,1.0471204188481824,$5-10,09:30-09:35,<$5M/d,12,0.08000000000000007
2025-05-12,EYPT,575,6.2,1.4241935483871009,$5-10,09:30-09:35,<$5M/d,33,0.10999999999999943
2025-07-22,PLL,575,8.245,1.8799272286234003,$5-10,09:30-09:35,<$5M/d,18,0.05999999999999872
2025-02-26,DOYU,575,6.925,1.331407942238268,$5-10,09:30-09:35,<$5M/d,77,0.020000000000000462
2025-03-03,WEST,575,6.41,1.0920436817472745,$5-10,09:30-09:35,<$5M/d,24,0.10000000000000053
2025-04-16,PLL,575,6.47,1.0819165378670696,$5-10,09:30-09:35,<$5M/d,12,0.09499999999999975
2025-01-30,MAXN,574,6.15,1.62601626016261,$5-10,09:30-09:35,<$5M/d,23,0.040000000000000036
2025-05-06,BCYC,573,9.08,1.6519823788546293,$5-10,09:30-09:35,<$5M/d,3,0.7299999999999986
2025-04-02,ORIC,573,5.54,3.9711191335740015,$5-10,09:30-09:35,<$5M/d,0,
2025-05-12,TWI,575,7.8,2.051282051282053,$5-10,09:30-09:35,<$5M/d,75,0.05000000000000071
2025-05-08,WGRX,574,6.51,5.990783410138245,$5-10,09:30-09:35,<$5M/d,287,0.07000000000000028
2025-07-28,LAND,575,9.9,1.7171717171717165,$5-10,09:30-09:35,<$5M/d,88,0.02999999999999936
2025-04-30,MAMA,574,6.488,1.3563501849568445,$5-10,09:30-09:35,<$5M/d,4,0.21499999999999986
2025-01-23,SVCO,574,8.405,1.130279595478868,$5-10,09:30-09:35,<$5M/d,20,0.120000000000001
2025-04-28,PLCE,573,5.37,1.0242085661080025,$5-10,09:30-09:35,<$5M/d,4,0.04500000000000037
2025-02-03,UUUU,575,5.385,1.857010213556168,$5-10,09:30-09:35,$5-50M/d,600,0.009999999999999787
2025-07-30,ARVN,572,7.65,1.307189542483667,$5-10,09:30-09:35,$5-50M/d,91,0.04999999999999982
2025-04-10,LX,572,6.845,2.7757487216946606,$5-10,09:30-09:35,$5-50M/d,400,0.020000000000000462
2025-04-07,SSRM,575,8.87,1.2401352874859013,$5-10,09:30-09:35,$5-50M/d,291,0.019999999999999574
2025-03-20,HIMX,573,8.725,1.6618911174785052,$5-10,09:30-09:35,$5-50M/d,165,0.03999999999999915
2025-03-21,GDXD,575,6.935,1.2256669069935109,$5-10,09:30-09:35,$5-50M/d,600,0.009999999999999787
2025-07-22,XIFR,575,9.22,1.2472885032537984,$5-10,09:30-09:35,$5-50M/d,4,0.08000000000000007
2025-01-23,SPCE,575,5.43,1.7495395948434578,$5-10,09:30-09:35,$5-50M/d,85,0.020000000000000462
2025-06-06,TXG,575,9.46,1.0570824524313045,$5-10,09:30-09:35,$5-50M/d,600,0.02999999999999936
2025-04-07,ADPT,575,7.105,3.8705137227304767,$5-10,09:30-09:35,$5-50M/d,72,0.03000000000000025
2025-05-02,OPFI,575,9.85,1.7766497461928827,$5-10,09:30-09:35,$5-50M/d,44,0.09999999999999964
2025-06-23,GPRE,575,5.68,1.4084507042253531,$5-10,09:30-09:35,$5-50M/d,26,0.020000000000000462
2025-06-10,MODG,572,7.51,1.0652463382157134,$5-10,09:30-09:35,$5-50M/d,100,0.020000000000000462
2025-04-24,SERV,575,6.15,4.065040650406504,$5-10,09:30-09:35,$5-50M/d,337,0.019999999999999574
2025-01-30,MNMD,575,7.46,1.0723860589812342,$5-10,09:30-09:35,$5-50M/d,39,0.05000000000000071
2025-03-26,RUM,575,8.07,1.8959107806691509,$5-10,09:30-09:35,$5-50M/d,82,0.040000000000000924
2025-06-18,ALT,573,7.0,2.4285714285714275,$5-10,09:30-09:35,$5-50M/d,177,0.020000000000000462
2025-02-03,WKEY,575,7.05,3.1035460992907784,$5-10,09:30-09:35,$5-50M/d,8,0.08000000000000007
2025-05-30,SMCZ,575,8.3728,1.5860882858780765,$5-10,09:30-09:35,$5-50M/d,600,0.019999999999999574
2025-04-07,MOMO,574,5.7,4.035087719298254,$5-10,09:30-09:35,$5-50M/d,301,0.020000000000000462
2025-04-15,UA,575,5.42,3.413284132841321,$5-10,09:30-09:35,$5-50M/d,600,0.009999999999999787
2025-07-09,ATYR,575,5.1782,2.089529180023948,$5-10,09:30-09:35,$5-50M/d,185,0.020000000000000462
2025-02-03,UUUU,575,5.385,1.857010213556168,$5-10,09:30-09:35,$5-50M/d,600,0.009999999999999787
2025-07-15,SGML,575,6.18,1.1326860841423851,$5-10,09:30-09:35,$5-50M/d,97,0.040000000000000036
2025-06-11,OMI,575,8.24,1.2135922330097044,$5-10,09:30-09:35,$5-50M/d,30,0.11999999999999922
2025-01-14,SFIX,575,5.11,2.6418786692759424,$5-10,09:30-09:35,$5-50M/d,112,0.015000000000000124
2025-05-05,WTTR,575,8.73,1.603665521191301,$5-10,09:30-09:35,$5-50M/d,21,0.0600000000000005
2025-02-20,EYPT,572,6.48,1.4660493827160592,$5-10,09:30-09:35,$5-50M/d,13,0.13999999999999968
2025-03-03,RDFN,575,6.8209,1.4792769282646017,$5-10,09:30-09:35,$5-50M/d,241,0.020000000000000462
2025-01-22,SDA,572,9.3,1.5053763440860275,$5-10,09:30-09:35,$5-50M/d,16,0.29999999999999893
2025-01-23,PBI,575,7.695,2.404158544509428,$5-10,09:30-09:35,$5-50M/d,70,0.02999999999999936
2025-05-02,SMCL,575,9.99,3.00300300300301,$5-10,09:30-09:35,$5-50M/d,600,0.03999999999999915
2025-02-05,VNET,575,7.63,1.179554390563563,$5-10,09:30-09:35,$5-50M/d,191,0.03000000000000025
2025-05-12,ARRY,574,6.5108,1.5481968421699264,$5-10,09:30-09:35,$5-50M/d,423,0.009999999999999787
2025-01-17,HIMX,575,8.92,3.363228699551578,$5-10,09:30-09:35,$5-50M/d,328,0.02000000000000135
2025-04-07,HBM,575,6.065,1.401483924154987,$5-10,09:30-09:35,$5-50M/d,600,0.009999999999999787
2025-07-09,KURA,575,6.0,1.3333333333333344,$5-10,09:30-09:35,$5-50M/d,116,0.02999999999999936
2025-07-17,TNGX,573,6.48,1.3888888888889002,$5-10,09:30-09:35,$5-50M/d,85,0.040000000000000036
2025-03-27,PLTK,575,5.32,2.030075187969935,$5-10,09:30-09:35,$5-50M/d,330,0.020000000000000462
2025-01-21,VSTM,575,5.57,1.0771992818671543,$5-10,09:30-09:35,$5-50M/d,70,0.04999999999999982
2025-01-15,AUR,575,6.82,1.6129032258064562,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-06-02,CLSK,575,8.69,1.49597238204832,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-05-20,ARRY,575,7.74,3.488372093023262,$5-10,09:30-09:35,>$50M/d,493,0.009999999999999787
2025-03-25,APLD,575,8.04,1.3681592039800925,$5-10,09:30-09:35,>$50M/d,600,0.019999999999999574
2025-03-25,RGTI,575,9.74,1.6427104722792625,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-01-17,TAL,575,9.78,2.2494887525562257,$5-10,09:30-09:35,>$50M/d,274,0.009999999999999787
2025-08-05,BBAI,575,7.0899,1.1269552461952963,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-03-11,CDE,575,5.33,1.3133208255159527,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-07-02,CIFR,575,5.415,2.585410895660197,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
