symbol,bar_date,open,high,close,volume,prev_close,nbars,covered
AMA,2026-06-04,28.95,32.29,31.11,98080,31.07,0,False
AMA,2026-06-10,30.42,34.43,29.91,234176,30.27,0,False
AMA,2026-06-29,46.72,57.05,55.0,836736,44.66,0,False
AMA,2026-06-30,56.13,62.0,59.63,855100,55.0,0,False
AMA,2026-07-08,33.13,36.9199,35.95,381572,34.0,0,False
AMA,2026-07-10,36.85,40.8499,39.89,296365,38.26,0,False
AMA,2026-07-16,34.37,38.18,34.17,451497,36.68,0,False
AMA,2026-07-23,32.24,35.78,34.19,230142,33.21,0,False
AMA,2026-08-14,25.2,27.857,26.15,1479778,29.48,0,False
AMAU,2026-06-02,16.34,18.04,17.97,155856,15.68,0,False
AMAU,2026-06-04,17.4,19.44,18.77,153178,18.69,0,False
AMAU,2026-06-10,18.25,20.7584,18.07,185574,17.995,0,False
AMAU,2026-06-29,27.88,34.42,33.16,657450,27.06,0,False
AMAU,2026-06-30,33.51,37.41,35.98,679236,33.16,0,False
AMAU,2026-07-08,19.7,22.26,21.72,288960,20.54,0,False
AMAU,2026-07-10,22.34,24.659,24.11,268850,23.1,0,False
AMAU,2026-07-16,20.77,23.04,20.8,325357,22.22,0,False
AMAU,2026-07-23,19.55,21.6,20.68,110729,20.07,0,False
AMAU,2026-08-14,15.4,16.8732,15.83,1466242,17.86,0,False
AMBC,2025-04-09,6.48,7.075,6.94,1181628,6.59,0,False
AMBC,2025-05-15,6.8,8.03,7.9,2537746,6.53,0,False
AMBC,2025-07-07,7.2,8.07,7.56,2017537,7.19,0,False
AMBC,2025-07-17,7.35,8.77,8.65,3257623,7.35,0,False
AMBC,2025-08-11,6.91,7.6,7.57,1250567,6.94,0,False
AMBC,2025-11-11,8.95,10.38,10.08,2752497,8.69,0,False
AMBQ,2025-07-31,42.23,51.7623,43.85,4133571,,0,False
AMKL,2026-06-01,17.28,20.21,19.8774,102020,18.12,0,False
AMKL,2026-06-04,18.92,21.5,20.36,97522,21.27,0,False
AMKL,2026-06-10,17.18,21.3,17.63,99270,18.28,0,False
AMKL,2026-06-12,20.87,24.8195,24.6,230068,20.8601,0,False
AMKL,2026-06-16,26.81,33.0,26.86,1259599,26.08,0,False
AMKL,2026-06-23,24.65,27.19,26.41,212094,31.13,0,False
AMKL,2026-06-29,21.26,23.52,23.32,121043,21.27,0,False
AMKL,2026-06-30,23.85,26.1875,25.66,127946,23.32,0,False
AMKL,2026-07-29,5.95,6.53,5.11,949584,5.88,0,False
AMKL,2026-08-03,6.32,7.1099,7.07,356930,6.8,0,False
AMKL,2026-08-06,7.38,8.37,7.92,300317,7.84,0,False
AMKL,2026-08-13,8.16,9.155,8.9,226359,8.32,0,False
AMPS,2025-01-23,3.3,3.7,3.69,1175508,3.31,0,False
AMPU,2026-05-11,10.0,12.95,11.49,278442,10.36,0,False
AMPU,2026-05-12,10.95,13.0,12.99,201331,11.49,0,False
AMPU,2026-06-01,14.07,16.3774,15.77,151185,13.59,0,False
AMPU,2026-06-02,15.92,19.22,17.48,189339,15.77,0,False
AMPU,2026-06-04,14.97,17.19,16.65,161393,15.6363,0,False
AMPU,2026-06-30,5.6,6.1496,5.58,434877,5.32,0,False
AMPU,2026-07-02,5.33,6.025,4.43,493506,5.4,0,False
AMPU,2026-08-06,3.08,3.53,3.12,605087,3.44,0,False
AMRK,2025-04-09,20.78,23.17,22.88,454987,20.885,0,False
AMRK,2025-09-10,22.01,24.1831,24.04,825257,24.45,0,False
AMRK,2025-09-12,25.43,28.12,26.98,913880,25.01,0,False
AMRK,2025-11-07,24.3,26.87,25.29,565279,24.99,0,False
ANSS,2025-04-09,283.11,310.87,309.72,944003,284.83,0,False
ANTE,2025-08-21,3.01,3.37,2.2,923259,3.01,0,False
ANTE,2025-08-22,2.1,3.9,2.81,17348654,2.2,0,False
ANTE,2025-08-27,2.69,3.375,3.36,679845,2.79,0,False
ANTE,2025-08-28,3.27,4.25,4.21,807425,3.36,0,False
ANTE,2025-09-02,4.3,5.595,5.55,465016,4.31,0,False
ANTE,2025-09-08,5.4,6.0,4.99,677474,5.45,0,False
ANTE,2025-09-10,4.93,5.68,4.87,703500,5.08,0,False
ANTE,2025-09-11,4.88,5.5,4.94,1304936,4.87,0,False
APDN,2025-06-04,5.34,6.5,5.52,368590,5.105,0,False
APDN,2025-07-07,4.61,5.15,5.05,496164,4.63,0,False
APDN,2025-09-10,2.5,3.8299,2.6,3276506,2.39,0,False
APDN,2025-09-26,2.88,4.42,4.14,7984113,2.91,0,False
APDN,2025-09-29,4.1,7.15,5.23,5091569,4.14,0,False
APDN,2025-10-01,4.0,4.74,4.49,1730973,3.88,0,False
APLX,2025-09-10,31.95,36.47,36.36,119660,,0,False
APM,2025-01-02,3.2,4.8,2.2,13724218,,0,False
APNAU,2026-05-26,4.8466,5.4,4.04,424060,9.995,0,False
APNAU,2026-06-09,9.0,10.25,9.45,571059,36.2147,0,False
APURU,2026-05-22,24.14,28.27,27.46,99584,23.05,0,False
ARCX,2025-06-11,27.68,30.68,29.23,220795,,0,False
ARIS,2025-01-13,24.79,27.208,27.19,1097639,24.69,0,False
ARIS,2025-02-27,26.88,32.0,30.98,1875562,25.66,0,False
ARIS,2025-03-11,27.79,30.87,30.56,1205331,28.04,0,False
ARIS,2025-03-19,29.17,32.33,31.85,1247556,29.47,0,False
ARIS,2025-04-07,24.16,27.13,25.99,1463308,25.35,0,False
ARMN,2025-03-13,4.19,4.58,4.43,1365213,4.06,0,False
ARMN,2025-04-09,4.46,4.885,4.88,2267939,4.25,0,False
ARMN,2025-10-30,9.63,10.51,10.1,1118308,9.34,0,False
ARMN,2025-11-24,11.76,12.835,12.79,2296271,11.63,0,False
ASTY,2026-05-26,31.74,38.44,34.285,221400,34.272,0,False
ASTY,2026-05-28,38.99,42.72,42.52,81443,40.32,0,False
ASTY,2026-06-04,24.0,28.0,25.9664,120393,26.245,0,False
ASTY,2026-06-11,16.85,20.78,20.67,193535,16.76,0,False
ASTY,2026-06-23,10.27,12.13,10.78,197178,10.8697,0,False
ASTY,2026-06-30,12.94,15.5,15.18,268573,14.52,0,False
ASTY,2026-07-01,14.42,16.14,14.23,200757,15.18,0,False
ASTY,2026-07-17,5.3,6.65,5.9,449416,5.36,0,False
ASTY,2026-07-21,6.11,7.2661,7.02,451637,5.84,0,False
ASTY,2026-08-06,7.2,9.05,7.54,274758,7.78,0,False
ATCH,2025-01-02,10.56,15.2699,10.05,401847,,0,False
ATGE,2025-04-07,95.0,103.95,98.72,1017498,98.02,0,False
ATGE,2025-04-09,97.58,107.05,106.48,983996,98.77,0,False
ATHA,2025-12-22,6.77,7.77,7.4,627599,6.97,0,False
ATMV,2025-12-08,7.94,8.8699,7.8449,1159207,8.29,0,False
ATNF,2025-07-23,2.23,2.79,2.29,1123727,2.21,0,False
ATNF,2025-07-28,2.65,4.15,2.91,5089097,3.0,0,False
ATNF,2025-07-30,3.16,3.95,3.515,4327869,3.22,0,False
ATNF,2025-07-31,3.5,4.09,3.28,1950493,3.515,0,False
ATNF,2025-08-01,2.96,3.57,3.54,3334530,3.28,0,False
ATNF,2025-08-06,3.09,3.71,3.58,822998,3.36,0,False
ATNF,2025-08-07,3.42,3.9,3.43,1363844,3.58,0,False
ATNF,2025-08-11,3.05,3.4,3.34,6389666,3.0,0,False
ATUS,2025-04-07,2.2,2.42,2.31,4724426,2.33,0,False
ATUS,2025-04-09,2.16,2.505,2.45,7666901,2.21,0,False
ATUS,2025-05-08,2.545,2.79,2.77,6473213,2.65,0,False
ATUS,2025-07-08,2.23,2.65,2.58,16251520,2.22,0,False
ATUS,2025-08-12,2.07,2.37,2.23,4995113,2.05,0,False
ATUS,2025-09-09,2.23,2.52,2.39,6552600,2.25,0,False
ATUS,2025-09-30,2.34,2.565,2.41,7029765,2.36,0,False
ATUS,2025-10-02,2.31,2.6,2.43,7846112,2.33,0,False
ATXS,2025-03-06,6.14,6.88,6.42,305616,6.23,0,False
ATXS,2025-03-11,5.83,6.5,6.47,364587,5.82,0,False
ATXS,2025-03-12,6.62,7.26,7.14,527621,6.47,0,False
ATXS,2025-04-07,4.44,4.85,4.5,611701,4.655,0,False
ATXS,2025-04-09,3.63,4.39,4.08,1078904,3.75,0,False
ATXS,2025-04-22,4.17,4.8,4.62,855057,4.11,0,False
ATXS,2025-04-23,4.79,5.305,5.2,860980,4.62,0,False
ATXS,2025-05-19,3.9,4.42,4.26,671346,3.96,0,False
ATXS,2025-05-28,4.06,4.455,4.37,507416,4.09,0,False
ATXS,2025-05-29,4.41,4.98,4.95,797993,4.37,0,False
ATXS,2025-06-06,5.29,6.09,5.99,664913,5.22,0,False
ATXS,2025-06-13,5.41,5.97,5.72,346313,5.6,0,False
ATXS,2025-07-07,5.75,6.36,6.2,630903,5.81,0,False
ATXS,2025-07-30,6.48,7.34,6.73,322188,6.65,0,False
AVDL,2025-02-10,8.0,9.16,9.09,2845733,8.11,0,False
AVDL,2025-04-09,6.44,7.3,7.26,1924817,6.59,0,False
AVDL,2025-05-06,8.99,9.875,8.64,4050643,9.04,0,False
AVDL,2025-10-21,15.8,18.41,17.87,6776789,15.8,0,False
AVDX,2025-03-13,6.89,7.9,7.84,7847834,6.89,0,False
AVDX,2025-04-09,7.2,8.095,7.88,2444191,7.21,0,False
AVEX,2026-04-20,30.4,42.34,33.41,14949319,,0,False
AVTE,2025-04-11,2.58,2.82,2.66,1067659,2.58,0,False
AXL,2025-02-18,5.29,5.875,5.78,6619484,5.15,0,False
AXL,2025-04-09,3.06,3.505,3.46,3816790,3.11,0,False
AXL,2025-04-24,3.39,3.71,3.7,3525062,3.39,0,False
