day,symbol,trig_m,day_open,level,entry,stop,r_pct,rr,reason,pos,pnl,bar_dollar,c50_off,c50_entry,c50_rr,c50_pnl,c100_off,c100_entry,c100_rr,c100_pnl,c200_off,c200_entry,c200_rr,c200_pnl,c500_off,c500_entry,c500_rr,c500_pnl,ym,era,monster2,monster3,anchor,coh,complex_conf
2026-01-02,ALCY,577,14.15,15.565,15.065059999999995,14.15,6.074,-1.0155,stop,8324.95,-523.47,55500.0,1,15.065059999999995,-1.0155,-523.47,1,15.065059999999995,-1.0155,-523.47,1,15.065059999999995,-1.0155,-523.47,1,15.065059999999995,-1.0155,-523.47,2026-01,2026,False,False,,,False
2026-01-02,ANGH,620,3.67,4.037,4.0206258,3.61,10.213,-0.0015,eod,21727.06,-29.45,144847.0,1,4.0206258,-0.0015,-29.45,1,4.0206258,-0.0015,-29.45,1,4.0206258,-0.0015,-29.45,1,4.0206258,-0.0015,-29.45,2026-01,2026,False,False,ANGH,1.0,False
2026-01-02,ASTI,576,4.25,4.675000000000001,4.638875,4.2401,8.596,-1.0106,stop,12171.48,-1072.04,81143.0,1,4.638875,-1.0106,-1072.04,1,4.638875,-1.0106,-1072.04,1,4.638875,-1.0106,-1072.04,1,4.638875,-1.0106,-1072.04,2026-01,2026,False,False,ASTI,1.0,False
2026-01-02,COHN,583,23.56,25.916,25.5478142,23.3,8.798,-0.5418,eod,6955.39,-339.92,46369.0,1,25.5478142,-0.5418,-339.92,1,25.5478142,-0.5418,-339.92,1,25.5478142,-0.5418,-339.92,1,25.5478142,-0.5418,-339.92,2026-01,2026,False,False,COHN,1.0,False
2026-01-02,CRML,592,7.1,7.81,7.868534999999999,7.09,9.894,0.5221,eod,25000.0,1285.05,784296.0,1,7.8491,0.5612,1350.32,1,7.868534999999999,0.5221,1285.05,1,7.868534999999999,0.5221,1285.05,1,7.868534999999999,0.5221,1285.05,2026-01,2026,False,False,CRML,1.0,False
2026-01-02,FLNC,606,20.36,22.396,22.60762,20.535,9.168,0.17,eod,25000.0,386.31,1538991.0,1,22.508,0.2291,498.71,1,22.60762,0.17,386.31,1,22.60762,0.17,386.31,1,22.60762,0.17,386.31,2026-01,2026,False,False,FLNC,1.0,False
2026-01-02,FTH,603,10.35,11.385,11.384049999999998,10.15,10.84,-1.0082,stop,11065.3,-1222.64,73769.0,1,11.384049999999998,-1.0082,-1222.64,1,11.384049999999998,-1.0082,-1222.64,1,11.384049999999998,-1.0082,-1222.64,1,11.384049999999998,-1.0082,-1222.64,2026-01,2026,False,False,FTH,1.0,False
2026-01-02,IONZ,613,21.41,23.551,23.58053,22.05,6.491,-1.0144,stop,15347.39,-1028.91,102316.0,1,23.58053,-1.0144,-1028.91,1,23.58053,-1.0144,-1028.91,1,23.58053,-1.0144,-1028.91,1,23.58053,-1.0144,-1028.91,2026-01,2026,False,False,IONQ,1.0,False
2026-01-02,MNTS,575,5.05,5.555000000000001,5.687009999999999,5.05,11.201,-0.0262,eod,25000.0,-92.98,256103.0,3,5.5828,0.1643,372.42,1,5.6106,0.1066,246.72,1,5.6661,0.0068,-0.99,1,5.687009999999999,-0.0262,-92.98,2026-01,2026,False,False,MNTS,1.0,False
2026-01-02,NBY,587,5.55,6.105,6.1382597,5.47,10.887,-0.4463,eod,3218.9,-160.27,21459.0,1,6.1355,-0.444,-158.91,1,6.1382597,-0.4463,-160.27,1,6.1382597,-0.4463,-160.27,1,6.1382597,-0.4463,-160.27,2026-01,2026,False,False,,,False
2026-01-02,PEPG,598,6.46,7.106000000000001,7.153897499999999,6.28,12.216,0.0184,eod,24558.59,43.13,397177.0,1,7.1415,0.033,85.76,1,7.153897499999999,0.0184,43.13,1,7.153897499999999,0.0184,43.13,1,7.153897499999999,0.0184,43.13,2026-01,2026,False,False,PEPG,1.0,False
2026-01-02,PLUG,615,2.0,2.2,2.19657,2.06,6.217,0.3546,eod,25000.0,547.66,1411755.0,1,2.19657,0.3546,547.66,1,2.19657,0.3546,547.66,1,2.19657,0.3546,547.66,1,2.19657,0.3546,547.66,2026-01,2026,False,False,PLUG,1.0,False
2026-01-02,PSNY,590,21.09,23.199,23.2696,20.64,11.301,-1.0078,stop,24666.94,-2838.99,164446.0,1,23.2696,-1.0078,-2838.99,1,23.2696,-1.0078,-2838.99,1,23.2696,-1.0078,-2838.99,1,23.2696,-1.0078,-2838.99,2026-01,2026,False,False,PSNY,1.0,False
2026-01-02,QBTZ,575,9.0,9.9,9.934715,8.99,9.509,-1.0095,stop,25000.0,-2404.96,994415.0,1,9.934715,-1.0095,-2404.96,1,9.934715,-1.0095,-2404.96,1,9.934715,-1.0095,-2404.96,1,9.934715,-1.0095,-2404.96,2026-01,2026,False,False,QBTS,1.0,False
2026-01-02,RKLZ,575,4.97,5.4670000000000005,5.551605,4.97,10.476,-1.0085,stop,25000.0,-2648.57,704149.0,1,5.4943,-1.0095,-2415.51,1,5.5217,-1.009,-2527.35,1,5.551605,-1.0085,-2648.57,1,5.551605,-1.0085,-2648.57,2026-01,2026,False,False,RKLB,1.0,False
