day,symbol,shares,fill_price,entry_price,stop_loss_price,real_stop_loss_price,exit_price,exit_reason,pnl,live_fill,live_stop,live_R,sh_entry,sh_stop,sh_trig_m,sh_r_pct,catalyst,cohort,spread_bps,ask,trig_m,entry,stop,r_pct,rr,reason,complex_conf,k300_cls,k300_fill,k300_rr0,bt_pnl50,rest_pnl50,in_shadow,in_bt,fill_vs_bt_bps,fill_vs_shadow_bps
2026-08-21,DFNS,25,23.7031,22.066,18.09,20.1,21.38,force_close_eod_manual_reconcile_20260821,-58.08,23.7031,20.1,-0.6447781077405571,22.066,20.1,580.0,8.91,news,1.0,416.7,24.0,580.0,22.066,20.1,8.91,-0.293,eod,False,clean,22.1763,-0.3305,-15.32201907537686,-18.58425754942497,True,True,741.9106317411406,741.9106317411406
2026-08-24,WETO,23,25.88,24.6236,20.25,22.5,26.75,lock_stop,20.010000000000023,25.88,22.5,0.2573964497041424,24.6236,22.5,576.0,8.62,news,1.0,381.5,25.95,576.0,24.62365,22.5,8.624,1.5852,eod,False,clean,24.8242,1.3621,78.5671603474649,72.58840021655199,True,True,510.22086490020604,510.2422066635248
2026-08-24,ZJK,157,2.53,2.4674,1.94,2.15,2.47,eod_flat,-9.419999999999938,2.53,2.15,-0.15789473684210426,2.4674,2.15,589.0,12.86,news,1.0,78.7,2.54,,,,,,,,,,,,,True,False,,253.7083569749532
2026-08-25,CRMU,173,2.44,2.3982,1.9,2.11,2.82,eod_flat,65.73999999999998,2.44,2.11,1.151515151515151,2.3982,2.11,580.0,12.02,complex_late(CRML),1.0,82.0,2.44,,,,,,,,,,,,,True,False,,174.29738970894837
2026-08-25,CRMX,81,5.7199,5.6168,4.5,5.0,6.57,eod_flat,68.85810000000002,5.7199,5.0,1.1808584525628563,5.6168,5.0,580.0,10.98,complex(CRML),2.0,69.8,5.73,580.0,5.616799999999999,5.0,10.981,1.5292,eod,True,clean,5.5165,2.0203,75.91429887389633,85.04323395731016,True,True,183.55647343683447,183.55647343683222
2026-08-25,HCWB,298,2.647508,2.5476,2.14,2.38,2.5483,eod_flat,-29.563984000000122,2.647508,2.38,-0.3708599368990845,2.5476,2.38,620.0,6.58,news,1.0,566.0,2.65,,,,,,,,,,,,,True,False,,392.1651750667299
2026-08-25,USDE,91,6.2663,6.018,4.92,5.47,5.9666,eod_flat,-27.272700000000047,6.2663,5.47,-0.37636569132236636,6.018,5.47,578.0,9.11,news,1.0,31.9,6.27,578.0,6.017999999999999,5.47,9.106,-0.1058,eod,False,clean,6.0351,-0.1328,-5.613002415989458,-7.691192620250384,True,True,412.59554669325513,412.59554669325513
2026-08-26,JEM,83,5.838916,5.7522,4.64,5.15,5.5231,eod_flat,-26.21272799999999,5.838916,5.15,-0.45842453942135175,5.7522,5.15,585.0,10.47,news,1.0,290.1,5.86,,,,,,,,,,,,,True,False,,150.7527554674737
2026-08-28,AEHL,112,3.57,3.4303,2.69,2.9847,3.73,eod_flat,17.920000000000016,3.57,2.9847,0.273364086793098,3.4303,2.9847,596.0,12.99,news,1.0,691.5,3.76,,,,,,,,,,,,,True,False,,407.25300994082227
2026-08-28,SCTX,21,33.63,32.0057,26.72,29.685,29.5201,stop_loss,-86.30790000000007,33.63,29.685,-1.0417997465145752,32.0057,29.685,620.0,7.25,news,0.0,256.9,33.87,620.0,32.00573,29.685,7.251,-1.0128,stop,False,clean,31.753,-1.0144,-51.466383337486256,-47.024355334335944,True,True,507.493501944809,507.50335096561014
2026-09-01,SWVL,321,3.133614,3.133614,2.53,2.81,3.581627,manual_eod_fix,143.81,3.133614,2.81,1.384384577087502,3.1093,2.81,584.0,9.63,news,1.0,312.5,3.2,584.0,3.1093,2.81,9.626,1.7898,eod,False,clean,3.1113,1.7713,88.86872272769452,87.86748825768032,True,True,78.19766506930836,78.19766506930836
2026-09-03,MEI,34,16.8601,16.6494,13.69,15.21,15.2151,stop_loss,-55.929999999999986,16.8601,15.21,-0.9969092782255629,16.6494,15.21,624.0,8.65,news,1.0,88.7,16.91,624.0,16.649398799999997,15.21,8.645,-0.8333,eod,False,clean,16.6488,-0.8332,-42.35882317489777,-42.87565763395576,True,True,126.55183681467452,126.55110694679728
2026-09-03,YQ,387,2.575,2.575,2.07,2.3,2.550074,stage_force_flat,-9.646362000000087,2.575,2.3,-0.09064000000000069,,,,,,,,,,,,,,,,,,,,,False,False,,
2026-09-04,MEI,59,16.93,16.93,13.77,15.305,15.3013,stop_loss,-96.09330000000001,16.93,15.305,-1.0022769230769233,16.8504,15.305,583.0,9.17,news,1.0,106.4,16.91,583.0,16.8504,15.305,9.171,-1.0099,stop,False,miss_noelect,,,-51.1509903718325,,True,True,47.23923467692126,47.23923467692126
2026-09-04,TYRA,37,27.0758,27.0758,24.12,26.805042,27.06,stage_reject_structure,-0.5846000000000835,27.0758,26.805042,-0.058354693120802395,,,,,,,,,629.0,27.306675,25.76,5.664,1.334,eod,False,clean,27.0419,0.4784,66.47387005649719,74.81320621468927,False,True,-84.54892439302752,
