day,symbol,trig_m,level,o_t,preopen,rekeyed,k100_cls,k100_off,k100_fill,k100_pos,k100_small,k100_rr0,k100_pnl0,k100_pnl10,k100_pnl25,k100_fx0,k200_cls,k200_off,k200_fill,k200_pos,k200_small,k200_rr0,k200_pnl0,k200_pnl10,k200_pnl25,k200_fx0,k300_cls,k300_off,k300_fill,k300_pos,k300_small,k300_rr0,k300_pnl0,k300_pnl10,k300_pnl25,k300_fx0,k500_cls,k500_off,k500_fill,k500_pos,k500_small,k500_rr0,k500_pnl0,k500_pnl10,k500_pnl25,k500_fx0,rank5,nuniv5,rank10,nuniv10
2026-08-17,HAO,593,4.389,4.1531,0,1,clean,26.0,4.4022,9838.65,0.0,-1.0054,-1567.06,-1575.34,-1587.72,-1120.5,clean,26.0,4.4022,9838.65,0.0,-1.0054,-1567.06,-1575.34,-1587.72,-1120.5,clean,26.0,4.4022,9838.65,0.0,-1.0054,-1567.06,-1575.34,-1587.72,-1120.5,clean,26.0,4.4022,9838.65,0.0,-1.0054,-1567.06,-1575.34,-1587.72,-1120.5,64,64,63.0,64.0
2026-08-17,INDI,630,5.115000000000001,5.045,0,0,clean,0.0,5.1303,25000.0,0.0,-0.8277,-1759.26,-1782.48,-1817.23,-1759.26,clean,0.0,5.1303,25000.0,0.0,-0.8277,-1759.26,-1782.48,-1817.23,-1759.26,clean,0.0,5.1303,25000.0,0.0,-0.8277,-1759.26,-1782.48,-1817.23,-1759.26,clean,0.0,5.1303,25000.0,0.0,-0.8277,-1759.26,-1782.48,-1817.23,-1759.26,18,65,40.0,65.0
2026-08-17,JDZG,615,4.312,4.18,0,0,clean,0.0,4.3249,21238.2,0.0,-1.0147,-1395.49,-1415.33,-1445.03,-1395.48,clean,0.0,4.3249,21238.2,0.0,-1.0147,-1395.49,-1415.33,-1445.03,-1395.48,clean,0.0,4.3249,21238.2,0.0,-1.0147,-1395.49,-1415.33,-1445.03,-1395.48,clean,0.0,4.3249,21238.2,0.0,-1.0147,-1395.49,-1415.33,-1445.03,-1395.48,27,64,25.0,64.0
2026-08-17,RDWU,611,11.418,11.255,0,1,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,20,64,22.0,64.0
2026-08-17,RKLX,591,27.412000000000003,27.25,0,1,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,16,64,11.0,64.0
2026-08-17,XHLD,577,6.589,6.45,0,0,clean,0.0,6.6088,17031.6,0.0,0.1936,330.65,313.29,287.3,330.61,clean,0.0,6.6088,17031.6,0.0,0.1936,330.65,313.29,287.3,330.61,clean,0.0,6.6088,17031.6,0.0,0.1936,330.65,313.29,287.3,330.61,clean,0.0,6.6088,17031.6,0.0,0.1936,330.65,313.29,287.3,330.61,29,62,,
2026-08-17,YSS,575,11.396,11.64,1,0,adverse,1.0,11.51,25000.0,0.0,-0.8087,-2039.13,-2039.13,-2039.13,-2039.03,adverse,0.0,11.6239,25000.0,0.0,-0.8259,-2264.42,-2264.42,-2264.42,-2264.32,gap_into,0.0,11.64,25000.0,0.0,-0.8281,-2295.86,-2295.86,-2295.86,-2295.76,gap_into,0.0,11.64,25000.0,0.0,-0.8281,-2295.86,-2295.86,-2295.86,-2295.76,9,62,,
2026-08-18,AIAI,605,5.511,5.46,0,0,clean,0.0,5.5275,10652.4,0.0,0.0038,-8.03,-18.68,-34.61,-8.01,clean,0.0,5.5275,10652.4,0.0,0.0038,-8.03,-18.68,-34.61,-8.01,clean,0.0,5.5275,10652.4,0.0,0.0038,-8.03,-18.68,-34.61,-8.01,clean,0.0,5.5275,10652.4,0.0,0.0038,-8.03,-18.68,-34.61,-8.01,24,74,48.0,74.0
2026-08-18,ANGX,608,5.269,5.2309,0,0,clean,0.0,5.2848,25000.0,0.0,-1.0135,-1753.23,-1776.46,-1811.22,-1753.25,clean,0.0,5.2848,25000.0,0.0,-1.0135,-1753.23,-1776.46,-1811.22,-1753.25,clean,0.0,5.2848,25000.0,0.0,-1.0135,-1753.23,-1776.46,-1811.22,-1753.25,clean,0.0,5.2848,25000.0,0.0,-1.0135,-1753.23,-1776.46,-1811.22,-1753.25,16,74,17.0,74.0
2026-08-18,BOXL,579,7.722,7.65,0,0,clean,0.0,7.7452,14798.7,0.0,-0.0204,-46.74,-61.49,-83.57,-46.79,clean,0.0,7.7452,14798.7,0.0,-0.0204,-46.74,-61.49,-83.57,-46.79,clean,0.0,7.7452,14798.7,0.0,-0.0204,-46.74,-61.49,-83.57,-46.79,clean,0.0,7.7452,14798.7,0.0,-0.0204,-46.74,-61.49,-83.57,-46.79,29,71,,
