cell,field,provenance,avail_train,avail_val,availability_ok,tail_train,rest_train,diff_train,t_train,p_null_train,null_p95_train,tail_val,rest_val,diff_val,t_val,p_null_val,null_p95_val,diff_h1,diff_h2,same_sign,SEPARATES
C1,rv_profile,relative volume at the break (breaks2),1.0,1.0,True,3.975433298545848,6.539517948807597,-2.564084650261749,-2.39278179920893,0.0335,2.425428729008048,2.811585515364997,7.511667039665273,-4.700081524300276,-3.967881643407633,0.0015,3.1677443609306057,-1.7074677199651846,-3.4945723770555563,True,True
C2,dollar_frac,the bar's dollar volume / ADV$ (book6),0.815043156596794,0.9589235127478754,True,40.21425460061483,36.6503251037278,3.5639294968870274,0.4522460666986279,0.388,7.852627709551862,37.75433462589844,55.058929590962286,-17.30459496506385,-0.9557783939675574,0.643,74.3497769335538,6.204482735992727,0.703836945685957,False,False
C3,spread_over_r,"imputed spread / R (book6 sp_pct, r_pct)",1.0,1.0,True,0.0357123437605854,0.08941542462818956,-0.05370308086760416,-10.384135984885885,0.0,0.016218552676942197,0.0404865342893925,0.09402690407950497,-0.053540369790112466,-7.4971298148994965,0.0,0.017678551106674985,-0.05084577176975526,-0.05677237355888154,True,True
C4,dist_open_pct,% above the 09:30 open (breaks2),1.0,1.0,True,6.0833610253555435,6.258651900047541,-0.17529087469199744,-0.17995550531796614,0.8295,0.8828581113132703,5.99965027232071,6.6039557777923354,-0.6043055054716255,-0.5834840346640446,0.103,0.7379994899175518,-0.6964122499810088,0.6817038259636297,True,False
C5,gap_pct,session gap vs prev close (PIT panel),0.9895191122071517,0.9985835694050992,True,6.082641699348141,1.3177450799817514,4.7648966193663895,0.9023599823019718,0.099,5.3426376810094345,2.3835748966928323,1.6025512355988032,0.7810236610940291,0.4949876818348849,0.6455,3.643459029846305,8.273626436421361,0.08923459285526203,True,False
C6,is_wrapper,"wrapper = 1, common = 0 (orb_asset_class)",1.0,1.0,True,0.5432098765432098,0.3744321868916288,0.16877768965158102,1.5707029831221029,0.1,0.1817722979306367,0.42857142857142855,0.3889716840536513,0.03959974451777726,0.375941748680699,0.696,0.15984671066638273,0.21467181467181462,0.10923845193508114,True,False
C7,log_price,log10 entry price (book6),1.0,1.0,True,1.5451650794069585,1.6444509842745225,-0.09928590486756406,-0.4843103801281079,0.0065,0.07740167933004731,1.6930103448043379,1.7076094326757378,-0.014599087871399963,-0.05449591843419934,0.839,0.11866735558940876,-0.12676731087920223,-0.05313088867208071,True,False
C8,entry_m,"entry minute, ET minutes past midnight (book6)",1.0,1.0,True,652.604938271605,622.0077871512005,30.59715112040442,0.35191105119076677,0.0005,21.11368599834963,635.7142857142857,615.1162444113264,20.598041302959246,0.210596079902341,0.0585,21.26090270385356,26.93124655267502,34.822370474406966,True,False
C9,spy_r5_pct,SPY's 5-min return into the bar (day_fields),1.0,1.0,True,-0.029143673685629302,-0.0013432320914111993,-0.027800441594218104,-1.4250349295981872,1.0,0.027800441594218104,0.007858641535225837,0.019675043926465213,-0.011816402391239376,-0.671123306746963,1.0,0.011816402391239376,-0.04907668579753578,0.0037229937060805794,True,False
C10,r_pct,stop width as % of price (book6),1.0,1.0,True,2.8363871417769233,3.6881652008495904,-0.8517780590726671,-1.7472649463327552,0.005,0.6612271170073442,2.9857346641492546,4.113018325511026,-1.1272836613617718,-1.2855847297935425,0.0165,0.9421669099834883,-1.014092326792865,-0.5444359259582141,True,False
C11,log_advd,log10 ADV$ (book6 adv20 x price),1.0,1.0,True,8.443040765523852,7.975184264403956,0.4678565011198961,0.42270219440869083,0.0,0.16414078345027125,8.624884895036685,7.990137252903252,0.6347476421334326,0.4801596909961045,0.0,0.2556557008128366,0.41232714551314054,0.49839186478023567,True,False
