cell,split,n,per_wk,gross,net,green,total,t,mde,null_green_p95,ex_top5
G3 baseline (no admission rule),TRAIN,1434,27.056603773584907,0.013865646198600352,-0.055571145707956675,41.509433962264154,-7968.902294520986,-0.9667389758600067,0.15496639043893817,92.3076923076923,-0.3311180424272467
G3 baseline (no admission rule),VAL,609,26.47826086956522,0.093619293918124,0.0219458920820544,56.52173913043478,1336.5048277971132,0.31929129790023325,0.2069944879787969,60.869565217391305,-0.19766130247153488
A3 rv <= TRAIN median (3.75),TRAIN,1295,24.433962264150942,0.08847647255611098,0.02663480685845364,41.509433962264154,3449.2074881697467,0.38106799450003426,0.18895499146446773,111.53846153846153,-0.3055397939563747
A3 rv <= TRAIN median (3.75),VAL,609,26.47826086956522,0.1048066466804352,0.03816157896307621,56.52173913043478,2324.0401588513405,0.4655229213413463,0.23488128233055897,60.869565217391305,-0.2195444193568153
A4 rv <= TRAIN tercile (2.61),TRAIN,1060,20.0,0.07853830078751221,0.01648809086824513,37.735849056603776,1747.7376320339822,0.20494491050025515,0.20038754124004768,107.6923076923077,-0.31181234861189927
A4 rv <= TRAIN tercile (2.61),VAL,569,24.73913043478261,0.03692450569042703,-0.030059142198854534,43.47826086956522,-1710.365191114823,-0.38248175749350716,0.23077618272785433,52.17391304347826,-0.27370853193402056
