cell,name,stop_pct,n_TRAIN,perwk_TRAIN,gross_TRAIN,cost_TRAIN,net_TRAIN,t_TRAIN,mde_TRAIN,n_VAL,perwk_VAL,gross_VAL,cost_VAL,net_VAL,t_VAL,mde_VAL,net_H1,net_H2,positive,perm_p95_train
U0,unconditional,2,198060,3736.9811320754716,-0.13635901599812378,0.2529350725480405,-0.3892940885461642,-7.165621821823414,0.4069008524416176,87425,3973.8636363636365,-0.10513589046691071,0.2552386926312095,-0.3603745830981202,-6.5082569861239605,0.6242471682585957,-0.3924156565610214,-0.386405159482163,False,-0.35844984812122727
U0,unconditional,3,198060,3736.9811320754716,-0.2286581899321632,0.24782498585297844,-0.4764831757851416,-6.723698543546894,0.47486808514848816,87425,3973.8636363636365,-0.15588426759623344,0.24979947543982123,-0.40568374303605464,-5.848010383830492,0.7291802294834552,-0.4927927384317394,-0.46138910468797184,False,-0.44024343443470526
U0,unconditional,4,198060,3736.9811320754716,-0.2605807451669054,0.24130186407046508,-0.5018826092373705,-6.2237023112874175,0.5134143889222449,87425,3973.8636363636365,-0.17098073668835018,0.24384401475807044,-0.4148247514464206,-5.333596616762,0.7855713168381829,-0.5204857728694916,-0.48466587077663115,False,-0.46253746875239365
U1,hour 09:37-10:30,2,41202,777.3962264150944,-0.21645478300323784,0.31164846262494944,-0.5281032456281872,-7.93490248816833,0.4795434413628139,18602,845.5454545454545,-0.19823025244161677,0.31046563955154716,-0.5086958919931639,-6.010912600477234,0.7411689590836429,-0.5120138897957053,-0.5423629095736625,False,-0.35844984812122727
U1,hour 09:37-10:30,3,41202,777.3962264150944,-0.4385993729643554,0.3121130553654582,-0.7507124283298138,-8.273746369261797,0.5760705524328389,18602,845.5454545454545,-0.3645705292370717,0.30971507834076717,-0.6742856075778388,-5.912095064082767,0.8936263635859971,-0.7509435336726253,-0.750507604435134,False,-0.44024343443470526
U1,hour 09:37-10:30,4,41202,777.3962264150944,-0.5315004754143419,0.3027645011837953,-0.8342649765981371,-7.8752485060380515,0.6337201663270712,18602,845.5454545454545,-0.43000963488417004,0.30095573704928635,-0.7309653719334565,-5.627303895425707,0.9860252563015944,-0.8269802167029174,-0.8407213089156558,False,-0.46253746875239365
U2,hour 10:30-11:30,2,46274,873.0943396226415,-0.14424060097305258,0.24100761936570264,-0.3852482203387552,-5.5478501860249585,0.4344244082204606,20431,928.6818181818181,-0.12593418302250065,0.2405829173433883,-0.36651710036588897,-4.873896152378886,0.6614543990594816,-0.4014766463436788,-0.3703373950187561,False,-0.35844984812122727
U2,hour 10:30-11:30,3,46274,873.0943396226415,-0.24641290348135225,0.23633661895655964,-0.48274952243791186,-5.425457134511296,0.512342392239484,20431,928.6818181818181,-0.19154342969380203,0.23526944485063037,-0.42681287454443234,-4.633870898873965,0.779194666358403,-0.5189698324358261,-0.4494699723908982,False,-0.44024343443470526
U2,hour 10:30-11:30,4,46274,873.0943396226415,-0.2949834236501691,0.22920817990113537,-0.5241916035513046,-5.193511216126145,0.5537285480527098,20431,928.6818181818181,-0.21517873182244232,0.22864260263529188,-0.4438213344577342,-4.451168981749938,0.8349167170364444,-0.5642464272503719,-0.4873888674622377,False,-0.46253746875239365
U3,hour 11:30-13:00,2,66031,1245.867924528302,-0.09326790124133193,0.20399655862348276,-0.2972644598648147,-4.700158804372742,0.38357901597706007,29123,1323.7727272727273,-0.12344733917210939,0.20747255926427466,-0.33091989843638403,-5.271582305777325,0.577613929562086,-0.3042953579876797,-0.29068476772233526,False,-0.35844984812122727
U3,hour 11:30-13:00,3,66031,1245.867924528302,-0.14372530578049514,0.19801033096800388,-0.341735636748499,-4.354939809085172,0.4397964058609445,29123,1323.7727272727273,-0.13217315865595067,0.20077440608334307,-0.3329475647392937,-4.343221413501023,0.6620337417029947,-0.356181694406797,-0.3282166509229191,False,-0.44024343443470526
U3,hour 11:30-13:00,4,66031,1245.867924528302,-0.149790521505167,0.19299206470044594,-0.34278258620561286,-3.9328373415346802,0.4723838188464265,29123,1323.7727272727273,-0.1270360318585381,0.19590787981778354,-0.32294391167632164,-3.7622492458745196,0.7036466475067028,-0.36456590225031593,-0.32239720856084697,False,-0.46253746875239365
U4,hour 13:00-14:01,2,44553,840.622641509434,-0.11796589192637008,0.28355659934900035,-0.40152249127537043,-7.68720229670244,0.3291080151639397,19269,875.8636363636364,0.0344642733868565,0.2896563365327404,-0.25519206314588394,-3.823128302767078,0.516745259229873,-0.406056561104671,-0.39719429853097493,False,-0.35844984812122727
U4,hour 13:00-14:01,3,44553,840.622641509434,-0.14194405250822378,0.2741335874380893,-0.416077639946313,-6.990942830465666,0.36473569916704884,19269,875.8636363636364,0.04755107176701548,0.2814601794033418,-0.23390910763632625,-3.131735666927751,0.5719149438287177,-0.43687049211110507,-0.3962289222901882,False,-0.44024343443470526
U4,hour 13:00-14:01,4,44553,840.622641509434,-0.13850602491953304,0.26862177359642,-0.4071277985159531,-6.52083975264416,0.38264457666647345,19269,875.8636363636364,0.05952749747349856,0.2772776050266504,-0.21775010755315186,-2.750406174738124,0.6021208597276504,-0.4319726827500864,-0.38341103813819977,False,-0.46253746875239365
U5,price $17-30,2,96978,1829.7735849056603,-0.1755136445202567,0.24669136501754524,-0.4222050095378019,-8.08510892574113,0.4144682554867998,38095,1731.590909090909,-0.1724005343265167,0.24612312912938378,-0.4185236634559004,-6.905335051556951,0.6466776134508903,-0.43835939791523715,-0.4059577376036152,False,-0.35844984812122727
U5,price $17-30,3,96978,1829.7735849056603,-0.27077391014973057,0.24173854579991177,-0.5125124559496423,-7.349540511728734,0.48618392513983577,38095,1731.590909090909,-0.24764588500998813,0.24148590224209404,-0.4891317872520821,-6.292387709216798,0.7718461579305756,-0.5450384900877188,-0.47979940552427763,False,-0.44024343443470526
U5,price $17-30,4,96978,1829.7735849056603,-0.308865333302271,0.23527224472817973,-0.5441375780304507,-6.769450879394251,0.5275991080141518,38095,1731.590909090909,-0.2688155720495606,0.23559833460712928,-0.5044139066566898,-5.766933728585341,0.844606227792278,-0.5844413283586709,-0.503602091557634,False,-0.46253746875239365
U6,price $30-100,2,87285,1646.8867924528302,-0.10136629269419889,0.253170245067446,-0.35453653776164484,-5.675922001235956,0.40320774899509126,37137,1688.0454545454545,-0.08569320174150603,0.2525819611692929,-0.3382751629107989,-6.080893789030101,0.6147659330546772,-0.34556724071983724,-0.3622367838326698,False,-0.35844984812122727
U6,price $30-100,3,87285,1646.8867924528302,-0.1891140027676569,0.24819974054475047,-0.4373137433124074,-5.46838377523144,0.47006610840736057,37137,1688.0454545454545,-0.12260626432528093,0.24676778608675834,-0.36937405041203925,-5.317486716262441,0.7111173317619179,-0.4399922244196702,-0.4350142360571144,False,-0.44024343443470526
U6,price $30-100,4,87285,1646.8867924528302,-0.21429259976235446,0.2416827490589383,-0.4559753488212928,-5.0553274124489125,0.507061642273518,37137,1688.0454545454545,-0.13913482222363566,0.2408952066547838,-0.3800300288784194,-4.828267309529658,0.7603922477888873,-0.45388422968680264,-0.4577705989757193,False,-0.46253746875239365
U7,price >=$100,2,13797,260.3207547169811,-0.08252139106253449,0.29533379948404503,-0.37785519054657957,-4.388066619840995,0.3992948977911588,12193,554.2272727272727,0.04580345806391306,0.2918105312191904,-0.24600707315527734,-2.8484746006045385,0.5931022817514849,-0.33717095695208193,-0.411537725752199,False,-0.35844984812122727
U7,price >=$100,3,13797,260.3207547169811,-0.18280155888154856,0.2882352431694221,-0.4710368020509707,-4.527613623704165,0.4486736050089838,12193,554.2272727272727,0.029452696883683058,0.28500766197899247,-0.2555549650953094,-2.55771047812507,0.6543768006912811,-0.4269118476395584,-0.5075679149440439,False,-0.44024343443470526
U7,price >=$100,4,13797,260.3207547169811,-0.21402844999003606,0.2812739506369114,-0.49530240062694747,-4.330111125788908,0.47669723473521947,12193,554.2272727272727,0.03769279136948715,0.2785876440438787,-0.24089485267439156,-2.2988904655655773,0.6728684977619442,-0.4525298549303327,-0.5307138524099556,False,-0.46253746875239365
U8,ADV$ <$25M,2,54794,1033.8490566037735,-0.19069313234184684,0.2503752359455121,-0.4410683682873589,-6.817127841846326,0.42799667299401783,20960,952.7272727272727,-0.26964184403111596,0.25220323120851124,-0.5218450752396272,-9.51741251140787,0.6652087527716019,-0.3841060199410047,-0.4773344591204942,False,-0.35844984812122727
U8,ADV$ <$25M,3,54794,1033.8490566037735,-0.2767547719748454,0.24565244847373752,-0.5224072204485829,-5.984119166084505,0.5064100546601403,20960,952.7272727272727,-0.33170949238810765,0.2470967536718711,-0.5788062460599788,-8.18132970846824,0.7951502236871183,-0.4603672943438886,-0.5619060413488952,False,-0.44024343443470526
U8,ADV$ <$25M,4,54794,1033.8490566037735,-0.30586052593477653,0.2391732729518743,-0.5450337988866508,-5.370976526056192,0.5523935229649201,20960,952.7272727272727,-0.3466155829362505,0.2409425845639665,-0.5875581675002169,-7.303974157883905,0.8663764392170467,-0.47124704731510675,-0.5920114448661442,False,-0.46253746875239365
U9,ADV$ $25-150M,2,87254,1646.301886792453,-0.15733029565133783,0.25270765083242647,-0.41003794648376424,-7.202441174847791,0.4017826226938682,38024,1728.3636363636363,-0.1430797017384884,0.252586899944287,-0.3956666016827754,-6.965539492486565,0.6206770646726619,-0.41751547371331893,-0.40253947956908803,False,-0.35844984812122727
U9,ADV$ $25-150M,3,87254,1646.301886792453,-0.26408982117954277,0.24735032635943707,-0.5114401475389798,-6.985142239240866,0.46745155104104674,38024,1728.3636363636363,-0.22530976083119056,0.2472524884629768,-0.47256224929416724,-6.385747579839042,0.7297592084199119,-0.5214420479342854,-0.5014102383329451,False,-0.44024343443470526
U9,ADV$ $25-150M,4,87254,1646.301886792453,-0.30344716767353436,0.2405544059056028,-0.5440015735791371,-6.579697813077959,0.5048302478518082,38024,1728.3636363636363,-0.25564795805649565,0.24124091397153433,-0.49688887202803,-5.789653788732426,0.7946586665655404,-0.5486673254799114,-0.539322755945179,False,-0.46253746875239365
U10,ADV$ >=$150M,2,56012,1056.8301886792453,-0.050537913273716505,0.2557935161167958,-0.3063314293905123,-4.471670284663604,0.40460427890991324,28441,1292.7727272727273,0.06682783325926675,0.2610210152129507,-0.1941931819536839,-2.4097734445245442,0.6051306462340964,-0.3619645435188963,-0.24126882779501957,False,-0.35844984812122727
U10,ADV$ >=$150M,3,56012,1056.8301886792453,-0.126413034085102,0.2506896925695317,-0.3771027266546336,-4.399504075265023,0.467266379796022,28441,1292.7727272727273,0.06651057317602126,0.25519646151850245,-0.18868588834248115,-1.971449424628734,0.6848572812666232,-0.4742300209112156,-0.26351292408343385,False,-0.44024343443470526
U10,ADV$ >=$150M,4,56012,1056.8301886792453,-0.1495094187227837,0.24454853864857262,-0.3940579573713564,-4.135671324516369,0.5009083444358259,28441,1292.7727272727273,0.07165112585721281,0.24946246281459686,-0.17781133695738408,-1.718380229209643,0.7170804702633902,-0.5144689405434562,-0.25323801679120356,False,-0.46253746875239365
U11,wrapper,2,76016,1434.2641509433963,-0.26164554066130064,0.25692080328278644,-0.5185663439440871,-7.761523577222841,0.4567066380483936,34107,1550.3181818181818,-0.23245019390779578,0.25495806103417823,-0.48740825494197393,-9.521031652610883,0.696876955567479,-0.6007517427014812,-0.4457408186525996,False,-0.35844984812122727
U11,wrapper,3,76016,1434.2641509433963,-0.3882800782859493,0.2526414270641543,-0.6409215053501035,-6.864693775465014,0.550642479437942,34107,1550.3181818181818,-0.32464523652353355,0.2510029243310725,-0.5756481608546061,-8.105609283245663,0.8484971008833646,-0.7648825378893245,-0.5310780605675022,False,-0.44024343443470526
U11,wrapper,4,76016,1434.2641509433963,-0.44790001319027123,0.24622359051533693,-0.6941236037056083,-6.235396169342206,0.6073885712077748,34107,1550.3181818181818,-0.3622528749571614,0.2454127403987289,-0.6076656153558903,-7.008492473917696,0.9405796369814983,-0.8307134890444375,-0.5730895721172499,False,-0.46253746875239365
U12,common,2,121139,2285.6415094339623,-0.05846041704049235,0.25040451640031236,-0.30886493344080473,-5.31973425782677,0.3964310277838452,53318,2423.5454545454545,-0.023694183211232206,0.25541820990267405,-0.2791123931139063,-4.117607461401369,0.5960681941191064,-0.266868094559417,-0.3486074111605163,False,-0.35844984812122727
U12,common,3,121139,2285.6415094339623,-0.12921214087541805,0.2447652716911705,-0.3739774125665885,-5.193983086494108,0.4507671433925842,53318,2423.5454545454545,-0.04792953622590021,0.24902964102491626,-0.29695917725081644,-3.6891062444366707,0.6703622651167372,-0.32871004123748304,-0.4168148628222599,False,-0.44024343443470526
U12,common,4,121139,2285.6415094339623,-0.14365657222079625,0.2381735286846434,-0.3818301009054396,-4.860016175638323,0.47861462258876475,53318,2423.5454545454545,-0.04862583177941987,0.24284051640055634,-0.2914663481799762,-3.351701426879563,0.7010357414405246,-0.3336488680286983,-0.42742499864334443,False,-0.46253746875239365
