cell,field,provenance,net_TRAIN_diff,net_TRAIN_t,net_VAL_diff,net_VAL_t,gross_TRAIN_diff,gross_TRAIN_t,gross_VAL_diff,gross_VAL_t,p_null_train,p_null_val,avail_train,avail_val,SEPARATES,separates_on_gross
C1G,rv_profile,relative volume at the break (breaks2),-3.625331865447794,-4.661695495541501,-3.9172540450821964,-2.430165782363845,-3.625331865447794,-4.661695495541501,-3.9172540450821964,-2.430165782363845,0.0,0.0075,1.0,1.0,True,True
C2G,dollar_frac,the bar's dollar volume / ADV$ (book6),-2.8461958689986844,-0.4588301684874348,-29.175787573914118,-1.522299486934934,-2.8461958689986844,-0.4588301684874348,-29.175787573914118,-1.522299486934934,0.728,0.1065,0.8165969316596932,0.9573070607553367,False,False
C3G,spread_over_r,"imputed spread / R (book6 sp_pct, r_pct)",-0.00023366629835482045,-0.017542592166787004,0.004186314289679388,0.1995196841394514,-0.00023366629835482045,-0.017542592166787004,0.004186314289679388,0.1995196841394514,0.9545,0.497,1.0,1.0,False,False
C4G,dist_open_pct,% above the 09:30 open (breaks2),-0.439919005273155,-0.5068955251309182,-0.06712355066409881,-0.0492091357423872,-0.439919005273155,-0.5068955251309182,-0.06712355066409881,-0.0492091357423872,0.236,0.933,1.0,1.0,False,False
C5G,gap_pct,session gap vs prev close (PIT panel),-1.757237963929001,-1.6628270040949953,-1.7441539910200374,-1.1664728900304495,-1.757237963929001,-1.6628270040949953,-1.7441539910200374,-1.1664728900304495,0.228,0.281,0.9881450488145049,1.0,False,False
C6G,is_wrapper,"wrapper = 1, common = 0 (orb_asset_class)",0.19065100342633384,1.6581024720843907,0.14127806563039724,1.039061660222656,0.19065100342633384,1.6581024720843907,0.14127806563039724,1.039061660222656,0.11,0.1665,1.0,1.0,False,False
C7G,log_price,log10 entry price (book6),0.038900422063633755,0.15774721853597934,-0.10849995756764796,-0.33772232565700505,0.038900422063633755,0.15774721853597934,-0.10849995756764796,-0.33772232565700505,0.206,0.063,1.0,1.0,False,False
C8G,entry_m,"entry minute, ET minutes past midnight (book6)",21.68214635340189,0.23356780429478177,-7.651986183074314,-0.06678434006533229,21.68214635340189,0.23356780429478177,-7.651986183074314,-0.06678434006533229,0.0,0.588,1.0,1.0,False,False
C9G,spy_r5_pct,SPY's 5-min return into the bar (day_fields),-0.026552777146825735,-1.2004005712267105,0.009949284967532654,0.48056774714550626,-0.026552777146825735,-1.2004005712267105,0.009949284967532654,0.48056774714550626,1.0,1.0,1.0,1.0,False,False
C10G,r_pct,stop width as % of price (book6),-1.1737548775302482,-2.428405638915793,-0.6827104543305333,-0.8792904190989698,-1.1737548775302482,-2.428405638915793,-0.6827104543305333,-0.8792904190989698,0.0,0.107,1.0,1.0,False,False
C11G,log_advd,log10 ADV$ (book6 adv20 x price),0.18191283123149926,0.15337971086367597,-0.15396883820190865,-0.10112456880794947,0.18191283123149926,0.15337971086367597,-0.15396883820190865,-0.10112456880794947,0.016,0.264,1.0,1.0,False,False
