cell,period,n,absent,share,n_sym,n_absent_sym,oc_mean,rng_mean
F21-1,2025,796800,27082.0,3.398845381526104,4867.0,300.0,,
F21-1,2026,362597,4128.0,1.1384539861057867,4654.0,112.0,,
F21-1,ALL,1159397,31210.0,2.691916573874178,5494.0,319.0,,
F21-2,stock,745469,945.0,0.1267658346624742,,,,
F21-2,unknown,40268,30265.0,75.1589351345982,,,,
F21-2,wrapper,373660,0.0,0.0,,,,
F21-3,PRESENT in daily_bars,1128187,,,,,0.030445123091340065,2.8660190105438232
F21-3,ABSENT from daily_bars,31210,,,,,0.010328618809580803,2.4538235664367676
F21-3b,all days,1159296,31135.0,2.6856816550734237,,,0.010328617878258228,
F21-3b,range >= 5 %,154065,3265.0,2.119235387661052,,,0.005800807382911444,
F21-3b,range >= 10 %,29902,852.0,2.8493077386128016,,,0.6940708160400391,
F21-4,absent_with_1min_bars,319,150.0,,,,,
