day,symbol,split,wk,entry_m,break_m,exit_m,level,price,next_open,stop,r_pct,rr,net,pnl,why,sp_pct,imputed,asset_class,anchor,spy_r5_pct,dollar_frac,adv20
2025-01-10,CEG,TRAIN,2025-01-04/2025-01-10,577,576,955,297.63,297.6,297.6,283.66,4.684139784946235,0.5308464849354361,0.454393612570181,45.4393612570181,eod,0.5072463755233821,True,stock,CEG,-0.1194783914794883,,4954760.0
2025-01-10,DAR,TRAIN,2025-01-04/2025-01-10,579,578,955,36.62,36.45,36.45,34.55,5.212620027434857,-0.1263157894736848,-0.20466024312812534,-20.466024312812532,eod,0.5784417395999699,True,stock,DAR,-0.1194783914794883,,1811734.4
2025-01-10,DAL,TRAIN,2025-01-04/2025-01-10,586,585,603,68.6,68.915,68.915,67.07,2.677211057099344,-1.0363523035230355,-1.176933212726488,-117.6933212726488,stop,0.40145574883899976,True,stock,DAL,-0.1194783914794883,,9128026.6
2025-01-10,MCY,TRAIN,2025-01-04/2025-01-10,604,603,614,51.72,51.36,51.36,50.13,2.394859813084106,-1.0651219512195136,-1.1891559385525379,-118.91559385525379,stop,0.3168469458351389,True,stock,MCY,-0.1194783914794883,,403581.2
2025-01-10,RNA,TRAIN,2025-01-04/2025-01-10,606,605,666,30.74,30.79,30.79,29.88,2.9555050341019817,-1.0328351648351632,-1.1332967816629365,-113.32967816629365,stop,0.316709135219742,True,stock,RNA,-0.1194783914794883,,1027654.8
2025-01-10,VFC,TRAIN,2025-01-04/2025-01-10,625,624,702,22.3,22.305,22.305,22.065,1.0759919300605176,2.0,1.976483585858588,197.6483585858588,target,0.050606943680240754,False,stock,VFC,-0.1194783914794883,,4166965.0
2025-01-10,BG,TRAIN,2025-01-04/2025-01-10,727,726,955,81.43,81.725,81.725,80.44,1.5723462832670505,-0.400778210116733,-0.48912553319877927,-48.91255331987793,eod,0.19676003553066407,False,stock,BG,-0.1194783914794883,,1114258.8
2025-01-10,IONQ,TRAIN,2025-01-04/2025-01-10,788,787,795,33.84,33.763,33.763,33.36,1.193614311524446,-1.0827791563275482,-1.1342523806838374,-113.42523806838373,stop,0.06553512240210735,False,stock,IONQ,-0.1194783914794883,,45991149.4
2025-01-13,AVGX,TRAIN,2025-01-11/2025-01-17,584,583,955,30.58,30.755,30.755,29.94,2.649975613721339,-0.5214723926380391,-0.5945931949926837,-59.45931949926837,eod,0.2744594094837763,False,wrapper,AVGO,0.1181027146256452,,834838.1666666666
2025-01-13,VITL,TRAIN,2025-01-11/2025-01-17,585,584,900,42.31,42.17,42.17,40.29,4.458145601138256,0.1063829787234018,0.014779898722310982,1.4779898722310982,eod,0.5784417395999699,True,stock,VITL,0.1181027146256452,,707518.6666666666
2025-01-13,HIMS,TRAIN,2025-01-11/2025-01-17,591,590,599,26.04,26.065,26.065,25.65,1.5921734126223008,-1.0618072289156597,-1.1948957628265826,-119.48957628265826,stop,0.22602669356570995,False,stock,HIMS,0.1181027146256452,,9549537.166666666
2025-01-13,MSTX,TRAIN,2025-01-11/2025-01-17,592,591,713,40.41,40.2484,40.2484,38.7507,3.721141709981005,-1.0258734726580767,-1.1224298057005515,-112.24298057005515,stop,0.38325311813031515,True,wrapper,MSTR,0.1181027146256452,,13993549.166666666
2025-01-13,BITX,TRAIN,2025-01-11/2025-01-17,621,620,629,50.462,50.4,50.4,49.6556,1.4769841269841246,-1.0667055346587877,-1.1422214018220271,-114.22214018220271,stop,0.11897145294458274,False,wrapper,,0.1181027146256452,,8637653.5
2025-01-13,OILU,TRAIN,2025-01-11/2025-01-17,631,630,648,32.5399,32.7,32.7,32.36,1.0397553516819675,-1.2127058823529324,-1.3077596786318264,-130.77596786318264,stop,0.10542153960391192,False,wrapper,,0.1181027146256452,,244903.16666666663
2025-01-13,NBIS,TRAIN,2025-01-11/2025-01-17,827,826,916,33.92,33.9492,33.9492,33.365,1.7208063812991048,2.0,1.9685203509775693,196.85203509775693,target,0.10834076183770988,False,stock,NBIS,0.1181027146256452,,6122899.833333333
2025-01-14,AGX,TRAIN,2025-01-11/2025-01-17,577,576,955,168.177,167.905,167.905,159.85,4.797355647538791,-0.0726256983240232,-0.14727431048252212,-14.727431048252212,eod,0.5072463755233821,True,stock,AGX,-0.0616100766703153,,374892.7142857143
2025-01-14,DJTWW,TRAIN,2025-01-11/2025-01-17,578,577,599,29.67,29.65,29.65,28.6404,3.405059021922425,-1.0283680665610146,-1.1651662136731418,-116.51662136731417,stop,0.49685948267351443,True,stock,DJTWW,-0.0616100766703153,,221037.2857142857
2025-01-14,IONQ,TRAIN,2025-01-11/2025-01-17,593,592,597,29.7,29.655,29.655,28.51,3.861068959703253,-1.024899563318778,-1.1196228653502114,-111.96228653502114,stop,0.3901154146497742,True,stock,IONQ,-0.0616100766703153,,50353886.28571428
2025-01-14,QMCO,TRAIN,2025-01-11/2025-01-17,593,592,597,24.6,24.5496,24.5496,23.1773,5.589907778538154,-1.0221308023027027,-1.0875582146543619,-108.75582146543618,stop,0.3901154146497742,True,stock,QMCO,-0.0616100766703153,,1825360.2857142857
2025-01-14,DJT,TRAIN,2025-01-11/2025-01-17,609,608,621,41.44,41.4893,41.4893,40.55,2.26395721306458,-1.043170446076869,-1.174319044007566,-117.4319044007566,stop,0.316709135219742,True,stock,DJT,-0.0616100766703153,,11865388.57142857
2025-01-14,BBIO,TRAIN,2025-01-11/2025-01-17,612,611,726,35.48,35.68,35.68,34.95,2.0459641255605296,-1.0478767123287702,-1.1182057095673867,-111.82057095673868,stop,0.15348331235931192,False,stock,BBIO,-0.0616100766703153,,2757011.0
2025-01-14,SSG,TRAIN,2025-01-11/2025-01-17,660,657,955,27.19,27.3,27.3,26.8,1.831501831501832,-0.2199999999999988,-0.26797013408609655,-26.797013408609654,eod,0.12444389296894687,False,wrapper,,-0.0616100766703153,,100329.28571428572
2025-01-14,TSLQ,TRAIN,2025-01-11/2025-01-17,705,704,788,25.8199,25.71,25.71,25.3596,1.3628938156359411,-1.0723732876712373,-1.130340486443996,-113.0340486443996,stop,0.0842700124982746,False,wrapper,TSLA,-0.0616100766703153,,10124712.857142856
2025-01-14,BOIL,TRAIN,2025-01-11/2025-01-17,772,771,955,66.69,66.78,66.78,65.57,1.8119197364480504,-0.1900826446281012,-0.22821169690636964,-22.821169690636964,eod,0.0978566322309548,False,wrapper,,-0.0616100766703153,,4767513.142857143
2025-01-14,NBIS,TRAIN,2025-01-11/2025-01-17,816,815,831,37.0893,37.19,37.19,36.7432,1.2013982253293791,-1.0822363473589902,-1.187865537043903,-118.78655370439031,stop,0.13536290243246357,False,stock,NBIS,-0.0616100766703153,,6846127.714285715
2025-01-15,CBLL,TRAIN,2025-01-11/2025-01-17,595,592,955,20.67,20.655,20.655,19.5,5.591866376180107,-0.5238095238095236,-0.5730634694896215,-57.30634694896215,eod,0.3901154146497742,True,stock,CBLL,0.0558990429406103,,221838.375
2025-01-15,MUU,TRAIN,2025-01-11/2025-01-17,596,595,931,22.115,22.1383,22.1383,21.8101,1.4824986561750564,2.0,1.9509609394696892,195.09609394696892,target,0.14540068267254622,False,wrapper,MU,0.0558990429406103,,342366.25
2025-01-15,RKLB,TRAIN,2025-01-11/2025-01-17,602,601,604,26.33,26.37,26.37,25.94,1.6306408797876364,-1.0603255813953454,-1.101602582140193,-110.1602582140193,stop,0.07179516246354492,False,stock,RKLB,0.0558990429406103,,17918065.125
2025-01-15,ALGS,TRAIN,2025-01-11/2025-01-17,607,606,955,32.5899,32.0222,32.0222,31.1002,2.879252518565236,0.1060737527114964,0.028415871708214833,2.8415871708214833,eod,0.316709135219742,True,stock,ALGS,0.0558990429406103,,451334.875
2025-01-15,SMR,TRAIN,2025-01-11/2025-01-17,632,631,636,21.2058,21.18,21.18,20.87,1.4636449480642055,-1.0673225806451572,-1.1968836594394456,-119.68836594394456,stop,0.20227351300587584,False,stock,SMR,0.0558990429406103,,9094861.125
2025-01-15,DRV,TRAIN,2025-01-11/2025-01-17,641,640,955,29.9585,29.96,29.96,29.63,1.101468624833117,1.9696969696969544,1.909983173255887,190.9983173255887,eod,0.09316270998513752,False,wrapper,,0.0558990429406103,,244440.625
2025-01-16,ARQQ,TRAIN,2025-01-11/2025-01-17,577,576,630,24.9,24.9065,24.9065,22.12,11.187842531066188,2.0,1.9777946694684947,197.77946694684948,target,0.49685948267351443,True,stock,ARQQ,-0.085832575987077,,985667.6666666666
2025-01-16,BYRN,TRAIN,2025-01-11/2025-01-17,577,576,723,29.44,29.53,29.53,28.25,4.33457500846597,-1.0337773437499993,-1.141240189379996,-114.1240189379996,stop,0.49685948267351443,True,stock,BYRN,-0.085832575987077,,388506.3333333333
2025-01-16,CNXC,TRAIN,2025-01-11/2025-01-17,579,578,609,49.9,50.05,50.05,47.0757,5.942657342657342,-1.0158274888208991,-1.108014975243239,-110.8014975243239,stop,0.5843612192947653,True,stock,CNXC,-0.085832575987077,,745085.7777777778
2025-01-16,AORT,TRAIN,2025-01-11/2025-01-17,581,580,955,31.95,31.9484,31.9484,30.18,5.535175470446093,-0.4401719068084131,-0.5139509351947826,-51.395093519478266,eod,0.5784417395999699,True,stock,AORT,-0.085832575987077,,346522.7777777777
2025-01-16,PNC,TRAIN,2025-01-11/2025-01-17,632,631,955,195.22,195.1401,195.1401,192.57,1.3170537475383053,0.5641414730944382,0.46147587072034607,46.147587072034604,eod,0.1915242441219201,False,stock,PNC,-0.085832575987077,,2155943.111111111
2025-01-16,HUT,TRAIN,2025-01-11/2025-01-17,670,669,707,26.94,26.955,26.955,26.54,1.5396030421072129,-1.0639518072289174,-1.1244601959238827,-112.44601959238827,stop,0.099369492594959,False,stock,HUT,-0.085832575987077,,5325723.0
2025-01-16,BOIL,TRAIN,2025-01-11/2025-01-17,823,822,864,75.55,75.76,75.76,74.92,1.1087645195353792,2.0,1.959464964693101,195.9464964693101,target,0.08988761789280703,False,wrapper,,-0.085832575987077,,4540915.111111111
2025-01-17,TSLL,TRAIN,2025-01-11/2025-01-17,619,618,622,30.77,30.8411,30.8411,30.3801,1.4947586175590433,-1.065900433839476,-1.0864895605590041,-108.64895605590041,stop,0.03282749289816544,False,wrapper,TSLA,-0.1072116592679583,,70663745.4
2025-01-17,TSLR,TRAIN,2025-01-11/2025-01-17,619,618,622,48.38,48.52,48.52,47.8215,1.4396125309150922,-1.0684631352899034,-1.1336220049418884,-113.36220049418884,stop,0.10005709360134458,False,wrapper,TSLA,-0.1072116592679583,,1420217.6
2025-01-17,TSLT,TRAIN,2025-01-11/2025-01-17,620,619,622,42.39,42.1929,42.1929,41.69,1.1919066952022823,-1.082899184728579,-1.1318030423543493,-113.18030423543493,stop,0.062174757680399775,False,wrapper,,-0.1072116592679583,,3027553.2
2025-01-17,CECO,TRAIN,2025-01-11/2025-01-17,633,632,734,29.7498,29.8,29.8,28.99,2.7181208053691357,-1.0357901234567903,-1.146384366398039,-114.63843663980391,stop,0.320649080205501,True,stock,CECO,-0.1072116592679583,,239271.4
