day,symbol,entry_m,ctrl_entry_m,rr,why
2025-03-03,TSDD,775,760,2.0,target
2025-03-03,ERY,796,781,2.0,target
2025-03-03,SRTY,809,794,2.0,target
2025-03-03,UVXY,813,798,2.0,target
2025-03-04,GDS,733,718,2.0,target
2025-03-04,COIN,792,777,2.0,target
2025-03-04,CELH,820,805,-0.486179517275195,eod
2025-03-05,GRRR,589,574,-1.0250866838110748,stop
2025-03-05,CYD,590,575,1.1178583137789417,eod
2025-03-05,NUGT,608,593,1.921253566384357,eod
2025-03-05,SOXS,695,680,-1.070661971830988,stop
2025-03-05,MSTR,722,707,2.0,target
2025-03-06,TSLQ,585,570,2.0,target
2025-03-06,ASTS,590,575,-1.024496245073982,stop
2025-03-06,SG,590,575,2.0,target
2025-03-06,TPB,601,586,-1.0238224637681173,stop
2025-03-07,CPB,644,629,2.0,target
2025-03-07,CART,646,631,2.0,target
2025-03-07,TSDD,711,696,-1.0621810344827634,stop
2025-03-07,TSLQ,711,696,2.0,target
2025-03-10,HIMS,585,570,2.0,target
2025-03-10,TSLQ,592,577,2.0,target
2025-03-10,TSDD,593,578,2.0,target
2025-03-11,CRDO,590,575,2.0,target
2025-03-11,SOXS,626,611,2.0,target
2025-03-11,UVXY,628,613,2.0,target
2025-03-11,VIXY,643,628,-1.0535648148148162,stop
2025-03-11,SEI,670,655,-1.0626821787414107,stop
2025-03-11,AVGX,703,688,-1.2004614844709613,stop
2025-03-12,MSTZ,596,581,2.0,target
2025-03-12,UVIX,598,583,2.0,target
2025-03-13,BABX,611,596,2.0,target
2025-03-13,FCX,685,670,-1.093317073170726,stop
2025-03-13,AGQ,700,685,0.49769700170157777,eod
2025-03-13,SQQQ,769,754,1.1693826331324297,eod
2025-03-13,UVXY,792,777,2.0,target
2025-03-14,TSDD,630,615,-1.0648952166064969,stop
2025-03-14,SMMT,664,649,2.0,target
2025-03-18,NVD,599,584,-1.0653829787234044,stop
2025-03-18,ARQQ,602,587,2.0,target
2025-03-18,INTW,622,607,2.0,target
2025-03-18,MSTX,699,684,-1.0575002130379232,stop
2025-03-19,SMCX,597,582,2.0,target
2025-03-19,AFRM,605,590,2.0,target
2025-03-19,W,684,669,-1.0824561726770225,stop
2025-03-20,UBRL,588,573,2.0,target
2025-03-20,RGC,623,608,2.0,target
2025-03-20,BE,674,659,-1.0971851851851775,stop
2025-03-21,PLTU,648,633,1.9999999999999958,target
2025-03-24,PLTU,595,580,2.0,target
2025-03-24,PTIR,596,581,2.0,target
2025-03-24,MSTX,604,589,2.0,target
2025-03-24,SMCX,652,637,-1.0417662337662315,stop
2025-03-24,NBIS,670,655,1.0067595187175318,eod
2025-03-25,MSTX,645,630,-1.0457217413122557,stop
2025-03-26,TIPT,588,573,2.0,target
2025-03-26,TNXP,612,597,-0.28201185761027264,eod
2025-03-26,NVD,617,602,2.0,target
2025-03-26,TSLQ,620,605,2.0,target
2025-03-26,TSDD,621,606,2.0,target
2025-03-26,UVXY,621,606,2.0,target
2025-03-27,TEM,605,590,2.0,target
2025-03-27,DLTR,636,621,2.0,target
2025-03-27,TSLA,640,625,2.0,target
2025-03-28,TSDD,610,595,2.0,target
2025-03-28,TSLQ,610,595,2.0,target
2025-03-28,SOXS,658,643,2.0,target
2025-03-31,PLTU,607,592,2.0,target
2025-03-31,PTIR,607,592,2.0,target
2025-03-31,PCVX,729,714,2.0,target
2025-03-31,PLTR,749,734,2.0,target
2025-04-01,UVIX,612,597,-1.044738636363635,stop
2025-04-01,SMCX,646,631,2.0,target
2025-04-01,MSTX,678,663,2.0,target
2025-04-03,SOXS,649,634,2.0,target
2025-04-03,UVXY,659,644,-1.0710370370370357,stop
2025-04-03,CELH,718,703,0.547913649217205,eod
2025-04-03,VKTX,742,727,-1.0832622950819701,stop
2025-04-03,COF,748,733,0.15832126065227978,eod
2025-04-03,LULU,817,802,0.7984570780321264,eod
2025-04-04,AAPU,589,574,-1.0279610389610387,stop
2025-04-04,NVD,611,596,2.0,target
2025-04-04,TSDD,611,596,2.0,target
2025-04-04,NVDS,625,610,2.0,target
2025-04-04,SPXU,647,632,-1.0612692307692293,stop
2025-04-04,FNGD,648,633,-1.0451153846153842,stop
2025-04-04,TWM,649,634,-1.0952318840579647,stop
2025-04-04,PVH,664,649,2.000000000000003,target
2025-04-04,YETI,664,649,2.0,target
2025-04-04,LEN,665,650,2.0,target
2025-04-07,CVNA,589,574,2.0,target
2025-04-07,AR,601,586,2.0,target
2025-04-07,MCHP,610,595,2.0,target
2025-04-07,DINO,611,596,2.0,target
2025-04-07,ACLX,614,599,0.19725451743941752,eod
2025-04-07,ASTH,614,599,0.38271704466320644,eod
2025-04-07,ACA,618,603,0.5095646430789773,eod
2025-04-07,SMC,664,649,-1.0169512195121955,stop
2025-04-08,YANG,589,574,2.0,target
2025-04-08,ALHC,591,576,-1.0310678018100932,stop
2025-04-08,UVIX,592,577,2.0,target
2025-04-08,CVNA,606,591,-1.04040127388535,stop
2025-04-08,PLTU,618,603,-1.0428325508607228,stop
2025-04-08,PTIR,618,603,-1.043993220338984,stop
2025-04-08,UVXY,649,634,2.0,target
2025-04-08,SRTY,657,642,2.0,target
2025-04-08,TZA,659,644,2.0,target
2025-04-08,FNGD,674,659,2.0,target
2025-04-08,SPXU,679,664,2.0,target
2025-04-08,NVD,714,699,2.0,target
2025-04-09,TARK,593,578,2.0,target
2025-04-09,CELH,619,604,2.0,target
2025-04-09,YANG,661,646,2.0,target
2025-04-09,MUR,692,677,2.0,target
2025-04-09,VKTX,771,756,2.0,target
2025-04-09,VERA,773,758,2.0,target
2025-04-09,DDM,785,770,-1.0673818181818133,stop
2025-04-10,AAPU,587,572,2.0,target
2025-04-10,SOXS,601,586,2.0,target
2025-04-10,UVXY,611,596,2.0,target
2025-04-10,NUGT,616,601,2.0,target
2025-04-10,GDS,624,609,2.0,target
2025-04-10,IONX,626,611,2.0,target
2025-04-10,SRTY,683,668,2.0,target
2025-04-10,TECS,708,693,1.99999999999999,target
2025-04-10,QID,722,707,2.0,target
2025-04-10,DXD,725,710,2.0,target
2025-04-11,BOIL,585,570,2.0,target
2025-04-11,FAST,587,572,2.0,target
2025-04-11,MS,587,572,2.0,target
2025-04-11,TSDD,623,608,-0.2667383135487254,eod
2025-04-11,TSLQ,623,608,-0.0813143828268152,eod
2025-04-11,UVIX,624,609,2.0,target
