,0
2016-01-31,0.0
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.0
2016-05-31,0.0
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,0.0
2016-12-31,0.0
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,0.0
2017-07-31,-0.015865735962482308
2017-08-31,-0.09945423448455637
2017-09-30,0.005817835653574299
2017-10-31,0.024401648753708205
2017-11-30,-0.006598719033238498
2017-12-31,0.0506152098649737
2018-01-31,0.05294842055026039
2018-02-28,-0.02435787235300413
2018-03-31,0.03439703830122953
2018-04-30,-0.012046899765554064
2018-05-31,0.02904690161599044
2018-06-30,-0.002443516032036963
2018-07-31,0.10922428352027058
2018-08-31,0.06411260411395103
2018-09-30,-0.0804895980401864
2018-10-31,-0.11914764591776228
2018-11-30,0.0017266956743591244
2018-12-31,-0.11006762818498639
2019-01-31,0.1285032636564698
2019-02-28,0.06746731868606837
2019-03-31,0.045134929643889876
2019-04-30,0.025855386586259632
2019-05-31,-0.10550738885148947
2019-06-30,0.07950550389357725
2019-07-31,0.056042522269065254
2019-08-31,-0.015981021296512687
2019-09-30,0.0908105131556034
2019-10-31,4.8880984373056435e-05
2019-11-30,0.05725245236355114
2019-12-31,0.032298709411431314
2020-01-31,-0.019888646801289767
2020-02-29,-0.0940183130939064
2020-03-31,-0.24875181926162948
2020-04-30,0.10487335340159598
2020-05-31,0.18064301014881856
2020-06-30,0.11316519896540722
2020-07-31,0.046003190945308914
2020-08-31,0.07951425272230472
2020-09-30,0.03188921536806255
2020-10-31,-0.026227090919249907
2020-11-30,0.15121201863851663
2020-12-31,0.10161148614416127
2021-01-31,0.010435987240654088
2021-02-28,0.05152657522067283
2021-03-31,0.03469156286671837
2021-04-30,0.029786373173295244
2021-05-31,0.010399914960192103
2021-06-30,0.07504327424819568
2021-07-31,-0.008692948694207558
2021-08-31,0.00507796068951083
2021-09-30,0.019866265909352032
2021-10-31,0.062176065170781
2021-11-30,-0.005930657505203607
2021-12-31,-0.03229355938616907
2022-01-31,-0.06986030799901544
2022-02-28,0.001348895173471476
2022-03-31,0.06271459362780774
2022-04-30,-0.06693667038135298
2022-05-31,-0.004760076594327645
2022-06-30,-0.02223149888453413
2022-07-31,0.11159761930295042
2022-08-31,-0.04223492234428361
2022-09-30,-0.16537659028967622
2022-10-31,0.10919751774874453
2022-11-30,0.05237697759664384
2022-12-31,-0.18629467580071712
2023-01-31,0.03927849790280358
2023-02-28,-0.0022898220459319774
2023-03-31,0.0048255459389199284
2023-04-30,-0.015869967656132244
2023-05-31,-0.01423367130507136
2023-06-30,0.08788572040498877
2023-07-31,0.05606450642123395
2023-08-31,-0.017355438931185074
2023-09-30,-0.11441341244700998
2023-10-31,-0.07237990624592705
2023-11-30,0.15223743062913586
2023-12-31,0.12596962807578027
2024-01-31,-0.035513591911973785
2024-02-29,0.06631573769539223
2024-03-31,-0.02142549629762791
2024-04-30,-0.053692074763124875
2024-05-31,0.017113992030109326
2024-06-30,0.040674820833820124
2024-07-31,0.06783778095073578
2024-08-31,-0.010037836638449815
2024-09-30,-0.0043340708744298295
2024-10-31,0.01420452055788246
2024-11-30,0.11344278979615519
2024-12-31,-0.046834744684934426
2025-01-31,0.05760361946859449
2025-02-28,-0.06453419149749673
2025-03-31,-0.0712109695625811
2025-04-30,0.039860586365763506
2025-05-31,0.0871012908833324
2025-06-30,0.050874801948712634
2025-07-31,0.07919719410770898
2025-08-31,0.06803624944931874
2025-09-30,0.0044812703471937
2025-10-31,0.004094983236702543
2025-11-30,-0.004723118560473694
2025-12-31,-0.0742458469422499
2026-01-31,0.0470980178293845
2026-02-28,0.00471997624851439
2026-03-31,-0.05415745605205147
2026-04-30,0.09915504327947167
2026-05-31,0.06286541881330332
2026-06-30,-0.09392606297104156
2026-07-31,-0.03308177486594999
2026-08-31,-0.0023812186827820714
2026-09-30,0.017161149712640933
