cell,split,obs,mu,p5,p95,outside
F14-d0 base (every day),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
F14-d0 base (every day),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F14-d1 spy_r5>0 [D2],TRAIN,43.39622641509434,42.86037735849057,35.84905660377358,50.943396226415096,inside
F14-d1 spy_r5>0 [D2],VAL,65.21739130434783,56.123913043478254,43.47826086956522,65.21739130434783,inside
F14-d2c spy_r5 T3 (most up),TRAIN,28.30188679245283,33.068867924528305,26.41509433962264,39.62264150943396,inside
F14-d2c spy_r5 T3 (most up),VAL,60.86956521739131,53.15652173913043,43.47826086956522,61.08695652173894,inside
F14-d3 qqq_r5>0,TRAIN,32.075471698113205,27.766981132075472,20.754716981132077,33.9622641509434,inside
F14-d3 qqq_r5>0,VAL,52.17391304347826,50.09130434782608,39.130434782608695,60.86956521739131,inside
F14-d4 spy_r5>0 AND qqq_r5>0,TRAIN,33.9622641509434,32.51603773584906,26.41509433962264,39.62264150943396,inside
F14-d4 spy_r5>0 AND qqq_r5>0,VAL,60.86956521739131,51.94347826086957,43.47826086956522,60.86956521739131,inside
F14-d5c spy_rng5_atr T3 (wild),TRAIN,24.528301886792452,31.13584905660377,24.528301886792452,37.735849056603776,inside
F14-d5c spy_rng5_atr T3 (wild),VAL,39.130434782608695,35.43043478260869,26.08695652173913,43.47826086956522,inside
F14-d6c breadth T3 (broad),TRAIN,,,,,inside
F14-d6c breadth T3 (broad),VAL,,,,,inside
