cell,split,obs,mu,p5,p95,outside
"F15-base (B2, every name)",TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
"F15-base (B2, every name)",VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F15-a1 daysToCover >= 1.49 [med],TRAIN,30.18867924528302,30.655660377358494,24.528301886792452,37.735849056603776,inside
F15-a1 daysToCover >= 1.49 [med],VAL,26.08695652173913,30.436956521739127,21.73913043478261,39.130434782608695,inside
F15-a2 daysToCover >= 3.27 [p75],TRAIN,45.28301886792453,39.867924528301884,32.075471698113205,47.16981132075472,inside
F15-a2 daysToCover >= 3.27 [p75],VAL,43.47826086956522,37.473913043478255,26.08695652173913,47.82608695652174,inside
F15-a3 si/adv20 >= 2.991 [p75],TRAIN,43.39622641509434,37.4622641509434,30.18867924528302,43.39622641509434,inside
F15-a3 si/adv20 >= 2.991 [p75],VAL,34.78260869565217,36.37391304347826,26.08695652173913,47.82608695652174,inside
F15-c1 common stock only,TRAIN,28.30188679245283,29.93962264150943,22.641509433962266,35.84905660377358,inside
F15-c1 common stock only,VAL,30.434782608695656,26.66304347826087,17.391304347826086,34.78260869565217,inside
F15-c2 leveraged wrapper only,TRAIN,41.509433962264154,39.345283018867924,32.075471698113205,45.28301886792453,inside
F15-c2 leveraged wrapper only,VAL,43.47826086956522,56.99347826086956,47.82608695652174,65.21739130434783,below
F15-c3 anchor cohort >= 2,TRAIN,52.83018867924528,50.67264150943396,43.39622641509434,58.490566037735846,inside
F15-c3 anchor cohort >= 2,VAL,60.86956521739131,73.3673913043478,65.21739130434783,82.6086956521739,below
F15-d1 venue NASDAQ,TRAIN,35.84905660377358,33.199056603773585,26.41509433962264,39.62264150943396,inside
F15-d1 venue NASDAQ,VAL,39.130434782608695,36.36304347826087,26.08695652173913,47.82608695652174,inside
F15-d2 venue NYSE/ARCA/AMEX,TRAIN,35.84905660377358,36.29622641509434,30.094339622641517,43.39622641509434,inside
F15-d2 venue NYSE/ARCA/AMEX,VAL,47.82608695652174,48.13260869565217,39.130434782608695,56.52173913043478,inside
F15-e1 premarket news present,TRAIN,30.18867924528302,28.21603773584906,22.641509433962266,33.9622641509434,inside
F15-e1 premarket news present,VAL,39.130434782608695,31.243478260869566,21.73913043478261,39.130434782608695,inside
F15-e2 news same morning,TRAIN,26.41509433962264,24.934905660377357,20.754716981132077,30.18867924528302,inside
F15-e2 news same morning,VAL,39.130434782608695,32.55,26.08695652173913,39.130434782608695,inside
[diag] news-file COVERED subset,TRAIN,41.509433962264154,38.324528301886794,32.075471698113205,45.28301886792453,inside
[diag] news-file COVERED subset,VAL,43.47826086956522,45.689130434782605,34.78260869565217,56.52173913043478,inside
[diag] covered AND no news,TRAIN,35.84905660377358,33.17075471698113,28.30188679245283,37.735849056603776,inside
[diag] covered AND no news,VAL,39.130434782608695,41.36956521739131,30.434782608695656,52.17391304347826,inside
