n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,note,cost,mde,h1,h2,vgross,half_ok
1622,30.60377358490566,-0.10693921533680749,-0.1398709772362517,-0.03895918684147366,-3.4158001457905303,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,"F13-C0 first-come, symbol tie [=B2]",TRAIN,-2.9931691681122707,,0.06798002849533383,0.087660223128705,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False
706,30.695652173913043,0.012650779374544391,-0.025912798924550794,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391668,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971136,57.082152974504254,"F13-C0 first-come, symbol tie [=B2]",VAL,0.26162959495333094,,0.07006955092013453,0.13226736123718896,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False
957,18.056603773584907,1.112496498345874,1.0918717202149038,1.1601519649992416,29.61769707802754,90.56603773584906,1.8867924528301887,2,-556.0280983935471,3712.242917704434,106465.91489170016,-947.4701096058743,2008.7908470132106,100.0,1.0661378520879448,36.990595611285265,F13-O1 oracle top-4/day,TRAIN,19.614826942738954,,0.047655466653367694,0.10517327485530138,1.0312262371455574,1.280482644329347,1.6569033597777962,True
408,17.73913043478261,1.6131212478038566,1.5949722779486446,1.6569033597777962,42.470863043371985,95.65217391304348,4.3478260869565215,0,0.0,3886.729105769081,65815.34691039735,0.0,2861.536822191189,100.0,1.592580689536895,33.088235294117645,F13-O1 oracle top-4/day,VAL,28.636651565765558,,0.04378211197393984,0.10634913373995308,1.0312262371455574,1.280482644329347,1.6569033597777962,True
1819,34.320754716981135,0.5267753909978875,0.5025649180861785,0.58139245982716,16.932207247950785,79.24528301886792,1.8867924528301887,2,-1683.796197526666,6529.770777293282,95820.44362251574,-3016.8797866027817,1807.9328985380328,100.0,0.44981728037324015,40.021990104452996,F13-O2 oracle top-8/day,TRAIN,9.269616724376982,,0.05461706882927249,0.08711038514914189,0.4379553237191808,0.7114481440340803,1.1439025560746534,True
811,35.26086956521739,1.0919272139866925,1.0683487392450461,1.1439025560746534,27.323840401575193,95.65217391304348,4.3478260869565215,0,0.0,6907.202814823606,88555.29705432075,0.0,3850.2303067095977,100.0,1.0441589003372556,41.43033292231812,F13-O2 oracle top-8/day,VAL,13.949130254736088,,0.05197534208796105,0.11189481984335124,0.4379553237191808,0.7114481440340803,1.1439025560746534,True
2454,46.301886792452834,0.2467801266722695,0.22030893247103728,0.30606119644676655,9.126793015883543,64.15094339622641,1.8867924528301887,4,-2483.583605547673,8042.5346402633195,60559.84308537494,-5250.2350285411085,1142.6385487806592,83.33333333333334,0.15496980119840315,41.19804400977995,F13-O3 oracle top-12/day,TRAIN,4.682006361540612,,0.05928106977449702,0.07570943632443736,0.174305016206933,0.4203702112667135,0.763275977776903,True
1187,51.608695652173914,0.7070627594996106,0.680284131296991,0.763275977776903,19.379617234831866,95.65217391304348,4.3478260869565215,0,0.0,8942.787610641893,83928.34955260376,0.0,3649.0586762001635,100.0,0.6389243448607628,44.987363100252736,F13-O3 oracle top-12/day,VAL,8.955145959952551,,0.05621321827729254,0.10215762791437226,0.174305016206933,0.4203702112667135,0.763275977776903,True
1816,34.264150943396224,0.3337210303735817,0.3102343703765273,0.3914027023495552,10.14781573997217,77.35849056603774,1.8867924528301887,3,-1577.1539470111697,4877.832517086979,60603.73911584246,-3074.483078518797,1143.4667757706125,100.0,0.24644476256129044,36.28854625550661,"F13-O4 oracle top-12/day, 4 conc",TRAIN,7.5482447256993845,,0.05768167197597343,0.09208078950087353,0.277263240006647,0.49706945804982966,0.5653715510351821,True
896,38.95652173913044,0.5068756646517256,0.48331045404133677,0.5653715510351821,10.637187239107167,95.65217391304348,4.3478260869565215,0,0.0,4766.644810397028,45416.05955279461,0.0,1974.6112849041135,100.0,0.42852611068572866,36.160714285714285,"F13-O4 oracle top-12/day, 4 conc",VAL,9.113266321911011,,0.05849588638345663,0.13342360429710332,0.277263240006647,0.49706945804982966,0.5653715510351821,True
