cell,split,conv,n_trades,raw_bps,mean_bps,t,nw_t,pct_pos,ex_jan_bps,jan_bps,mde_bps,mdd_pct,worst_bps,n_months,ex_top_1_bps,ex_top_1_t,ex_top_5_bps,ex_top_5_t,sym_top_1_bps,sym_top_5_bps,ex_taint_bps,ex_taint_t,taint_share,lls,honest_cost_bps,gross_excess_bps,rt_per_month,breakeven_bps_per_rt,breakeven_x_honest,ends_mid_hold,haircut_bps,mean_hold_sessions,book_n,book_usd_mo,book_raw_usd_mo,book_t,book_mde_usd,book_pct_pos,book_worst,book_mdd_usd,tr_wk,book_empty_months,book_usd_mo_held,boot_p
F5-LO,TRAIN,sealed,7173,133.13600916889058,-3.1990698442492547,-0.1034231998285394,-0.13450559409092844,49.152542372881356,-3.964301507806053,7.322865529656719,61.86367951393588,-19.963408315041995,-666.9618276581058,59,-19.766815895925948,-0.6212202739610779,-49.13091701281485,-1.487319241167241,-5.39656779318834,-4.870255359371465,-3.7230241406366047,-0.12033953037820475,0.001672940192388122,,0.40399852776926254,-3.128404741841305,0.16670171136156386,-18.766482457135808,-46.45185852720234,0,-3.1990698442492547,125.97351178028718,180,25.158021585347832,936.1334251329799,0.09984939505284422,503.9193591915748,49.152542372881356,-4958.888168330827,-17076.713157864127,0.5750798722044729,4,-30.26560459427561,0.8950209958008398
F5-LO,VAL,sealed,2977,22.775529418792388,35.38517950907298,0.5888164981292023,0.6326798101846551,66.66666666666666,66.68503223450598,-308.91320047069013,120.19085613769099,-11.070289637515252,-821.0912865637388,24,24.588610894904864,0.4116323586174872,-1.1032613171844952,-0.01852866805887863,38.95723341198906,43.0247695974995,36.02792472054264,0.5986875603343086,0.0023513604299630502,,0.4026007376484492,35.46025201851104,0.16717429264392467,212.1154602043995,526.863068963422,0,35.38517950907298,125.61740006718172,60,-233.40927171009682,-374.56472244514015,-0.38652309014811154,1207.7377919164253,45.83333333333333,-6761.04110093536,-10790.144599814688,0.5761316872427984,5,-419.75385698317683,
F5-LO,VAL,complete,3926,27.796675671062644,9.662384521824109,0.15856334648526182,0.173099158680942,62.5,38.623801339325404,-308.91320047069013,121.87412458177664,-11.167566884971148,-821.0912865637388,24,1.0048222241036686,0.016507021336527972,-19.895818353570704,-0.3276624449581695,14.552029040545515,21.446584909297073,10.754704044215792,0.17578602252053507,0.002292409577177789,,0.4026093343936512,9.73329392455304,0.1673670235441712,58.155386398350124,144.4461949346875,0,9.662384521824109,125.4727457972491,80,-161.3432670712259,-89.82795935064708,-0.34607513049155947,932.4175755828312,45.83333333333333,-5449.1453686165905,-9995.260406505915,0.7681755829903978,0,-161.3432670712259,
F5-LS,TRAIN,sealed,13988,-36.0047548648525,-36.0047548648525,-0.41423508485777244,-0.44285755276269273,47.45762711864407,-30.12206485415528,-116.89174251193923,173.83730244488936,-57.41145462967351,-2271.33207675656,59,-62.166007599534616,-0.7103023591938474,-139.03841640515924,-1.6970407494624156,-62.166007599534616,-139.03841640515924,-37.74788956728598,-0.4348808788981736,0.001672940192388122,,7.709726768640757,-33.253173891857784,0.16670171136156386,-199.47709966656595,-25.873433086881526,0,-36.0047548648525,125.97351178028718,180,25.158021585347832,936.1334251329799,0.09984939505284422,503.9193591915748,49.152542372881356,-4958.888168330827,-17076.713157864127,0.5750798722044729,4,-30.26560459427561,0.6496700659868027
F5-LS,VAL,sealed,5746,98.10059733977994,98.10059733977994,0.5901360566887691,0.6593470063964969,54.166666666666664,124.92810254153835,-197.0019598795625,332.46772918848126,-29.824867112168263,-1775.2108119512134,24,63.38699916014277,0.3881596982391031,-39.585002317561916,-0.25473156149070975,63.38699916014277,-39.585002317561916,95.70026839043454,0.579064030866598,0.0023513604299630502,0.42582919984545825,7.609857641710243,101.08400327991619,0.16717429264392467,604.6623657335972,79.45777624267161,0,98.10059733977994,125.61740006718172,60,-233.40927171009682,-374.56472244514015,-0.38652309014811154,1207.7377919164253,45.83333333333333,-6761.04110093536,-10790.144599814688,0.5761316872427984,5,-419.75385698317683,
F5-LS,VAL,complete,7578,45.02053122861241,45.02053122861241,0.2644340845417886,0.29591790927266826,54.166666666666664,67.02257587481013,-197.0019598795625,340.5047523024423,-29.848358462069335,-1775.2108119512134,24,14.097974847244732,0.08397922881817153,-97.11310451706362,-0.6120298723729147,14.097974847244732,-97.11310451706362,43.734003603220955,0.2580160804759105,0.002292409577177789,0.31930256375525057,7.601740812941014,47.831514916620854,0.1673670235441712,285.7881672490713,37.595094897546716,0,45.02053122861241,125.4727457972491,80,-161.3432670712259,-89.82795935064708,-0.34607513049155947,932.4175755828312,45.83333333333333,-5449.1453686165905,-9995.260406505915,0.7681755829903978,0,-161.3432670712259,
A2-LO,TRAIN,sealed,10993,97.84726968822386,-34.36387675393275,-1.0037100942127821,-0.982537998346888,45.83333333333333,-27.990345478351944,-104.4727207853216,68.47370959417243,-26.807606444117482,-696.6193835231538,48,-72.92747040655246,-1.9852202985309138,-155.09915519619938,-3.5328082849638838,-10.605379622241294,32.460936614456536,-33.6716987369951,-0.994043833015601,0.0024561084326389523,,0.41232714879432575,-33.558679458784134,1.9988830298464817,-16.788715976723015,-40.71697928650691,0,-34.36387675393275,10.505867370144637,1880,-380.37096347840435,491.1224797434511,-1.0682502540720598,712.1383065971096,47.91666666666667,-6154.130313167955,-23304.14915317107,6.006389776357827,0,-380.37096347840435,0.34613077384523094
A2-LO,VAL,sealed,6374,45.88606300149451,11.865634728014246,0.21965529485821808,0.22157574678086708,50.0,22.89770472756197,-109.4871352670107,108.0386861211173,-5.80218716635742,-518.2701245243848,24,-22.647074918949,-0.4170460551666517,-100.71825568298826,-1.681861744838583,37.89583176622757,81.63780726107706,11.510586559252319,0.21127445630134292,0.0004706620646375902,,0.40995179527509507,12.671267195531744,2.0112089431138624,6.300323613275806,15.368449866277622,0,11.865634728014246,10.44148101663006,940,-69.10685230696144,125.03093726392513,-0.12428669662599555,1112.055500435711,45.83333333333333,-5533.473495360126,-12709.168831152752,9.026063100137174,0,-69.10685230696144,
A2-LO,VAL,complete,6519,45.352191851839265,15.584274199043579,0.2966150981005216,0.29979499244635816,50.0,26.95440233232124,-109.4871352670107,105.08078852926181,-5.3271106653636435,-429.02277721968085,24,-19.86046660358879,-0.3743819110372231,-98.93172282317563,-1.6859295432993118,41.52521546833848,85.95310267659903,15.217370039570199,0.28698120692294293,0.0006135910415707931,,0.4099800310877791,16.398262385290316,2.01740373421359,8.12839894523273,19.82632891574271,0,15.584274199043579,10.409418622488111,960,-42.6916885916443,118.96466989648934,-0.07776834462600078,1097.9194374511842,45.83333333333333,-5533.473495360126,-12709.168831152752,9.218106995884774,0,-42.6916885916443,
A2-LS,TRAIN,sealed,20971,-127.16808721243034,-127.16808721243034,-1.450274500470876,-1.4137307545825364,47.91666666666667,-90.00819380931209,-535.926914646731,175.37105861151298,-59.528870091649175,-2158.337327147969,48,-255.94622745374522,-3.2113175168705035,-544.7418255545974,-6.470882605793768,-255.94622745374522,-544.7418255545974,-124.71292492063593,-1.4290517854320681,0.0024561084326389523,,1.010656101582606,-123.14299714284475,1.9988830298464817,-61.60590454975366,-60.95634751849197,0,-127.16808721243034,10.505867370144637,1880,-380.37096347840435,491.1224797434511,-1.0682502540720598,712.1383065971096,47.91666666666667,-6154.130313167955,-23304.14915317107,6.006389776357827,0,-380.37096347840435,0.1803639272145571
